s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","BR1"
 0.0000000E+000, 6.9619870E+000, 1.0000700E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 0.0000000E+000
 5.0000000E-001, 6.9619870E+000, 1.0000700E+000, 7.6588822E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 3.6516134E-014
 1.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.0519224E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.2074360E-012
 1.5000000E+000, 6.9619870E+000, 1.0000700E+000, 1.2657357E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.7361409E-011
 2.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.4416200E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.3300529E-010
 2.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.5983929E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 7.1808181E-010
 3.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.7400320E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 2.9510196E-009
 3.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.8667701E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 9.7033234E-009
 4.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.9808273E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 2.6778890E-008
 4.5100000E+000, 6.9619869E+000, 1.0000699E+000, 2.0854734E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 6.5068308E-008
 5.0100000E+000, 6.9619869E+000, 1.0000699E+000, 2.1828738E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701969E+000, 1.4350089E-007
 5.5100000E+000, 6.9619867E+000, 1.0000699E+000, 2.2742917E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701968E+000, 2.9275833E-007
 6.0100000E+000, 6.9619864E+000, 1.0000699E+000, 2.3605635E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701966E+000, 5.5980653E-007
 6.5100000E+000, 6.9619859E+000, 1.0000698E+000, 2.4419663E+002, 2.0900002E+001, 2.0900000E+001, 2.0900000E+001, 4.1107999E-002, 3.1816316E+001, 7.3701962E+000, 1.0107098E-006
 7.0100000E+000, 6.9619851E+000, 1.0000697E+000, 2.5187976E+002, 2.0900004E+001, 2.0900000E+001, 2.0900000E+001, 4.1107999E-002, 3.1816316E+001, 7.3701955E+000, 1.7345536E-006
