s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","BR1"
 0.0000000E+000, 6.9619870E+000, 1.0000700E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 0.0000000E+000
 5.0000000E-001, 6.9619870E+000, 1.0000700E+000, 7.6588822E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.7246657E-014
 1.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.0519224E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 5.8731990E-013
 1.5000000E+000, 6.9619870E+000, 1.0000700E+000, 1.2657357E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 8.5777209E-012
 2.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.4416200E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 6.6496750E-011
 2.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.5983929E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 3.6258487E-010
 3.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.7400320E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.5024976E-009
 3.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.8667701E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 4.9751772E-009
 4.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.9808274E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.3812879E-008
 4.5100000E+000, 6.9619870E+000, 1.0000700E+000, 2.0854736E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 3.3739739E-008
 5.0100000E+000, 6.9619869E+000, 1.0000699E+000, 2.1828742E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 7.4758271E-008
 5.5100000E+000, 6.9619869E+000, 1.0000699E+000, 2.2742927E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701969E+000, 1.5316029E-007
 6.0100000E+000, 6.9619867E+000, 1.0000699E+000, 2.3605656E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701968E+000, 2.9399568E-007
 6.5100000E+000, 6.9619864E+000, 1.0000699E+000, 2.4419703E+002, 2.0900002E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701966E+000, 5.3265887E-007
 7.0100000E+000, 6.9619860E+000, 1.0000698E+000, 2.5188047E+002, 2.0900004E+001, 2.0900000E+001, 2.0900000E+001, 4.1107999E-002, 3.1816316E+001, 7.3701962E+000, 9.1706880E-007
