s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","BR1"
 0.0000000E+000, 6.9619870E+000, 1.0000700E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 0.0000000E+000
 5.0000000E-001, 6.9619870E+000, 1.0000700E+000, 7.6588822E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 9.6299682E-014
 1.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.0519224E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 3.8876075E-012
 1.5000000E+000, 6.9619870E+000, 1.0000700E+000, 1.2657357E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 6.2186279E-011
 2.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.4416200E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 5.1669817E-010
 2.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.5983929E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 2.9858230E-009
 3.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.7400320E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.2989669E-008
 3.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.8667699E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 4.4817458E-008
 4.0100000E+000, 6.9619869E+000, 1.0000699E+000, 1.9808267E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701969E+000, 1.2887964E-007
 4.5100000E+000, 6.9619867E+000, 1.0000699E+000, 2.0854718E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701968E+000, 3.2464477E-007
 5.0100000E+000, 6.9619864E+000, 1.0000699E+000, 2.1828698E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701966E+000, 7.3931862E-007
 5.5100000E+000, 6.9619856E+000, 1.0000698E+000, 2.2742829E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1107999E-002, 3.1816316E+001, 7.3701960E+000, 1.5525214E-006
 6.0100000E+000, 6.9619841E+000, 1.0000695E+000, 2.3605452E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1107998E-002, 3.1816315E+001, 7.3701949E+000, 3.0475657E-006
 6.5100000E+000, 6.9619813E+000, 1.0000691E+000, 2.4419304E+002, 2.0900002E+001, 2.0900000E+001, 2.0900000E+001, 4.1107996E-002, 3.1816313E+001, 7.3701927E+000, 5.6348793E-006
 7.0100000E+000, 6.9619763E+000, 1.0000684E+000, 2.5187313E+002, 2.0900004E+001, 2.0900000E+001, 2.0900000E+001, 4.1107993E-002, 3.1816309E+001, 7.3701889E+000, 9.8820956E-006
