s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","BR1"
 0.0000000E+000, 6.9617900E+000, 1.0000417E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 0.0000000E+000
 5.0000000E-001, 6.9617900E+000, 1.0000417E+000, 6.4622068E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 1.1055243E-019
 1.0000000E+000, 6.9617900E+000, 1.0000417E+000, 8.6954145E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 7.1142470E-018
 1.5000000E+000, 6.9617900E+000, 1.0000417E+000, 1.0326168E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 1.6232998E-016
 2.0000000E+000, 6.9617900E+000, 1.0000417E+000, 1.1665842E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 1.8331654E-015
 2.5100000E+000, 6.9617900E+000, 1.0000417E+000, 1.2832086E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 1.3529528E-014
 3.0100000E+000, 6.9617900E+000, 1.0000417E+000, 1.3868063E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 7.2301951E-014
 3.5100000E+000, 6.9617900E+000, 1.0000417E+000, 1.4796519E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 3.0433332E-013
 4.0100000E+000, 6.9617900E+000, 1.0000417E+000, 1.5649183E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1570000E-002, 3.1816120E+001, 7.3700000E+000, 1.0777983E-012
