s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 1.6510000E+001, 6.9560177E+000, 9.9921249E-001, 2.8280383E+002, 2.0923348E+001, 2.0900000E+001, 2.0900000E+001, 4.1273987E-002, 3.1810705E+001, 2.9018777E-001, 7.0743973E+000, 1.4634611E-003
 1.7010000E+001, 6.9552122E+000, 9.9909678E-001, 2.8629846E+002, 2.0928297E+001, 2.0900000E+001, 2.0900000E+001, 4.1273317E-002, 3.1809935E+001, 2.8942983E-001, 7.0743851E+000, 1.6109809E-003
 1.7510000E+001, 6.9543344E+000, 9.9897069E-001, 2.8967995E+002, 2.0938060E+001, 2.0900000E+001, 2.0900000E+001, 4.1272584E-002, 3.1809092E+001, 2.8860229E-001, 7.0743694E+000, 1.7556305E-003
 1.8000000E+001, 6.9533870E+000, 9.9883459E-001, 2.9292537E+002, 2.0943947E+001, 2.0900000E+001, 2.0900000E+001, 4.1271797E-002, 3.1808187E+001, 2.8771723E-001, 7.0743496E+000, 1.8934823E-003
 1.8500000E+001, 6.9523740E+000, 9.9868908E-001, 2.9607499E+002, 2.0957524E+001, 2.0900000E+001, 2.0900000E+001, 4.1270953E-002, 3.1807216E+001, 2.8677118E-001, 7.0743246E+000, 2.0235219E-003
 1.9000000E+001, 6.9513003E+000, 9.9853485E-001, 2.9917013E+002, 2.0967597E+001, 2.0900000E+001, 2.0900000E+001, 4.1270045E-002, 3.1806172E+001, 2.8575894E-001, 7.0742930E+000, 2.1449787E-003
 1.9500000E+001, 6.9501719E+000, 9.9837275E-001, 3.0218610E+002, 2.0983438E+001, 2.0900000E+001, 2.0900000E+001, 4.1269087E-002, 3.1805070E+001, 2.8469656E-001, 7.0742539E+000, 2.2547859E-003
 2.0000000E+001, 6.9489951E+000, 9.9820371E-001, 3.0513063E+002, 2.0990464E+001, 2.0900000E+001, 2.0900000E+001, 4.1268085E-002, 3.1803917E+001, 2.8359167E-001, 7.0742056E+000, 2.3518131E-003
 2.0500000E+001, 6.9477766E+000, 9.9802867E-001, 3.0801081E+002, 2.1004575E+001, 2.0900000E+001, 2.0900000E+001, 4.1267043E-002, 3.1802719E+001, 2.8245251E-001, 7.0741465E+000, 2.4355592E-003
 2.1000000E+001, 6.9465228E+000, 9.9784857E-001, 3.1083275E+002, 2.1034228E+001, 2.0900000E+001, 2.0900000E+001, 4.1265967E-002, 3.1801482E+001, 2.8128769E-001, 7.0740747E+000, 2.5062023E-003
 2.1500000E+001, 6.9452400E+000, 9.9766429E-001, 3.1360142E+002, 2.1054509E+001, 2.0900000E+001, 2.0900000E+001, 4.1264864E-002, 3.1800214E+001, 2.8010584E-001, 7.0739877E+000, 2.5646162E-003
 2.2000000E+001, 6.9439334E+000, 9.9747660E-001, 3.1632032E+002, 2.1082770E+001, 2.0900000E+001, 2.0900000E+001, 4.1263738E-002, 3.1798918E+001, 2.7891529E-001, 7.0738832E+000, 2.6123410E-003
 2.2500000E+001, 6.9426073E+000, 9.9728611E-001, 3.1899162E+002, 2.1121978E+001, 2.0900000E+001, 2.0900000E+001, 4.1262593E-002, 3.1797602E+001, 2.7772381E-001, 7.0737580E+000, 2.6515349E-003
 2.3000000E+001, 6.9412645E+000, 9.9709323E-001, 3.2161604E+002, 2.1135874E+001, 2.0900000E+001, 2.0900000E+001, 4.1261432E-002, 3.1796267E+001, 2.7653834E-001, 7.0736088E+000, 2.6848640E-003
 2.3500000E+001, 6.9399065E+000, 9.9689816E-001, 3.2419282E+002, 2.1169052E+001, 2.0900000E+001, 2.0900000E+001, 4.1260258E-002, 3.1794917E+001, 2.7536479E-001, 7.0734320E+000, 2.7153650E-003
 2.4000000E+001, 6.9385331E+000, 9.9670086E-001, 3.2671994E+002, 2.1212335E+001, 2.0900000E+001, 2.0900000E+001, 4.1259071E-002, 3.1793551E+001, 2.7420793E-001, 7.0732232E+000, 2.7462688E-003
 2.4500000E+001, 6.9371423E+000, 9.9650108E-001, 3.2919423E+002, 2.1251333E+001, 2.0900000E+001, 2.0900000E+001, 4.1257869E-002, 3.1792169E+001, 2.7307131E-001, 7.0729779E+000, 2.7808077E-003
 2.5000000E+001, 6.9357308E+000, 9.9629833E-001, 3.3161174E+002, 2.1303536E+001, 2.0900000E+001, 2.0900000E+001, 4.1256651E-002, 3.1790768E+001, 2.7195734E-001, 7.0726911E+000, 2.8220300E-003
 2.5500000E+001, 6.9342939E+000, 9.9609193E-001, 3.3396805E+002, 2.1346154E+001, 2.0900000E+001, 2.0900000E+001, 4.1255413E-002, 3.1789345E+001, 2.7086734E-001, 7.0723574E+000, 2.8726218E-003
 2.6000000E+001, 6.9328259E+000, 9.9588104E-001, 3.3625859E+002, 2.1422628E+001, 2.0900000E+001, 2.0900000E+001, 4.1254150E-002, 3.1787893E+001, 2.6980177E-001, 7.0719710E+000, 2.9347942E-003
 2.6500000E+001, 6.9313199E+000, 9.9566472E-001, 3.3847892E+002, 2.1450998E+001, 2.0900000E+001, 2.0900000E+001, 4.1252858E-002, 3.1786406E+001, 2.6876037E-001, 7.0715260E+000, 3.0102037E-003
 2.7000000E+001, 6.9297690E+000, 9.9544193E-001, 3.4062508E+002, 2.1526844E+001, 2.0900000E+001, 2.0900000E+001, 4.1251529E-002, 3.1784879E+001, 2.6774241E-001, 7.0710161E+000, 3.0999554E-003
 2.7500000E+001, 6.9281655E+000, 9.9521160E-001, 3.4269379E+002, 2.1594291E+001, 2.0900000E+001, 2.0900000E+001, 4.1250158E-002, 3.1783302E+001, 2.6674685E-001, 7.0704351E+000, 3.2046518E-003
 2.8000000E+001, 6.9265020E+000, 9.9497264E-001, 3.4468240E+002, 2.1650837E+001, 2.0900000E+001, 2.0900000E+001, 4.1248738E-002, 3.1781669E+001, 2.6577249E-001, 7.0697766E+000, 3.3244665E-003
 2.8500000E+001, 6.9247710E+000, 9.9472398E-001, 3.4658910E+002, 2.1762377E+001, 2.0900000E+001, 2.0900000E+001, 4.1247263E-002, 3.1779972E+001, 2.6481803E-001, 7.0690344E+000, 3.4592409E-003
 2.9000000E+001, 6.9229652E+000, 9.9446458E-001, 3.4841271E+002, 2.1847018E+001, 2.0900000E+001, 2.0900000E+001, 4.1245726E-002, 3.1778205E+001, 2.6388218E-001, 7.0682024E+000, 3.6085519E-003
 2.9500000E+001, 6.9210776E+000, 9.9419343E-001, 3.5015277E+002, 2.1899912E+001, 2.0900000E+001, 2.0900000E+001, 4.1244120E-002, 3.1776358E+001, 2.6296362E-001, 7.0672748E+000, 3.7717679E-003
 3.0000000E+001, 6.9191017E+000, 9.9390960E-001, 3.5180937E+002, 2.1994092E+001, 2.0900000E+001, 2.0900000E+001, 4.1242441E-002, 3.1774427E+001, 2.6206107E-001, 7.0662462E+000, 3.9480649E-003
 3.0500000E+001, 6.9170316E+000, 9.9361223E-001, 3.5338306E+002, 2.2062965E+001, 2.0900000E+001, 2.0900000E+001, 4.1240682E-002, 3.1772405E+001, 2.6117321E-001, 7.0651115E+000, 4.1364286E-003
 3.1000000E+001, 6.9148617E+000, 9.9330054E-001, 3.5487471E+002, 2.2229257E+001, 2.0900000E+001, 2.0900000E+001, 4.1238839E-002, 3.1770285E+001, 2.6029880E-001, 7.0638663E+000, 4.3356389E-003
 3.1500000E+001, 6.9125874E+000, 9.9297384E-001, 3.5628582E+002, 2.2299626E+001, 2.0900000E+001, 2.0900000E+001, 4.1236907E-002, 3.1768063E+001, 2.5943662E-001, 7.0625068E+000, 4.5443071E-003
 3.2000000E+001, 6.9102048E+000, 9.9263158E-001, 3.5761821E+002, 2.2445839E+001, 2.0900000E+001, 2.0900000E+001, 4.1234883E-002, 3.1765735E+001, 2.5858559E-001, 7.0610297E+000, 4.7608918E-003
 3.2500000E+001, 6.9077107E+000, 9.9227331E-001, 3.5887399E+002, 2.2513577E+001, 2.0900000E+001, 2.0900000E+001, 4.1232763E-002, 3.1763297E+001, 2.5774475E-001, 7.0594323E+000, 4.9837235E-003
 3.3000000E+001, 6.9051028E+000, 9.9189870E-001, 3.6005587E+002, 2.2700348E+001, 2.0900000E+001, 2.0900000E+001, 4.1230545E-002, 3.1760746E+001, 2.5691330E-001, 7.0577130E+000, 5.2111342E-003
 3.3500000E+001, 6.9023797E+000, 9.9150754E-001, 3.6116671E+002, 2.2792679E+001, 2.0900000E+001, 2.0900000E+001, 4.1228227E-002, 3.1758081E+001, 2.5609065E-001, 7.0558702E+000, 5.4414694E-003
 3.4000000E+001, 6.8995408E+000, 9.9109974E-001, 3.6220978E+002, 2.2950570E+001, 2.0900000E+001, 2.0900000E+001, 4.1225809E-002, 3.1755300E+001, 2.5527639E-001, 7.0539035E+000, 5.6731963E-003
 3.4500000E+001, 6.8965860E+000, 9.9067529E-001, 3.6318859E+002, 2.3119492E+001, 2.0900000E+001, 2.0900000E+001, 4.1223290E-002, 3.1752403E+001, 2.5447027E-001, 7.0518128E+000, 5.9049675E-003
 3.5000000E+001, 6.8935159E+000, 9.9023428E-001, 3.6410676E+002, 2.3241995E+001, 2.0900000E+001, 2.0900000E+001, 4.1220670E-002, 3.1749391E+001, 2.5367217E-001, 7.0495984E+000, 6.1356267E-003
 3.5500000E+001, 6.8903315E+000, 9.8977685E-001, 3.6496790E+002, 2.3470114E+001, 2.0900000E+001, 2.0900000E+001, 4.1217951E-002, 3.1746263E+001, 2.5288207E-001, 7.0472611E+000, 6.3642193E-003
 3.6000000E+001, 6.8870343E+000, 9.8930321E-001, 3.6577571E+002, 2.3630568E+001, 2.0900000E+001, 2.0900000E+001, 4.1215132E-002, 3.1743022E+001, 2.5209998E-001, 7.0448023E+000, 6.5900207E-003
 3.6500000E+001, 6.8836259E+000, 9.8881360E-001, 3.6653347E+002, 2.3783882E+001, 2.0900000E+001, 2.0900000E+001, 4.1212217E-002, 3.1739669E+001, 2.5132592E-001, 7.0422233E+000, 6.8124389E-003
 3.7000000E+001, 6.8801081E+000, 9.8830828E-001, 3.6724504E+002, 2.4032441E+001, 2.0900000E+001, 2.0900000E+001, 4.1209205E-002, 3.1736206E+001, 2.5055989E-001, 7.0395261E+000, 7.0311777E-003
 3.7500000E+001, 6.8764830E+000, 9.8778754E-001, 3.6791393E+002, 2.4212167E+001, 2.0900000E+001, 2.0900000E+001, 4.1206099E-002, 3.1732634E+001, 2.4980183E-001, 7.0367125E+000, 7.2460399E-003
