s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 0.0000000E+000, 6.9609432E+000, 9.9992002E-001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691532E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 6.9609432E+000, 9.9992002E-001, 3.3112222E+001, 2.0900001E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691532E+000, 1.1798037E-008, 2.0283976E-009
 1.0000000E+000, 6.9609432E+000, 9.9992002E-001, 5.2934454E+001, 2.0900005E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691531E+000, 5.4050515E-008, 5.2130323E-009
 1.5000000E+000, 6.9609432E+000, 9.9992002E-001, 6.8487399E+001, 2.0900014E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691530E+000, 1.7792081E-007, 1.5768361E-008
 2.0000000E+000, 6.9609432E+000, 9.9992001E-001, 8.1564607E+001, 2.0900033E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691526E+000, 5.3094806E-007, 4.2656836E-008
 2.5100000E+000, 6.9609431E+000, 9.9992001E-001, 9.3088116E+001, 2.0900070E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691517E+000, 1.4213066E-006, 1.0089805E-007
 3.0100000E+000, 6.9609430E+000, 9.9991999E-001, 1.0338886E+002, 2.0900152E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691497E+000, 3.3727953E-006, 2.1113729E-007
 3.5100000E+000, 6.9609428E+000, 9.9991996E-001, 1.1265002E+002, 2.0900316E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691457E+000, 7.1852523E-006, 3.9951624E-007
 4.0100000E+000, 6.9609425E+000, 9.9991991E-001, 1.2116685E+002, 2.0900584E+001, 2.0900000E+001, 2.0900000E+001, 4.0990000E-002, 3.1815273E+001, 7.3691386E+000, 1.4091356E-005, 7.0190160E-007
 4.5100000E+000, 6.9609419E+000, 9.9991983E-001, 1.2906888E+002, 2.0901336E+001, 2.0900000E+001, 2.0900000E+001, 4.0989999E-002, 3.1815272E+001, 7.3691264E+000, 2.5809832E-005, 1.1614562E-006
 5.0100000E+000, 6.9609410E+000, 9.9991970E-001, 1.3645297E+002, 2.0902299E+001, 2.0900000E+001, 2.0900000E+001, 4.0989999E-002, 3.1815271E+001, 7.3691068E+000, 4.4660261E-005, 1.8297291E-006
 5.5100000E+000, 6.9609396E+000, 9.9991950E-001, 1.4339278E+002, 2.0904272E+001, 2.0900000E+001, 2.0900000E+001, 4.0989998E-002, 3.1815270E+001, 7.3690766E+000, 7.3670718E-005, 2.7667271E-006
