s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","BR1"
 0.0000000E+000, 6.9619000E+000, 1.0000575E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 0.0000000E+000
 5.0000000E-001, 6.9619000E+000, 1.0000575E+000, 3.4470814E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 2.4759070E-014
 1.0000000E+000, 6.9619000E+000, 1.0000575E+000, 5.6347449E+001, 2.0900002E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 3.0357676E-013
 1.5000000E+000, 6.9619000E+000, 1.0000575E+000, 7.3570017E+001, 2.0900005E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 2.8260185E-012
 2.0000000E+000, 6.9619000E+000, 1.0000575E+000, 8.8193549E+001, 2.0900011E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 1.6978081E-011
 2.5100000E+000, 6.9619000E+000, 1.0000575E+000, 1.0122389E+002, 2.0900022E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 7.6246684E-011
 3.0100000E+000, 6.9619000E+000, 1.0000575E+000, 1.1300502E+002, 2.0900053E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 2.7269260E-010
 3.5100000E+000, 6.9619000E+000, 1.0000575E+000, 1.2371694E+002, 2.0900121E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 8.1965024E-010
 4.0100000E+000, 6.9619000E+000, 1.0000575E+000, 1.3366775E+002, 2.0900241E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 2.1649189E-009
