s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","BR1"
 0.0000000E+000, 6.9619870E+000, 1.0000700E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 0.0000000E+000
 5.0000000E-001, 6.9619870E+000, 1.0000700E+000, 7.6588822E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.9707964E-014
 1.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.0519224E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 5.7180998E-013
 1.5000000E+000, 6.9619870E+000, 1.0000700E+000, 1.2657357E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 7.6752924E-012
 2.0000000E+000, 6.9619870E+000, 1.0000700E+000, 1.4416200E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 5.5817905E-011
 2.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.5983929E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 2.8852309E-010
 3.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.7400320E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 1.1432712E-009
 3.5100000E+000, 6.9619870E+000, 1.0000700E+000, 1.8667701E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 3.6452563E-009
 4.0100000E+000, 6.9619870E+000, 1.0000700E+000, 1.9808274E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 9.7988870E-009
 4.5100000E+000, 6.9619870E+000, 1.0000700E+000, 2.0854737E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 2.3267573E-008
 5.0100000E+000, 6.9619870E+000, 1.0000699E+000, 2.1828744E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701970E+000, 5.0271984E-008
 5.5100000E+000, 6.9619869E+000, 1.0000699E+000, 2.2742931E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701969E+000, 1.0068258E-007
 6.0100000E+000, 6.9619868E+000, 1.0000699E+000, 2.3605664E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701969E+000, 1.8931920E-007
 6.5100000E+000, 6.9619866E+000, 1.0000699E+000, 2.4419718E+002, 2.0900002E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701967E+000, 3.3662808E-007
 7.0100000E+000, 6.9619864E+000, 1.0000699E+000, 2.5188077E+002, 2.0900004E+001, 2.0900000E+001, 2.0900000E+001, 4.1108000E-002, 3.1816317E+001, 7.3701965E+000, 5.6972007E-007
