s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 0.0000000E+000, 6.9619000E+000, 1.0000575E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 6.9619000E+000, 1.0000575E+000, 3.6090719E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 1.7070084E-012, 2.6182400E-013
 1.0000000E+000, 6.9619000E+000, 1.0000575E+000, 5.9329229E+001, 2.0900001E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 8.1256718E-011, 1.0856623E-011
 1.5000000E+000, 6.9619000E+000, 1.0000575E+000, 7.6739431E+001, 2.0900004E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 1.7201644E-009, 1.7842849E-010
 2.0000000E+000, 6.9619000E+000, 1.0000575E+000, 9.1037251E+001, 2.0900009E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701100E+000, 1.8522293E-008, 1.5459262E-009
 2.5100000E+000, 6.9619000E+000, 1.0000575E+000, 1.0344009E+002, 2.0900021E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701099E+000, 1.3038196E-007, 9.0408659E-009
 3.0100000E+000, 6.9619000E+000, 1.0000575E+000, 1.1440386E+002, 2.0900044E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701093E+000, 6.6380279E-007, 3.9293620E-008
 3.5100000E+000, 6.9618999E+000, 1.0000574E+000, 1.2394453E+002, 2.0900091E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701073E+000, 2.6191605E-006, 1.3171050E-007
 4.0100000E+000, 6.9618997E+000, 1.0000574E+000, 1.3235536E+002, 2.0900183E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3701014E+000, 8.4384145E-006, 3.7028732E-007
 4.5100000E+000, 6.9618992E+000, 1.0000574E+000, 1.4036799E+002, 2.0900358E+001, 2.0900000E+001, 2.0900000E+001, 4.0961000E-002, 3.1816230E+001, 7.3700855E+000, 2.3969357E-005, 9.5779077E-007
 5.0100000E+000, 6.9618981E+000, 1.0000572E+000, 1.4803013E+002, 2.0900676E+001, 2.0900000E+001, 2.0900000E+001, 4.0960999E-002, 3.1816229E+001, 7.3700463E+000, 6.2378158E-005, 2.2976211E-006
 5.5100000E+000, 6.9618956E+000, 1.0000568E+000, 1.5523145E+002, 2.0901232E+001, 2.0900000E+001, 2.0900000E+001, 4.0960997E-002, 3.1816227E+001, 7.3699567E+000, 1.5028182E-004, 5.0815516E-006
 6.0100000E+000, 6.9618903E+000, 1.0000561E+000, 1.6195536E+002, 2.0902162E+001, 2.0900000E+001, 2.0900000E+001, 4.0960994E-002, 3.1816223E+001, 7.3697672E+000, 3.3595683E-004, 1.0419735E-005
 6.5100000E+000, 6.9618802E+000, 1.0000546E+000, 1.6841068E+002, 2.0903655E+001, 2.0900000E+001, 2.0900000E+001, 4.0960988E-002, 3.1816216E+001, 7.3693901E+000, 7.0551760E-004, 2.0347262E-005
 7.0100000E+000, 6.9618611E+000, 1.0000519E+000, 1.7466635E+002, 2.0905955E+001, 2.0900000E+001, 2.0900000E+001, 4.0960976E-002, 3.1816201E+001, 7.3686704E+000, 1.4107849E-003, 3.8190875E-005
