s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 0.0000000E+000, 6.9620297E+000, 1.0000761E+000, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 0.0000000E+000
 5.0000000E-001, 6.9620297E+000, 1.0000761E+000, 5.7184044E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 6.6255582E-018
 1.0000000E+000, 6.9620297E+000, 1.0000761E+000, 8.3652773E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 5.0335932E-016
 1.5000000E+000, 6.9620297E+000, 1.0000761E+000, 1.0112404E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 9.4653983E-015
 2.0000000E+000, 6.9620297E+000, 1.0000761E+000, 1.1512338E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 8.7783818E-014
 2.5100000E+000, 6.9620297E+000, 1.0000761E+000, 1.2719177E+002, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 5.4170044E-013
 3.0100000E+000, 6.9620297E+000, 1.0000761E+000, 1.3785734E+002, 2.0900014E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 2.4762364E-012
 3.5100000E+000, 6.9620297E+000, 1.0000761E+000, 1.4738603E+002, 2.0900100E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 9.0843464E-012
 4.0100000E+000, 6.9620297E+000, 1.0000761E+000, 1.5611868E+002, 2.0900458E+001, 2.0900000E+001, 2.0900000E+001, 4.0972000E-002, 3.1816360E+001, 1.8425599E-001, 7.1859837E+000, 2.8465320E-011
