s,kg/m2,,C,C,C,C,m,kg/m2,kg/m2,kg/m2,kg/m2/s
Time,"SD","MF","TW1","TSB1","TAL1","TB1","DX1","SD1","SD_11","SD_12","BR1"
 0.0000000E+000, 6.9609900E+000, 9.9992674E-001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 2.0900000E+001, 4.1011000E-002, 3.1815320E+001, 7.3692000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-001, 6.9609565E+000, 9.9992193E-001, 3.2912559E+001, 2.0899401E+001, 2.0900000E+001, 2.0900000E+001, 4.1010989E-002, 3.1815307E+001, 7.3688589E+000, 3.2811591E-004, 6.4294633E-005
 1.0000000E+000, 6.9607208E+000, 9.9988807E-001, 5.2400753E+001, 2.0898054E+001, 2.0900000E+001, 2.0900000E+001, 4.1010905E-002, 3.1815206E+001, 7.3662125E+000, 2.8739942E-003, 4.5310305E-004
 1.5000000E+000, 6.9594050E+000, 9.9969906E-001, 6.7206583E+001, 2.0896937E+001, 2.0900000E+001, 2.0900000E+001, 4.1010353E-002, 3.1814544E+001, 7.3487714E+000, 1.9652360E-002, 2.5609835E-003
 2.0000000E+000, 6.9559472E+000, 9.9920236E-001, 7.8264176E+001, 2.0895225E+001, 2.0900000E+001, 2.0900000E+001, 4.1008382E-002, 3.1812179E+001, 7.2865392E+000, 7.9519650E-002, 6.8331099E-003
 2.5100000E+000, 6.9511549E+000, 9.9851396E-001, 8.6932276E+001, 2.0894219E+001, 2.0900000E+001, 2.0900000E+001, 4.1004804E-002, 3.1807885E+001, 7.1735359E+000, 1.8822886E-001, 9.5673517E-003
 3.0100000E+000, 6.9461089E+000, 9.9778911E-001, 9.4962716E+001, 2.0892489E+001, 2.0900000E+001, 2.0900000E+001, 4.1000617E-002, 3.1802861E+001, 7.0413262E+000, 3.1541460E-001, 1.0092044E-002
 3.5100000E+000, 6.9411701E+000, 9.9707967E-001, 1.0285621E+002, 2.0891628E+001, 2.0900000E+001, 2.0900000E+001, 4.0996445E-002, 3.1797854E+001, 6.9095777E+000, 4.4215669E-001, 9.8775791E-003
 4.0100000E+000, 6.9364929E+000, 9.9640780E-001, 1.1057538E+002, 2.0890443E+001, 2.0900000E+001, 2.0900000E+001, 4.0992435E-002, 3.1793042E+001, 6.7829259E+000, 5.6399566E-001, 9.3543439E-003
 4.5100000E+000, 6.9321509E+000, 9.9578409E-001, 1.1798418E+002, 2.0889632E+001, 2.0900000E+001, 2.0900000E+001, 4.0988681E-002, 3.1788537E+001, 6.6643826E+000, 6.7803435E-001, 8.6839470E-003
 5.0100000E+000, 6.9281167E+000, 9.9520459E-001, 1.2505329E+002, 2.0889135E+001, 2.0900000E+001, 2.0900000E+001, 4.0985201E-002, 3.1784361E+001, 6.5544818E+000, 7.8375893E-001, 8.0684180E-003
 5.5100000E+000, 6.9243114E+000, 9.9465796E-001, 1.3180444E+002, 2.0889567E+001, 2.0900000E+001, 2.0900000E+001, 4.0981943E-002, 3.1780452E+001, 6.4516211E+000, 8.8271089E-001, 7.6106397E-003
 6.0100000E+000, 6.9206781E+000, 9.9413604E-001, 1.3825901E+002, 2.0891003E+001, 2.0900000E+001, 2.0900000E+001, 4.0978849E-002, 3.1776739E+001, 6.3539076E+000, 9.7671129E-001, 7.2667185E-003
 6.5100000E+000, 6.9172017E+000, 9.9363668E-001, 1.4442969E+002, 2.0893760E+001, 2.0900000E+001, 2.0900000E+001, 4.0975889E-002, 3.1773187E+001, 6.2604442E+000, 1.0666231E+000, 6.9526920E-003
 7.0100000E+000, 6.9138813E+000, 9.9315971E-001, 1.5032712E+002, 2.0898746E+001, 2.0900000E+001, 2.0900000E+001, 4.0973060E-002, 3.1769792E+001, 6.1711063E+000, 1.1525661E+000, 6.6407355E-003
 7.5100000E+000, 6.9107029E+000, 9.9270314E-001, 1.5597036E+002, 2.0905304E+001, 2.0900000E+001, 2.0900000E+001, 4.0970357E-002, 3.1766548E+001, 6.0857211E+000, 1.2347067E+000, 6.3568777E-003
 8.0100000E+000, 6.9076385E+000, 9.9226294E-001, 1.6138082E+002, 2.0917198E+001, 2.0900000E+001, 2.0900000E+001, 4.0967759E-002, 3.1763431E+001, 6.0037043E+000, 1.3136068E+000, 6.1289082E-003
 8.5100000E+000, 6.9046614E+000, 9.9183529E-001, 1.6657868E+002, 2.0931458E+001, 2.0900000E+001, 2.0900000E+001, 4.0965245E-002, 3.1760414E+001, 5.9243028E+000, 1.3899911E+000, 5.9541627E-003
 9.0100000E+000, 6.9017577E+000, 9.9141818E-001, 1.7158290E+002, 2.0956434E+001, 2.0900000E+001, 2.0900000E+001, 4.0962796E-002, 3.1757476E+001, 5.8469783E+000, 1.4643773E+000, 5.8074203E-003
 9.5100000E+000, 6.8989246E+000, 9.9101122E-001, 1.7640761E+002, 2.0980361E+001, 2.0900000E+001, 2.0900000E+001, 4.0960407E-002, 3.1754609E+001, 5.7715312E+000, 1.5369573E+000, 5.6660564E-003
 1.0010000E+001, 6.8961627E+000, 9.9061449E-001, 1.8106558E+002, 2.1013632E+001, 2.0900000E+001, 2.0900000E+001, 4.0958077E-002, 3.1751813E+001, 5.6979530E+000, 1.6077396E+000, 5.5237873E-003
