Time (s),Temperature (K),HRR (W/g)
2.7,474.0,-0.05
3.7,474.5,-0.46
4.6,475.0,-0.14
5.5,475.5,-0.35
6.6,476.0,0.4
7.6,476.5,-0.08
8.4,477.0,0.83
9.6,477.5,0.7
10.6,478.0,-0.99
11.5,478.5,0.03
12.5,479.0,-0.33
13.5,479.5,-0.17
14.5,480.0,-0.42
15.4,480.5,-0.83
16.5,481.0,-0.09
17.6,481.5,-0.43
18.5,482.0,-0.89
19.5,482.5,-0.26
20.6,483.0,-0.5
21.4,483.5,-1.2
22.6,484.0,-1.82
23.6,484.5,-0.87
24.7,485.0,0.19
25.5,485.5,-0.79
26.7,486.0,-0.3
27.6,486.5,-0.71
28.6,487.0,-0.45
29.6,487.5,0.23
30.6,488.0,-0.75
31.5,488.5,0.04
32.5,489.0,0.08
33.7,489.5,-0.52
34.6,490.0,-0.32
35.6,490.5,-0.76
36.7,491.0,-1.1
37.7,491.5,-1.97
38.6,492.0,-0.93
39.7,492.5,-1.84
40.7,493.0,-0.71
41.6,493.5,-1.03
42.8,494.0,-0.09
43.6,494.5,-0.29
44.7,495.0,1.34
45.6,495.5,1.67
46.6,496.0,1.46
47.6,496.5,1.36
48.5,497.0,2.82
49.6,497.5,1.86
50.5,498.0,3.54
51.6,498.5,3.35
52.6,499.0,2.4
53.4,499.5,3.86
54.5,500.0,3.83
55.5,500.5,2.89
56.5,501.0,2.12
57.5,501.5,3.56
58.5,502.0,3.25
59.5,502.5,2.4
60.5,503.0,2.15
61.4,503.5,2.96
62.5,504.0,2.27
63.5,504.5,3.02
64.4,505.0,2.64
65.3,505.5,1.72
66.5,506.0,3.56
67.4,506.5,2.66
68.4,507.0,2.98
69.4,507.5,3.02
70.4,508.0,3.14
71.4,508.5,2.81
72.3,509.0,3.01
73.4,509.5,2.52
74.4,510.0,3.5
75.3,510.5,2.77
76.4,511.0,3.2
77.3,511.5,2.28
78.3,512.0,2.85
79.3,512.5,2.06
80.4,513.0,1.8
81.3,513.5,3.16
82.1,514.0,3.98
83.0,514.5,2.78
84.2,515.0,3.16
85.1,515.5,4.23
86.2,516.0,4.19
87.0,516.5,2.77
88.0,517.0,4.61
89.0,517.5,4.69
90.2,518.0,3.88
91.1,518.5,5.07
92.0,519.0,5.34
93.0,519.5,5.07
94.1,520.0,5.24
95.1,520.5,6.57
96.0,521.0,5.59
97.1,521.5,6.17
98.0,522.0,6.15
99.0,522.5,5.39
100.0,523.0,6.22
101.1,523.5,6.58
102.0,524.0,7.14
103.0,524.5,8.87
104.0,525.0,6.72
105.0,525.5,6.72
106.0,526.0,7.61
106.9,526.5,7.27
107.9,527.0,8.31
108.8,527.5,7.58
109.8,528.0,8.31
110.9,528.5,8.86
111.9,529.0,8.08
112.8,529.5,8.69
113.9,530.0,9.21
115.0,530.5,8.51
115.8,531.0,9.34
116.8,531.5,9.51
117.8,532.0,9.13
118.7,532.5,9.95
119.7,533.0,10.28
120.6,533.5,10.92
121.6,534.0,9.77
122.6,534.5,11.86
123.7,535.0,10.99
124.7,535.5,12.1
125.5,536.0,10.99
126.7,536.5,11.92
127.5,537.0,12.48
128.6,537.5,12.69
129.4,538.0,12.02
130.5,538.5,12.39
131.5,539.0,11.58
132.4,539.5,11.92
133.4,540.0,10.71
134.3,540.5,11.76
135.4,541.0,11.21
136.3,541.5,10.48
137.3,542.0,11.25
138.5,542.5,10.88
139.3,543.0,11.37
140.3,543.5,11.6
141.3,544.0,11.84
142.3,544.5,11.41
143.2,545.0,11.53
144.3,545.5,11.36
145.3,546.0,12.1
146.3,546.5,11.25
147.3,547.0,11.83
148.3,547.5,11.94
149.2,548.0,12.01
150.3,548.5,11.67
151.2,549.0,11.69
152.2,549.5,12.47
153.1,550.0,12.13
154.1,550.5,12.58
155.2,551.0,11.66
156.2,551.5,13.4
157.1,552.0,13.53
158.1,552.5,13.72
159.0,553.0,14.28
160.0,553.5,13.79
161.0,554.0,13.93
162.0,554.5,15.04
163.0,555.0,14.95
164.1,555.5,15.66
165.0,556.0,13.67
166.0,556.5,14.46
167.0,557.0,16.31
167.9,557.5,16.48
168.9,558.0,16.84
169.9,558.5,17.02
171.0,559.0,17.73
171.9,559.5,17.37
172.8,560.0,17.55
173.9,560.5,18.02
174.9,561.0,17.57
175.9,561.5,17.8
177.0,562.0,18.86
177.9,562.5,18.51
178.8,563.0,19.16
179.8,563.5,20.02
180.8,564.0,19.22
181.9,564.5,19.81
182.9,565.0,18.7
183.8,565.5,18.18
184.9,566.0,19.84
185.9,566.5,19.84
186.9,567.0,19.69
187.9,567.5,19.35
188.8,568.0,20.88
189.8,568.5,20.16
190.7,569.0,20.84
191.9,569.5,20.53
192.8,570.0,21.37
193.9,570.5,20.97
194.8,571.0,21.71
195.8,571.5,22.02
196.6,572.0,21.78
197.7,572.5,21.39
198.8,573.0,22.05
199.6,573.5,21.9
200.6,574.0,21.93
201.6,574.5,22.34
202.7,575.0,21.31
203.8,575.5,21.62
204.7,576.0,21.53
205.6,576.5,22.65
206.5,577.0,23.35
207.7,577.5,22.2
208.7,578.0,22.73
209.7,578.5,22.9
210.6,579.0,23.65
211.7,579.5,23.69
212.7,580.0,24.31
213.6,580.5,24.12
214.6,581.0,24.1
215.6,581.5,24.59
216.7,582.0,24.43
217.7,582.5,25.3
218.5,583.0,27.16
219.6,583.5,25.78
220.7,584.0,25.63
221.7,584.5,26.39
222.7,585.0,27.01
223.7,585.5,27.06
224.7,586.0,27.18
225.8,586.5,27.48
226.8,587.0,26.97
227.8,587.5,27.42
228.8,588.0,28.12
229.7,588.5,27.91
230.8,589.0,28.81
231.8,589.5,28.71
232.8,590.0,29.17
233.8,590.5,28.18
234.7,591.0,27.49
235.8,591.5,28.44
236.9,592.0,30.56
237.8,592.5,29.45
238.8,593.0,29.31
239.8,593.5,30.24
240.8,594.0,30.24
241.8,594.5,31.63
242.8,595.0,31.59
243.8,595.5,31.05
244.8,596.0,31.79
245.8,596.5,32.82
246.9,597.0,31.82
247.8,597.5,32.59
248.8,598.0,32.84
249.8,598.5,32.8
250.9,599.0,34.37
251.9,599.5,33.69
252.8,600.0,34.32
253.9,600.5,33.66
254.9,601.0,35.01
255.8,601.5,35.5
256.9,602.0,36.09
257.9,602.5,36.38
258.9,603.0,37.4
259.8,603.5,37.78
260.9,604.0,37.06
261.8,604.5,37.76
262.8,605.0,38.35
263.9,605.5,37.69
264.8,606.0,39.62
265.8,606.5,39.75
266.8,607.0,39.87
267.8,607.5,39.24
268.8,608.0,39.6
269.7,608.5,40.2
270.7,609.0,40.27
271.7,609.5,39.59
272.7,610.0,40.05
273.7,610.5,39.38
274.7,611.0,41.51
275.7,611.5,41.32
276.7,612.0,41.18
277.6,612.5,42.67
278.6,613.0,42.07
279.7,613.5,41.43
280.8,614.0,42.48
281.6,614.5,42.42
282.7,615.0,43.02
283.7,615.5,41.45
284.7,616.0,43.32
285.7,616.5,42.8
286.7,617.0,42.85
287.7,617.5,42.46
288.7,618.0,41.81
289.7,618.5,42.0
290.7,619.0,42.47
291.7,619.5,42.86
292.7,620.0,43.84
293.6,620.5,44.47
294.6,621.0,44.88
295.6,621.5,45.33
296.6,622.0,45.89
297.6,622.5,46.31
298.6,623.0,46.6
299.6,623.5,46.45
300.4,624.0,46.69
301.4,624.5,47.21
302.5,625.0,47.22
303.4,625.5,48.17
304.5,626.0,47.71
305.5,626.5,49.12
306.4,627.0,49.82
307.4,627.5,50.56
308.5,628.0,48.71
309.5,628.5,49.54
310.4,629.0,48.84
311.5,629.5,49.38
312.4,630.0,49.58
313.5,630.5,49.59
314.6,631.0,50.1
315.7,631.5,50.07
316.5,632.0,51.7
317.6,632.5,51.7
318.6,633.0,52.23
319.7,633.5,52.46
320.6,634.0,51.32
321.7,634.5,53.61
322.7,635.0,53.96
323.8,635.5,54.22
324.7,636.0,54.75
325.8,636.5,54.52
326.8,637.0,53.94
327.8,637.5,55.3
328.8,638.0,55.44
329.8,638.5,56.31
330.8,639.0,56.13
331.9,639.5,56.07
333.0,640.0,57.13
333.9,640.5,56.76
335.0,641.0,56.47
336.0,641.5,58.02
337.0,642.0,57.89
338.0,642.5,57.35
339.1,643.0,57.45
340.0,643.5,57.47
341.2,644.0,58.34
342.1,644.5,58.56
343.2,645.0,58.75
344.2,645.5,58.84
345.2,646.0,59.72
346.2,646.5,60.63
347.2,647.0,61.4
348.2,647.5,60.46
349.2,648.0,61.44
350.3,648.5,62.33
351.4,649.0,62.84
352.3,649.5,62.69
353.3,650.0,62.46
354.3,650.5,62.66
355.3,651.0,62.92
356.2,651.5,62.31
357.2,652.0,62.3
358.3,652.5,62.27
359.3,653.0,62.17
360.3,653.5,62.1
361.2,654.0,62.56
362.3,654.5,61.94
363.3,655.0,62.15
364.4,655.5,62.13
365.4,656.0,61.75
366.4,656.5,62.47
367.3,657.0,60.8
368.3,657.5,60.64
369.4,658.0,60.5
370.3,658.5,58.9
371.3,659.0,58.66
372.3,659.5,57.51
373.4,660.0,56.87
374.4,660.5,55.64
375.4,661.0,54.65
376.4,661.5,53.84
377.3,662.0,52.62
378.3,662.5,51.52
379.4,663.0,50.15
380.4,663.5,48.68
381.2,664.0,48.3
382.3,664.5,47.0
383.3,665.0,44.83
384.4,665.5,43.08
385.4,666.0,41.73
386.4,666.5,40.48
387.4,667.0,39.66
388.3,667.5,37.3
389.4,668.0,35.91
390.4,668.5,33.93
391.3,669.0,33.25
392.3,669.5,30.99
393.4,670.0,29.34
394.3,670.5,29.27
395.4,671.0,25.98
396.4,671.5,24.33
397.4,672.0,23.26
398.4,672.5,23.02
399.4,673.0,21.3
400.4,673.5,20.38
401.4,674.0,17.97
402.4,674.5,16.42
403.4,675.0,17.09
404.4,675.5,14.59
405.5,676.0,14.03
406.6,676.5,12.45
407.6,677.0,11.58
408.7,677.5,11.75
409.7,678.0,10.82
410.6,678.5,9.88
411.7,679.0,9.67
412.6,679.5,8.88
413.7,680.0,8.41
414.7,680.5,7.41
415.7,681.0,7.54
416.7,681.5,7.53
417.7,682.0,7.68
418.7,682.5,7.38
419.8,683.0,5.34
420.7,683.5,6.35
421.7,684.0,4.89
422.7,684.5,4.91
423.8,685.0,3.53
424.8,685.5,3.11
425.8,686.0,2.75
426.8,686.5,2.85
427.9,687.0,2.33
428.9,687.5,1.74
429.9,688.0,2.12
431.0,688.5,1.53
432.0,689.0,1.57
433.0,689.5,-0.48
434.0,690.0,0.55
435.0,690.5,0.24
435.9,691.0,0.35
436.9,691.5,-0.45
437.9,692.0,-0.32
438.8,692.5,-0.54
440.0,693.0,-0.64
441.1,693.5,0.12
442.0,694.0,-0.4
443.1,694.5,-0.92
444.0,695.0,0.21
445.1,695.5,-0.05
446.1,696.0,-1.01
447.1,696.5,-0.39
448.2,697.0,0.12
449.1,697.5,-0.47
450.2,698.0,-0.87
451.2,698.5,-1.09
452.3,699.0,-1.77
453.3,699.5,-1.63
454.2,700.0,-1.33
455.2,700.5,-1.72
456.2,701.0,-2.2
457.2,701.5,-1.25
458.2,702.0,-1.47
459.3,702.5,-0.91
