Time (s),Mass (g)
0,85.87
1,85.76
2,85.79
3,85.78
4,85.78
5,85.77
6,85.77
7,85.77
8,85.76
9,85.75
10,85.74
11,85.72
12,85.7
13,85.7
14,85.7
15,85.69
16,85.68
17,85.68
18,85.67
19,85.66
20,85.65
21,85.65
22,85.64
23,85.64
24,85.61
25,85.61
26,85.61
27,85.61
28,85.61
29,85.6
30,85.59
31,85.59
32,85.59
33,85.58
34,85.58
35,85.55
36,85.55
37,85.53
38,85.53
39,85.53
40,85.53
41,85.52
42,85.51
43,85.51
44,85.51
45,85.5
46,85.48
47,85.48
48,85.48
49,85.45
50,85.45
51,85.43
52,85.43
53,85.43
54,85.43
55,85.42
56,85.42
57,85.41
58,85.4
59,85.39
60,85.36
61,85.36
62,85.35
63,85.35
64,85.34
65,85.33
66,85.32
67,85.31
68,85.28
69,85.27
70,85.24
71,85.23
72,85.24
73,85.22
74,85.22
75,85.22
76,85.22
77,85.21
78,85.2
79,85.2
80,85.18
81,85.14
82,85.14
83,85.13
84,85.11
85,85.11
86,85.11
87,85.1
88,85.06
89,85.05
90,85.06
91,85.03
92,85.03
93,85.02
94,85.01
95,85.01
96,84.99
97,84.98
98,84.98
99,84.95
100,84.94
101,84.93
102,84.92
103,84.89
104,84.88
105,84.86
106,84.86
107,84.86
108,84.84
109,84.84
110,84.82
111,84.8
112,84.78
113,84.78
114,84.76
115,84.76
116,84.75
117,84.74
118,84.69
119,84.67
120,84.68
121,84.67
122,84.67
123,84.66
124,84.66
125,84.64
126,84.61
127,84.61
128,84.58
129,84.57
130,84.56
131,84.55
132,84.51
133,84.51
134,84.5
135,84.49
136,84.48
137,84.48
138,84.45
139,84.44
140,84.44
141,84.4
142,84.39
143,84.39
144,84.39
145,84.38
146,84.36
147,84.33
148,84.32
149,84.32
150,84.3
151,84.3
152,84.3
153,84.27
154,84.24
155,84.24
156,84.21
157,84.21
158,84.21
159,84.2
160,84.19
161,84.15
162,84.15
163,84.14
164,84.14
165,84.13
166,84.12
167,84.12
168,84.11
169,84.08
170,84.06
171,84.05
172,84.04
173,84.04
174,84.01
175,84.0
176,83.98
177,83.98
178,83.95
179,83.95
180,83.94
181,83.93
182,83.93
183,83.92
184,83.91
185,83.88
186,83.88
187,83.87
188,83.85
189,83.85
190,83.84
191,83.84
192,83.83
193,83.8
194,83.79
195,83.87
196,83.78
