Time (s),Mass (g)
0,111.69
1,111.54
2,111.58
3,111.58
4,111.58
5,111.58
6,111.57
7,111.56
8,111.56
9,111.53
10,111.52
11,111.51
12,111.48
13,111.48
14,111.47
15,111.45
16,111.41
17,111.41
18,111.41
19,111.4
20,111.37
21,111.37
22,111.37
23,111.35
24,111.33
25,111.31
26,111.3
27,111.3
28,111.29
29,111.28
30,111.27
31,111.26
32,111.23
33,111.22
34,111.23
35,111.21
36,111.2
37,111.2
38,111.19
39,111.16
40,111.16
41,111.15
42,111.12
43,111.12
44,111.09
45,111.09
46,111.09
47,111.07
48,111.06
49,111.06
50,111.05
51,111.03
52,111.02
53,111.01
54,110.99
55,110.97
56,110.97
57,110.96
58,110.96
59,110.95
60,110.95
61,110.94
62,110.89
63,110.89
64,110.89
65,110.88
66,110.87
67,110.87
68,110.86
69,110.82
70,110.82
71,110.81
72,110.81
73,110.8
74,110.79
75,110.78
76,110.78
77,110.76
78,110.73
79,110.71
80,110.71
81,110.71
82,110.7
83,110.68
84,110.68
85,110.67
86,110.65
87,110.64
88,110.61
89,110.6
90,110.6
91,110.6
92,110.59
93,110.57
94,110.57
95,110.54
96,110.53
97,110.52
98,110.52
99,110.51
100,110.5
101,110.48
102,110.46
103,110.46
104,110.45
105,110.42
106,110.42
107,110.4
108,110.39
109,110.36
110,110.37
111,110.35
112,110.35
113,110.32
114,110.31
115,110.31
116,110.31
117,110.27
118,110.26
119,110.26
120,110.25
121,110.24
122,110.23
123,110.23
124,110.19
125,110.16
126,110.16
127,110.15
128,110.13
129,110.12
130,110.12
131,110.1
132,110.08
133,110.07
134,110.07
135,110.04
136,110.03
137,110.03
138,109.99
139,109.99
140,109.97
141,109.97
142,109.97
143,109.93
144,109.92
145,109.91
146,109.89
147,109.89
148,109.87
149,109.85
150,109.83
151,109.82
152,109.8
153,109.78
154,109.76
155,109.75
156,109.74
157,109.72
158,109.72
159,109.7
160,109.69
161,109.68
162,109.63
163,109.63
164,109.61
165,109.61
166,109.6
167,109.58
168,109.58
169,109.56
170,109.52
171,109.52
172,109.51
173,109.48
174,109.45
175,109.45
176,109.43
177,109.42
178,109.4
179,109.4
180,109.39
181,109.37
182,109.33
183,109.31
184,109.31
185,109.29
186,109.25
187,109.25
188,109.23
189,109.21
190,109.2
191,109.19
192,109.16
193,109.15
194,109.13
195,109.11
196,109.1
197,109.09
198,109.06
199,109.04
200,109.03
201,109.01
202,109.0
203,108.98
204,108.95
205,108.95
206,108.9
207,108.9
208,108.88
209,108.87
210,108.86
211,108.86
212,108.84
213,108.78
214,108.78
215,108.78
216,108.75
217,108.71
218,108.7
219,108.68
220,108.68
221,108.67
222,108.67
223,108.63
224,108.61
225,108.57
226,108.56
227,108.55
