Time (s),Temperature (K),HRR (W/g)
7.8,474.0,0.11
8.8,474.5,0.87
9.8,475.0,0.21
10.9,475.5,1.07
11.7,476.0,1.17
12.8,476.5,1.31
13.8,477.0,0.98
14.9,477.5,0.73
15.8,478.0,1.46
16.9,478.5,1.29
17.7,479.0,1.99
18.9,479.5,1.22
19.9,480.0,1.09
20.8,480.5,1.5
21.8,481.0,1.97
22.9,481.5,1.08
24.0,482.0,0.58
24.9,482.5,0.44
26.0,483.0,1.24
27.0,483.5,0.97
28.0,484.0,2.06
29.1,484.5,1.22
30.1,485.0,0.99
31.1,485.5,1.86
32.1,486.0,0.13
33.1,486.5,0.89
34.1,487.0,1.98
35.0,487.5,0.65
36.1,488.0,1.21
37.1,488.5,1.41
38.1,489.0,0.74
39.1,489.5,-0.04
40.1,490.0,0.24
41.1,490.5,0.56
42.0,491.0,1.06
43.1,491.5,0.69
44.2,492.0,0.22
45.0,492.5,0.56
46.1,493.0,0.7
47.0,493.5,1.21
48.1,494.0,1.97
49.0,494.5,1.68
50.0,495.0,2.06
51.1,495.5,2.46
52.0,496.0,2.23
52.9,496.5,3.09
53.9,497.0,2.6
54.9,497.5,1.92
55.9,498.0,2.78
56.8,498.5,1.79
57.9,499.0,2.72
58.8,499.5,3.22
59.7,500.0,2.91
60.8,500.5,3.22
61.7,501.0,2.99
62.7,501.5,3.38
63.7,502.0,3.45
64.6,502.5,3.13
65.6,503.0,4.01
66.6,503.5,4.51
67.5,504.0,2.53
68.5,504.5,3.56
69.5,505.0,4.29
70.5,505.5,3.55
71.4,506.0,3.14
72.5,506.5,2.67
73.4,507.0,3.59
74.3,507.5,2.84
75.4,508.0,3.05
76.4,508.5,2.0
77.3,509.0,2.49
78.3,509.5,2.17
79.2,510.0,2.71
80.2,510.5,2.72
81.2,511.0,3.01
82.1,511.5,1.94
83.1,512.0,2.69
84.1,512.5,2.91
85.0,513.0,2.28
86.1,513.5,3.48
87.1,514.0,2.18
88.0,514.5,2.02
88.8,515.0,1.39
89.8,515.5,1.64
90.8,516.0,1.62
91.8,516.5,2.34
92.7,517.0,1.62
93.7,517.5,2.16
94.7,518.0,2.14
95.6,518.5,2.23
96.5,519.0,2.31
97.6,519.5,2.79
98.5,520.0,3.19
99.5,520.5,2.94
100.5,521.0,4.05
101.5,521.5,4.06
102.4,522.0,2.78
103.4,522.5,2.42
104.3,523.0,2.26
105.3,523.5,2.8
106.3,524.0,3.58
107.3,524.5,2.99
108.4,525.0,3.53
109.3,525.5,4.55
110.3,526.0,4.38
111.2,526.5,4.21
112.2,527.0,3.88
113.2,527.5,3.55
114.2,528.0,3.08
115.2,528.5,3.94
116.2,529.0,3.66
117.1,529.5,3.46
118.2,530.0,3.42
119.1,530.5,4.51
120.1,531.0,4.32
121.2,531.5,4.3
122.1,532.0,4.67
123.1,532.5,3.94
124.1,533.0,4.09
125.2,533.5,4.15
126.1,534.0,4.38
127.2,534.5,4.31
128.2,535.0,4.91
129.1,535.5,4.25
130.2,536.0,4.46
131.2,536.5,4.85
132.2,537.0,5.03
133.2,537.5,4.41
134.1,538.0,4.99
135.2,538.5,4.95
136.1,539.0,5.85
137.2,539.5,5.6
138.2,540.0,5.47
139.1,540.5,5.31
140.2,541.0,5.67
141.1,541.5,5.9
142.2,542.0,5.24
143.2,542.5,4.99
144.1,543.0,5.42
145.2,543.5,5.57
146.1,544.0,5.94
147.1,544.5,5.0
148.1,545.0,5.54
149.2,545.5,5.63
150.2,546.0,7.15
151.1,546.5,7.4
152.1,547.0,6.55
153.2,547.5,6.78
154.2,548.0,6.64
155.2,548.5,6.7
156.2,549.0,6.42
