Time (s),Temperature (C),HRR (W/g)
0.0,300.594,0.0
0.5,300.851,-0.156
1.0,301.097,-0.413
1.5,301.328,-0.355
2.0,301.607,-0.334
2.5,301.838,-0.233
3.0,302.125,-0.134
3.5,302.333,-0.203
4.0,302.567,-0.328
4.5,302.847,-0.217
5.0,303.133,0.018
5.5,303.338,-0.124
6.0,303.619,-0.309
6.5,303.88,-0.195
7.0,304.097,-0.2
7.5,304.356,-0.326
8.0,304.568,-0.415
8.5,304.831,-0.097
9.0,305.129,-0.268
9.5,305.357,-0.358
10.0,305.576,-0.358
10.5,305.867,-0.318
11.0,306.15,-0.414
11.5,306.346,-0.519
12.0,306.606,-0.747
12.5,306.858,-0.414
13.0,307.146,-0.645
13.5,307.377,-0.443
14.0,307.617,-0.289
14.5,307.912,-0.444
15.0,308.111,-0.302
15.5,308.402,-0.443
16.0,308.618,-0.225
16.5,308.912,-0.192
17.0,309.138,-0.332
17.5,309.391,-0.133
18.0,309.651,-0.267
18.5,309.918,-0.341
19.0,310.161,-0.371
19.5,310.392,-0.338
20.0,310.646,-0.125
20.5,310.897,-0.522
21.0,311.144,-0.137
21.5,311.448,-0.197
22.0,311.687,-0.46
22.5,311.913,-0.16
23.0,312.197,-0.093
23.5,312.476,-0.502
24.0,312.659,0.011
24.5,312.927,-0.216
25.0,313.171,-0.393
25.5,313.419,-0.048
26.0,313.68,-0.098
26.5,313.922,-0.203
27.0,314.184,-0.52
27.5,314.438,-0.288
28.0,314.683,-0.528
28.5,314.905,-0.101
29.0,315.102,-0.265
29.5,315.385,-0.418
30.0,315.646,-0.555
30.5,315.913,-0.415
31.0,316.145,-0.326
31.5,316.418,-0.264
32.0,316.668,-0.312
32.5,316.907,-0.224
33.0,317.176,-0.006
33.5,317.391,-0.218
34.0,317.679,-0.059
34.5,317.917,-0.25
35.0,318.163,-0.047
35.5,318.43,-0.053
36.0,318.646,-0.095
36.5,318.9,-0.358
37.0,319.147,-0.107
37.5,319.4,0.106
38.0,319.641,-0.196
38.5,319.893,0.016
39.0,320.149,-0.222
39.5,320.382,-0.114
40.0,320.654,-0.066
40.5,320.856,0.006
41.0,321.156,-0.098
41.5,321.386,0.147
42.0,321.621,-0.211
42.5,321.896,-0.276
43.0,322.152,-0.246
43.5,322.426,0.022
44.0,322.642,0.037
44.5,322.902,-0.062
45.0,323.187,0.009
45.5,323.387,-0.103
46.0,323.638,0.148
46.5,323.906,0.174
47.0,324.131,0.103
47.5,324.418,0.185
48.0,324.64,0.012
48.5,324.893,0.024
49.0,325.131,0.02
49.5,325.349,0.022
50.0,325.605,-0.016
50.5,325.872,-0.206
51.0,326.105,-0.077
51.5,326.37,-0.203
52.0,326.6,-0.031
52.5,326.883,-0.215
53.0,327.128,-0.071
53.5,327.362,0.22
