Time (s),Mass (g)
0,85.0
1,84.88
2,84.88
3,84.9
4,84.9
5,84.9
6,84.88
7,84.88
8,84.87
9,84.86
10,84.86
11,84.84
12,84.84
13,84.82
14,84.82
15,84.82
16,84.81
17,84.81
18,84.8
19,84.79
20,84.79
21,84.77
22,84.77
23,84.75
24,84.75
25,84.75
26,84.75
27,84.75
28,84.73
29,84.73
30,84.72
31,84.71
32,84.71
33,84.71
34,84.69
35,84.69
36,84.69
37,84.68
38,84.67
39,84.66
40,84.65
41,84.65
42,84.64
43,84.63
44,84.63
45,84.62
46,84.62
47,84.62
48,84.59
49,84.59
50,84.59
51,84.58
52,84.57
53,84.56
54,84.56
55,84.55
56,84.53
57,84.52
58,84.51
59,84.5
60,84.5
61,84.49
62,84.48
63,84.47
64,84.47
65,84.46
66,84.46
67,84.45
68,84.44
69,84.41
70,84.39
71,84.38
72,84.4
73,84.38
74,84.38
75,84.38
76,84.37
77,84.36
78,84.35
79,84.34
80,84.32
81,84.31
82,84.3
83,84.29
84,84.28
85,84.28
86,84.27
87,84.26
88,84.26
89,84.21
90,84.22
91,84.2
92,84.2
93,84.18
94,84.17
95,84.17
96,84.16
97,84.15
98,84.13
99,84.11
100,84.1
101,84.09
102,84.09
103,84.09
104,84.08
105,84.07
106,84.03
107,84.03
108,84.02
109,84.0
110,84.0
111,83.99
112,83.98
113,83.98
114,83.97
115,83.95
116,83.92
117,83.92
118,83.9
119,83.9
120,83.88
121,83.88
122,83.85
123,83.84
124,83.83
125,83.83
126,83.8
127,83.79
128,83.79
129,83.79
130,83.77
131,83.76
132,83.75
133,83.71
134,83.71
135,83.71
136,83.69
137,83.69
138,83.66
139,83.66
140,83.66
141,83.64
142,83.63
143,83.61
144,83.6
145,83.58
146,83.57
147,83.56
148,83.55
149,83.54
150,83.54
151,83.51
152,83.49
153,83.48
154,83.47
155,83.47
156,83.46
157,83.45
158,83.45
159,83.41
160,83.39
161,83.39
162,83.38
163,83.37
164,83.36
165,83.35
166,83.31
167,83.32
168,83.31
169,83.3
170,83.3
171,83.29
172,83.27
173,83.27
174,83.23
175,83.21
176,83.21
177,83.21
178,83.19
179,83.18
180,83.18
181,83.17
182,83.14
183,83.14
184,83.12
185,83.12
186,83.11
187,83.11
188,83.1
189,83.09
190,83.06
191,83.03
192,83.03
193,83.03
194,83.03
195,83.03
196,83.02
197,83.01
198,83.0
199,82.95
200,82.97
201,82.95
202,82.95
203,82.94
204,82.94
205,82.91
206,82.91
207,82.88
208,82.88
209,82.87
210,82.86
211,82.85
212,82.84
213,82.83
214,82.82
215,82.81
216,82.78
217,82.78
218,82.78
219,82.76
220,82.75
221,82.74
222,82.73
223,82.73
224,82.72
225,82.7
226,82.68
227,82.69
228,82.67
229,82.67
230,82.67
231,82.65
232,82.64
233,82.64
234,82.6
235,82.61
236,82.61
237,82.58
238,82.58
239,82.58
240,82.58
241,82.57
242,82.56
243,82.55
244,82.53
245,82.52
246,82.51
247,82.51
248,82.5
249,82.48
250,82.47
251,82.47
252,82.47
253,82.44
254,82.44
255,82.44
256,82.43
257,82.43
258,82.42
259,82.39
260,82.38
261,82.36
262,82.36
263,82.36
264,82.35
265,82.34
266,82.34
267,82.32
268,82.3
269,82.3
270,82.28
271,82.27
272,82.27
273,82.24
274,82.25
275,82.25
276,82.24
277,82.23
278,82.22
279,82.22
280,82.2
281,82.19
282,82.18
283,82.16
284,82.16
285,82.16
286,82.15
287,82.14
288,82.13
289,82.13
290,82.1
291,82.09
292,82.09
293,82.08
294,82.08
295,82.08
296,82.07
297,82.07
298,82.06
299,82.03
300,82.02
301,82.01
302,82.01
303,82.01
304,81.99
305,81.99
306,81.98
307,81.98
308,81.98
309,81.97
310,81.96
311,81.95
312,81.93
313,81.92
314,81.92
315,81.9
316,81.9
317,81.89
318,81.88
319,81.87
320,81.85
321,81.84
322,81.84
323,81.83
324,81.82
325,81.81
326,81.8
327,81.8
328,81.8
329,81.79
330,81.77
331,81.76
332,81.75
333,81.75
334,81.74
335,81.73
336,81.73
337,81.73
338,81.72
339,81.72
340,81.69
341,81.69
342,81.68
343,81.66
344,81.66
345,81.66
346,81.64
347,81.64
348,81.63
349,81.62
350,81.62
351,81.62
352,81.58
353,81.59
354,81.58
355,81.57
356,81.57
357,81.54
358,81.54
359,81.52
360,81.51
361,81.51
362,81.51
363,81.5
364,81.49
365,81.48
366,81.48
367,81.47
368,81.47
369,81.47
370,81.44
371,81.44
372,81.44
373,81.43
374,81.42
375,81.42
376,81.41
377,81.4
378,81.37
379,81.37
380,81.35
381,81.35
382,81.35
383,81.34
384,81.34
385,81.31
386,81.31
387,81.31
388,81.28
389,81.28
390,81.28
391,81.28
392,81.27
393,81.27
394,81.27
395,81.26
396,81.25
397,81.21
398,81.18
399,81.18
400,81.2
401,81.18
402,81.18
403,81.18
404,81.17
405,81.17
406,81.16
407,81.14
408,81.13
409,81.11
410,81.12
411,81.12
412,81.1
413,81.1
414,81.09
415,81.09
416,81.08
417,81.06
418,81.05
419,81.04
420,81.04
421,81.04
422,81.02
423,81.02
424,81.01
425,81.0
426,80.99
427,80.97
428,80.97
429,80.97
430,80.94
431,80.93
432,80.92
433,80.92
434,80.91
435,80.91
436,80.9
437,80.89
438,80.88
439,80.87
440,80.87
441,80.87
442,80.87
443,80.86
444,80.83
445,80.82
446,80.82
447,80.82
448,80.8
449,80.8
450,80.79
451,80.77
452,80.77
453,80.76
454,80.76
455,80.75
456,80.73
457,80.73
458,80.72
459,80.72
460,80.71
461,80.7
462,80.7
463,80.69
464,80.69
465,80.68
466,80.66
467,80.63
468,80.64
469,80.63
470,80.63
471,80.63
472,80.62
473,80.61
474,80.61
475,80.59
476,80.59
477,80.57
478,80.55
479,80.55
480,80.54
481,80.53
482,80.53
483,80.53
484,80.52
485,80.47
486,80.47
487,80.47
488,80.47
489,80.47
490,80.46
491,80.45
492,80.45
493,80.44
494,80.43
495,80.43
496,80.4
497,80.4
498,80.39
499,80.39
500,80.38
501,80.37
502,80.36
503,80.35
504,80.34
505,80.33
506,80.32
507,80.32
508,80.31
509,80.31
510,80.31
511,80.29
512,80.28
513,80.28
514,80.27
515,80.24
516,80.24
517,80.23
518,80.21
519,80.21
520,80.19
521,80.19
522,80.19
523,80.19
524,80.18
525,80.18
526,80.17
527,80.13
528,80.14
529,80.12
530,80.12
531,80.11
532,80.1
533,80.1
534,80.1
535,80.09
536,80.07
537,80.07
538,80.05
539,80.04
540,80.04
541,80.03
542,80.02
543,80.01
544,80.0
545,79.99
546,79.99
547,79.98
548,79.96
549,79.96
550,79.94
551,79.94
552,79.93
553,79.92
554,79.91
555,79.91
556,79.89
557,79.88
558,79.87
559,79.85
560,79.85
561,79.85
562,79.84
563,79.83
564,79.83
565,79.82
566,79.8
567,79.78
568,79.78
569,79.78
570,79.78
571,79.77
572,79.75
573,79.74
574,79.73
575,79.72
576,79.72
577,79.69
578,79.69
579,79.68
580,79.68
581,79.68
582,79.68
583,79.66
584,79.64
585,79.6
586,79.62
587,79.6
588,79.6
589,79.6
590,79.59
591,79.59
592,79.58
593,79.55
594,79.54
595,79.54
596,79.52
597,79.51
598,79.51
599,79.5
600,79.49
601,79.49
602,79.48
603,79.48
604,79.48
605,79.44
606,79.43
607,79.45
608,79.41
609,79.4
610,79.4
611,79.4
612,79.4
613,79.39
614,79.36
615,79.35
616,79.38
617,79.35
618,79.32
619,79.32
620,79.32
621,79.31
622,79.3
623,79.3
624,79.27
625,79.26
626,79.25
627,79.25
628,79.24
629,79.23
630,79.22
631,79.22
632,79.2
633,79.19
634,79.17
635,79.16
636,79.15
637,79.15
638,79.15
639,79.15
640,79.13
641,79.12
642,79.11
643,79.08
644,79.09
645,79.07
646,79.07
647,79.06
648,79.05
649,79.05
650,79.04
651,79.03
652,79.01
653,78.98
654,78.98
655,78.97
656,78.95
657,78.95
658,78.95
659,78.95
660,78.94
661,78.91
662,78.9
663,78.88
664,78.89
665,78.88
666,78.87
667,78.87
668,78.86
669,78.86
670,78.85
671,78.83
672,78.81
673,78.8
674,78.79
675,78.79
676,78.78
677,78.77
678,78.77
679,78.76
680,78.72
681,78.73
682,78.7
683,78.7
684,78.7
685,78.69
686,78.68
687,78.68
688,78.68
689,78.66
690,78.64
691,78.63
692,78.62
693,78.61
694,78.61
695,78.59
696,78.58
697,78.58
698,78.58
699,78.55
700,78.54
701,78.54
702,78.49
703,78.5
704,78.49
705,78.49
706,78.49
707,78.48
708,78.48
709,78.47
710,78.46
711,78.45
712,78.43
713,78.41
714,78.4
715,78.4
716,78.38
717,78.38
718,78.38
719,78.37
720,78.37
721,78.34
722,78.33
723,78.32
724,78.31
725,78.3
726,78.3
727,78.29
728,78.27
729,78.27
730,78.26
731,78.24
732,78.23
733,78.23
734,78.22
735,78.21
736,78.2
737,78.19
738,78.17
739,78.16
740,78.14
741,78.14
742,78.14
743,78.12
744,78.12
745,78.11
746,78.1
747,78.08
748,78.08
749,78.05
750,78.04
751,78.04
752,78.04
753,78.04
754,78.03
755,78.02
756,78.01
757,77.97
758,77.96
759,77.96
760,77.96
761,77.96
762,77.94
763,77.94
764,77.93
765,77.92
766,77.92
767,77.9
768,77.88
769,77.88
770,77.87
771,77.86
772,77.85
773,77.85
774,77.81
775,77.81
776,77.8
777,77.78
778,77.78
779,77.77
780,77.75
781,77.75
782,77.75
783,77.74
784,77.74
785,77.72
786,77.7
787,77.68
788,77.68
789,77.68
790,77.67
791,77.66
792,77.65
793,77.65
794,77.64
795,77.6
796,77.6
797,77.59
798,77.58
799,77.58
800,77.56
801,77.55
802,77.53
803,77.52
804,77.5
805,77.49
806,77.5
807,77.49
808,77.49
809,77.48
810,77.47
811,77.46
812,77.42
813,77.42
814,77.42
815,77.4
816,77.4
817,77.39
818,77.39
819,77.37
820,77.36
821,77.35
822,77.33
823,77.34
824,77.32
825,77.32
826,77.32
827,77.3
828,77.29
829,77.27
830,77.24
831,77.23
832,77.22
833,77.22
834,77.22
835,77.21
836,77.2
837,77.19
838,77.19
839,77.16
840,77.16
841,77.14
842,77.13
843,77.13
844,77.13
845,77.11
846,77.11
847,77.11
848,77.07
849,77.07
850,77.06
851,77.05
852,77.05
853,77.05
854,77.03
855,77.01
856,77.01
857,76.98
858,76.97
859,76.96
860,76.96
861,76.95
862,76.94
863,76.93
864,76.9
865,76.9
866,76.89
867,76.88
868,76.88
869,76.87
870,76.86
871,76.84
872,76.82
873,76.81
874,76.81
875,76.81
876,76.79
877,76.79
878,76.77
879,76.77
880,76.76
881,76.73
882,76.72
883,76.72
884,76.72
885,76.7
886,76.7
887,76.7
888,76.68
889,76.68
890,76.65
891,76.64
892,76.63
893,76.63
894,76.62
895,76.61
