Time (s),Mass (g),HRR (kW/m2)
0.0,88.16,0.0
1.0,88.13,1.7
2.0,88.11,3.2
3.0,88.1,0.0
4.0,88.08,0.0
5.0,88.08,0.1
6.0,88.06,2.3
7.0,88.04,0.0
8.0,88.04,0.0
9.0,88.03,1.9
10.0,88.02,0.1
11.0,88.01,0.0
12.0,88.01,0.0
13.0,88.0,0.9
14.0,87.99,0.0
15.0,87.98,1.9
16.0,87.96,1.8
17.0,87.94,0.0
18.0,87.93,0.0
19.0,87.93,0.2
20.0,87.92,0.3
21.0,87.89,0.0
22.0,87.88,0.0
23.0,87.87,0.0
24.0,87.86,0.0
25.0,87.85,0.0
26.0,87.83,0.0
27.0,87.83,2.7
28.0,87.67,0.8
29.0,87.58,10.6
30.0,87.53,22.9
31.0,87.38,35.2
32.0,87.22,31.1
33.0,87.14,54.4
34.0,87.05,74.0
35.0,86.92,93.8
36.0,86.85,91.1
37.0,86.71,112.0
38.0,86.65,132.5
39.0,86.57,146.4
40.0,86.45,145.1
41.0,86.38,154.4
42.0,86.26,157.7
43.0,86.15,155.6
44.0,86.08,154.1
45.0,86.04,152.6
46.0,85.94,149.3
47.0,85.83,145.5
48.0,85.79,145.5
49.0,85.72,139.4
50.0,85.63,134.8
51.0,85.57,129.1
52.0,85.49,129.8
53.0,85.41,124.8
54.0,85.35,120.2
55.0,85.29,118.7
56.0,85.23,119.4
57.0,85.18,114.2
58.0,85.1,111.5
59.0,85.02,107.3
60.0,84.99,108.0
61.0,84.93,102.4
62.0,84.86,101.3
63.0,84.82,101.2
64.0,84.75,100.5
65.0,84.68,95.9
66.0,84.64,95.7
67.0,84.59,92.8
68.0,84.49,93.3
69.0,84.47,92.5
70.0,84.41,90.1
71.0,84.34,91.7
72.0,84.34,92.2
73.0,84.25,86.2
74.0,84.17,87.9
75.0,84.15,85.3
76.0,84.1,85.6
77.0,84.02,85.9
78.0,83.99,84.2
79.0,83.94,80.2
80.0,83.86,80.5
81.0,83.84,81.0
82.0,83.81,79.0
83.0,83.7,80.1
84.0,83.67,79.8
85.0,83.62,80.0
86.0,83.57,77.8
87.0,83.54,77.9
88.0,83.48,78.5
89.0,83.4,77.3
90.0,83.38,76.6
91.0,83.33,76.2
92.0,83.27,76.3
93.0,83.23,75.3
94.0,83.17,74.7
95.0,83.09,74.4
96.0,83.07,74.4
97.0,83.03,72.9
98.0,82.98,73.1
99.0,82.91,70.6
100.0,82.87,70.5
101.0,82.82,71.0
102.0,82.8,69.9
103.0,82.74,74.1
104.0,82.68,74.1
105.0,82.66,72.5
106.0,82.58,73.8
107.0,82.54,74.2
108.0,82.52,74.7
109.0,82.45,73.1
110.0,82.39,71.3
111.0,82.36,73.6
112.0,82.3,73.2
113.0,82.26,74.6
114.0,82.23,71.3
115.0,82.18,73.8
116.0,82.09,73.9
117.0,82.07,70.6
118.0,82.03,73.9
119.0,81.99,69.0
120.0,81.95,69.3
121.0,81.89,70.6
122.0,81.84,68.4
123.0,81.81,70.3
124.0,81.76,71.0
125.0,81.72,65.4
126.0,81.7,66.7
127.0,81.62,68.2
128.0,81.58,68.4
129.0,81.54,67.2
130.0,81.5,67.5
131.0,81.46,67.1
132.0,81.43,67.1
133.0,81.41,65.4
134.0,81.29,64.8
135.0,81.27,62.4
136.0,81.24,61.9
137.0,81.2,63.8
138.0,81.17,65.9
139.0,81.11,65.4
140.0,81.07,65.6
141.0,81.02,64.5
142.0,80.98,65.4
143.0,80.93,63.6
144.0,80.91,64.2
145.0,80.86,65.3
146.0,80.8,63.8
147.0,80.78,64.6
148.0,80.71,64.4
149.0,80.67,63.3
150.0,80.66,65.0
151.0,80.61,64.7
152.0,80.54,64.8
153.0,80.5,62.8
154.0,80.47,66.5
155.0,80.43,64.4
156.0,80.41,64.5
157.0,80.33,61.5
158.0,80.3,63.3
159.0,80.28,64.1
160.0,80.25,64.3
161.0,80.19,61.2
162.0,80.19,61.0
163.0,80.09,63.5
164.0,80.04,63.8
165.0,80.02,62.1
166.0,79.98,62.7
167.0,79.92,60.0
168.0,79.91,60.0
169.0,79.85,59.9
170.0,79.78,61.2
171.0,79.77,60.2
172.0,79.73,60.1
173.0,79.69,65.8
174.0,79.65,57.7
175.0,79.58,58.7
176.0,79.54,58.5
177.0,79.52,56.6
178.0,79.49,59.6
179.0,79.44,55.6
180.0,79.42,55.9
181.0,79.36,60.7
182.0,79.3,57.4
183.0,79.28,57.7
184.0,79.25,58.1
185.0,79.21,60.4
186.0,79.18,57.6
187.0,79.12,58.3
188.0,79.08,58.3
189.0,79.04,56.7
190.0,79.0,58.2
191.0,78.96,55.2
192.0,78.94,55.1
193.0,78.89,55.7
194.0,78.87,58.4
195.0,78.8,58.2
196.0,78.77,58.1
197.0,78.73,56.0
198.0,78.71,58.9
199.0,78.66,54.0
200.0,78.62,54.1
201.0,78.59,57.3
202.0,78.53,58.2
203.0,78.49,57.3
204.0,78.49,57.9
205.0,78.43,57.7
206.0,78.38,57.4
207.0,78.35,57.3
208.0,78.3,56.6
209.0,78.24,56.0
210.0,78.22,56.5
211.0,78.19,58.5
212.0,78.15,58.9
213.0,78.13,60.0
214.0,78.08,59.1
215.0,78.01,59.6
216.0,77.99,59.6
217.0,77.96,56.2
218.0,77.92,53.2
219.0,77.91,58.3
220.0,77.84,58.1
221.0,77.8,56.4
222.0,77.76,59.3
223.0,77.73,59.0
224.0,77.68,59.2
