Time (s),Temperature (C),HRR (W/g)
0.0,105.816,0.468
0.5,105.837,0.437
1.0,105.87,0.693
1.5,105.899,0.354
2.0,105.929,0.595
2.5,105.968,0.458
3.0,105.985,0.903
3.5,106.018,0.516
4.0,106.057,0.491
4.5,106.058,0.456
5.0,106.08,0.959
5.5,106.114,0.861
6.0,106.143,0.77
6.5,106.179,0.633
7.0,106.21,0.894
7.501,106.182,0.904
8.0,106.211,0.838
8.5,106.237,1.028
9.0,106.285,1.235
9.5,106.307,0.931
10.0,106.273,0.977
10.5,106.304,1.185
11.001,106.334,1.116
11.5,106.381,1.496
12.0,106.408,1.549
12.5,106.45,1.666
13.0,106.494,1.797
13.5,106.56,1.846
14.0,106.594,1.952
14.5,106.538,2.109
15.0,106.607,2.064
15.5,106.604,2.137
16.001,106.625,2.487
16.5,106.667,2.35
17.0,106.692,2.586
17.5,106.712,2.328
18.0,106.767,2.592
18.5,106.802,2.645
19.0,106.86,2.524
19.5,106.867,2.666
20.0,106.903,2.719
20.5,106.915,2.901
21.0,106.954,2.833
21.5,107.047,3.114
22.0,107.074,3.398
22.5,107.082,3.422
23.0,107.13,3.257
23.5,107.122,3.128
24.0,107.251,3.364
24.5,107.231,3.134
25.0,107.289,3.503
25.5,107.333,3.721
26.0,107.393,3.868
26.5,107.433,4.125
27.0,107.448,4.084
27.5,107.504,4.257
28.0,107.546,4.422
28.5,107.629,4.744
29.0,107.665,4.478
29.5,107.758,4.901
30.0,107.808,4.962
30.5,107.83,4.679
31.001,107.912,5.085
31.5,107.951,5.367
32.0,108.063,5.38
32.5,108.104,5.205
33.001,108.189,5.373
33.501,108.232,5.59
34.0,108.294,5.854
34.5,108.409,5.914
35.0,108.467,6.16
35.5,108.597,6.112
36.001,108.62,6.247
36.501,108.71,6.132
37.001,108.809,6.315
37.501,108.887,6.527
38.001,108.972,6.484
38.501,109.048,6.406
39.001,109.177,6.297
39.501,109.244,6.566
40.0,109.39,6.422
40.5,109.453,6.496
41.001,109.549,6.479
41.501,109.66,6.562
42.001,109.775,6.432
42.5,109.852,6.506
43.001,109.943,6.663
43.501,110.12,6.617
44.001,110.196,6.714
44.501,110.322,6.469
45.001,110.433,6.784
45.501,110.54,6.556
46.001,110.578,6.419
46.501,110.747,6.381
47.001,110.848,6.396
47.501,111.018,6.175
48.001,111.115,6.414
48.501,111.235,6.821
49.0,111.347,6.717
49.501,111.473,6.933
50.001,111.559,6.828
50.501,111.699,6.906
51.0,111.83,6.611
51.501,111.951,6.852
52.001,112.095,6.776
52.5,112.249,7.104
53.0,112.39,7.194
53.501,112.53,7.494
54.001,112.693,7.187
54.501,112.758,7.327
55.001,112.926,7.57
55.5,113.05,7.403
56.0,113.182,7.428
56.5,113.349,7.644
57.0,113.505,7.319
57.5,113.646,7.844
58.0,113.826,7.646
58.5,113.983,7.854
59.001,114.137,7.905
59.506,114.306,8.006
60.009,114.454,8.117
60.505,114.673,7.914
61.003,114.817,8.093
61.505,114.99,8.347
62.006,115.149,8.31
62.508,115.363,8.332
63.008,115.53,8.127
63.505,115.668,8.238
64.002,115.824,8.402
64.501,116.031,8.549
65.0,116.209,8.336
65.5,116.422,8.639
66.0,116.567,8.609
66.5,116.718,8.074
67.0,116.916,8.273
67.501,117.123,8.323
68.001,117.325,8.427
68.501,117.5,8.622
69.001,117.682,8.517
69.501,117.841,8.481
70.0,118.093,8.576
70.5,118.303,8.566
71.0,118.45,8.641
71.5,118.682,8.202
72.0,118.892,8.362
72.5,119.075,8.453
73.0,119.315,8.203
73.5,119.458,8.508
74.0,119.715,8.396
74.5,119.856,8.602
75.0,120.087,8.511
75.5,120.318,8.373
76.001,120.507,8.69
76.501,120.751,8.467
77.0,120.913,8.533
77.5,121.147,8.629
78.0,121.419,8.599
78.5,121.62,8.627
79.0,121.803,8.563
79.5,122.051,8.589
80.0,122.262,8.774
80.5,122.51,8.616
81.0,122.705,8.732
81.5,122.971,8.67
82.0,123.152,8.475
82.5,123.402,8.643
83.0,123.616,8.666
83.5,123.883,8.57
84.001,124.104,8.558
84.501,124.345,8.568
85.0,124.564,8.586
85.5,124.804,8.662
86.0,125.063,8.837
86.5,125.313,8.707
87.001,125.566,8.91
87.501,125.73,8.837
88.001,125.98,8.888
88.501,126.272,8.944
89.001,126.489,8.904
89.501,126.732,8.738
90.001,126.987,8.852
90.501,127.225,8.81
91.0,127.459,8.767
91.5,127.726,8.589
92.001,127.969,8.874
92.501,128.233,9.093
93.001,128.452,9.246
93.5,128.72,8.929
94.0,128.967,9.056
94.5,129.223,9.046
95.001,129.459,9.152
95.501,129.773,8.959
96.001,130.003,9.233
96.501,130.272,9.139
97.001,130.55,8.913
97.5,130.799,9.2
98.0,131.069,9.133
98.5,131.324,8.991
99.0,131.576,9.104
99.501,131.863,8.893
100.001,132.163,9.121
100.501,132.431,8.85
101.0,132.685,9.033
101.501,132.928,8.696
102.001,133.2,8.782
102.501,133.486,8.901
103.0,133.748,8.899
103.501,134.031,8.898
104.001,134.278,8.862
104.501,134.578,8.671
105.001,134.85,8.679
105.501,135.077,8.717
106.001,135.39,8.654
106.5,135.669,8.641
107.0,135.868,9.014
107.5,136.178,8.721
108.0,136.465,8.848
108.501,136.764,8.57
109.001,137.047,8.771
109.501,137.346,8.599
110.001,137.595,8.693
110.501,137.872,8.907
111.001,138.207,8.92
111.501,138.482,8.783
112.0,138.787,9.019
112.501,139.05,8.651
113.001,139.312,8.709
113.5,139.612,8.922
114.0,139.87,8.727
114.5,140.213,8.732
115.0,140.458,8.816
115.5,140.756,8.948
116.0,141.065,9.057
116.5,141.385,8.824
117.0,141.668,8.963
117.501,141.928,8.743
118.001,142.214,8.684
118.5,142.486,8.626
119.0,142.794,8.696
119.5,143.094,8.646
120.001,143.435,8.484
120.501,143.687,8.735
121.0,143.981,8.709
121.501,144.28,8.984
122.001,144.603,8.511
122.5,144.864,8.524
123.0,145.167,8.876
123.5,145.463,8.783
124.0,145.759,8.895
124.5,146.028,8.682
125.001,146.317,8.902
125.501,146.663,8.902
126.0,146.892,8.663
126.501,147.185,8.581
127.001,147.509,8.378
127.5,147.787,8.282
128.0,148.102,8.427
128.5,148.386,8.224
129.0,148.669,8.211
129.5,148.975,8.309
130.0,149.289,7.867
130.5,149.61,8.125
131.0,149.861,7.904
131.5,150.183,7.856
132.0,150.512,7.957
132.5,150.726,7.772
133.0,151.084,8.153
133.5,151.367,7.874
134.0,151.678,8.389
134.5,151.971,8.052
135.001,152.21,7.932
135.5,152.535,7.75
136.0,152.858,8.138
136.5,153.136,8.047
137.0,153.413,8.135
137.5,153.723,8.069
138.0,153.99,8.148
138.5,154.318,7.996
139.0,154.573,8.083
139.5,154.915,8.159
140.0,155.193,7.861
140.5,155.467,8.26
141.0,155.787,7.971
141.5,156.079,8.339
142.0,156.348,7.815
142.5,156.665,7.876
143.0,156.989,8.05
143.5,157.257,8.123
144.0,157.56,8.09
144.5,157.813,8.047
145.0,158.154,7.993
145.5,158.466,8.181
146.0,158.7,8.209
146.5,159.038,8.142
147.0,159.328,7.972
147.5,159.626,7.911
148.0,159.907,8.075
148.5,160.228,7.873
149.0,160.517,7.944
149.5,160.834,7.637
150.0,161.089,7.762
150.5,161.398,7.754
151.0,161.694,7.616
151.5,161.974,7.53
152.0,162.265,7.836
152.5,162.586,7.519
153.0,162.875,7.479
153.5,163.19,7.594
154.0,163.482,7.739
154.501,163.751,7.618
155.001,164.058,7.6
155.5,164.334,7.622
156.0,164.645,7.731
156.5,164.977,7.936
157.0,165.227,7.639
157.5,165.567,7.631
158.0,165.801,7.601
158.5,166.128,7.445
159.0,166.416,7.729
159.5,166.718,7.834
160.0,167.01,7.884
160.5,167.292,7.993
161.0,167.591,7.78
161.5,167.888,8.179
162.0,168.141,7.811
162.5,168.445,7.796
163.0,168.781,8.044
163.5,169.048,7.916
164.0,169.363,8.149
164.5,169.662,8.11
165.0,169.899,8.053
165.5,170.227,8.038
166.0,170.529,7.825
166.5,170.801,7.788
167.0,171.077,8.105
167.5,171.383,7.853
168.0,171.704,7.805
168.5,171.963,7.977
169.0,172.256,7.627
169.5,172.537,7.691
170.0,172.849,7.922
170.5,173.159,7.965
171.0,173.4,7.603
171.5,173.704,7.671
172.0,173.998,7.793
172.5,174.289,7.856
173.0,174.614,7.594
173.501,174.914,7.376
174.0,175.211,7.48
174.5,175.432,7.803
175.0,175.755,7.692
175.5,176.088,7.368
176.0,176.298,7.472
176.5,176.655,7.738
177.0,176.904,7.809
177.5,177.201,7.831
178.0,177.5,7.902
178.5,177.819,7.75
179.0,178.08,7.718
179.5,178.355,7.665
180.0,178.637,7.818
180.5,178.964,7.915
181.001,179.237,7.98
181.5,179.537,7.693
182.0,179.819,7.845
182.5,180.104,8.015
183.0,180.399,8.048
183.5,180.682,7.894
184.0,181.03,7.762
184.5,181.263,7.712
185.0,181.542,7.632
185.5,181.8,7.748
186.0,182.117,7.385
186.5,182.365,7.552
187.0,182.671,7.676
187.5,182.998,7.616
188.0,183.276,7.444
188.5,183.575,7.571
189.0,183.871,7.572
189.5,184.152,7.825
190.0,184.414,7.528
190.5,184.714,7.448
191.0,185.03,7.435
191.5,185.257,7.293
192.0,185.538,7.238
192.5,185.819,7.377
193.0,186.089,7.443
193.5,186.372,7.224
194.0,186.699,7.094
194.5,186.945,7.377
195.0,187.239,7.263
195.5,187.507,7.007
196.0,187.812,7.183
196.5,188.074,7.097
197.0,188.345,7.328
197.5,188.615,7.307
198.0,188.883,7.213
198.5,189.166,7.139
199.0,189.478,7.073
199.5,189.72,6.896
200.0,189.986,6.977
200.5,190.271,6.729
201.0,190.552,6.991
201.5,190.822,7.019
202.0,191.036,7.153
202.5,191.343,6.81
203.0,191.652,7.162
203.5,191.912,6.974
204.0,192.157,7.028
204.5,192.437,7.266
205.0,192.679,6.945
205.5,192.939,7.195
206.0,193.25,7.104
206.5,193.496,6.979
207.0,193.771,7.103
207.5,194.074,6.984
208.0,194.371,6.984
208.5,194.625,6.944
209.0,194.877,6.98
209.5,195.189,7.041
210.0,195.407,7.216
210.5,195.725,6.954
211.0,195.946,7.194
211.5,196.223,7.001
212.0,196.484,7.026
212.5,196.766,6.92
213.0,197.024,6.979
213.5,197.297,7.166
214.0,197.59,7.065
214.5,197.863,7.019
215.0,198.116,6.819
215.5,198.381,7.017
216.0,198.635,7.086
216.5,198.87,7.241
217.0,199.158,7.196
217.5,199.396,7.168
218.0,199.677,7.272
218.5,199.925,7.177
219.0,200.222,7.202
219.5,200.487,7.141
220.0,200.735,7.123
220.5,201.006,7.148
221.0,201.289,6.887
221.5,201.554,7.156
222.0,201.782,7.219
222.5,202.036,7.381
223.0,202.345,7.09
223.5,202.599,7.188
224.0,202.865,7.262
224.5,203.075,7.378
225.0,203.361,7.26
225.5,203.654,7.767
226.0,203.877,7.424
226.5,204.153,7.188
227.001,204.399,7.292
227.501,204.651,7.159
228.001,204.925,7.263
228.501,205.22,7.096
229.001,205.43,7.337
229.5,205.683,7.14
230.0,205.962,7.125
230.5,206.221,7.429
231.0,206.418,7.574
231.5,206.753,7.115
232.0,207.005,7.455
232.5,207.201,7.45
233.0,207.504,7.44
233.5,207.776,7.337
234.0,207.992,7.456
234.5,208.292,7.499
235.0,208.521,7.24
235.5,208.812,7.115
236.0,209.08,7.417
236.5,209.279,7.102
237.0,209.573,7.288
237.501,209.818,7.351
238.0,210.09,7.433
238.5,210.336,7.242
239.0,210.564,7.356
239.5,210.836,7.14
240.0,211.081,7.457
240.5,211.319,7.289
241.0,211.581,7.241
241.5,211.845,7.464
242.0,212.053,7.422
242.5,212.335,7.313
243.0,212.566,7.259
243.5,212.84,7.232
244.0,213.106,7.158
244.5,213.329,7.009
245.0,213.567,7.283
245.5,213.837,7.453
246.0,214.118,7.319
246.5,214.33,6.959
247.0,214.618,7.09
247.5,214.851,7.219
248.0,215.097,7.087
248.5,215.324,7.101
249.0,215.635,7.4
249.5,215.82,7.238
250.0,216.109,7.489
250.5,216.374,7.524
251.0,216.643,7.361
251.5,216.829,7.444
252.0,217.109,7.229
252.5,217.346,7.469
253.0,217.633,7.267
253.5,217.89,7.429
254.0,218.122,7.412
254.5,218.374,6.887
255.0,218.639,7.239
255.5,218.879,7.155
256.0,219.105,7.125
256.5,219.38,7.237
257.0,219.605,7.017
257.5,219.882,7.506
258.0,220.136,7.244
258.5,220.342,7.388
259.0,220.641,7.088
259.5,220.862,7.491
260.0,221.11,7.2
260.5,221.335,7.403
261.001,221.617,7.021
261.501,221.811,6.986
262.0,222.084,7.186
262.5,222.357,7.054
263.0,222.596,7.225
263.5,222.791,7.336
264.0,223.041,7.227
264.5,223.292,7.157
265.0,223.523,7.537
265.5,223.832,7.252
266.0,224.061,7.257
266.5,224.322,7.259
267.0,224.549,7.069
267.5,224.772,7.109
268.0,225.065,7.231
268.5,225.282,7.204
269.0,225.558,7.44
269.5,225.806,7.422
270.0,226.052,7.397
270.5,226.315,7.44
271.0,226.51,7.191
271.5,226.742,7.348
