Time (s),Mass (g),HRR (kW/m²)
0,112.20,1.43
5,112.28,68.38
10,112.17,204.95
15,111.30,267.14
20,110.60,277.15
25,109.40,255.54
30,108.91,236.85
35,108.10,216.14
40,107.78,203.26
45,107.01,196.61
50,106.38,187.55
55,105.88,180.97
60,105.33,172.90
65,104.79,167.03
70,104.40,167.43
75,103.88,159.42
80,103.21,161.21
85,102.80,153.49
90,102.31,151.94
95,101.63,149.78
100,101.31,145.91
105,100.91,146.98
110,100.50,143.32
115,99.85,142.36
120,99.49,141.31
125,99.18,139.27
130,98.51,136.28
135,98.30,136.46
140,97.81,132.65
145,97.38,134.66
150,96.91,132.46
155,96.49,130.56
160,96.10,131.37
165,95.69,129.60
170,95.28,129.26
175,94.79,128.41
180,94.47,129.35
185,94.08,128.27
190,93.60,128.02
195,93.02,126.00
200,92.79,124.06
205,92.29,127.28
210,91.90,125.00
215,91.59,125.99
220,91.19,123.78
225,90.68,121.59
230,90.39,123.41
235,89.99,122.11
240,89.60,120.58
245,89.19,121.42
250,88.79,121.20
255,88.39,121.49
260,87.99,120.16
265,87.68,118.68
270,87.29,117.36
275,86.90,116.19
280,86.37,116.01
285,86.07,117.33
290,85.69,116.08
295,85.27,117.34
300,84.99,116.49
305,84.49,117.98
310,84.19,116.64
315,83.77,115.57
320,83.39,112.67
325,82.98,112.92
330,82.69,111.59
335,82.29,115.06
340,81.86,113.55
345,81.49,113.07
350,81.17,113.32
355,80.79,115.95
360,80.37,114.95
365,79.87,116.13
370,79.58,114.82
375,79.21,110.33
380,78.87,112.76
385,78.49,110.02
390,78.09,110.07
395,77.77,112.77
400,77.37,111.90
405,76.99,113.39
410,76.68,111.12
415,76.20,112.10
420,75.88,111.72
425,75.57,110.27
430,75.09,113.81
435,74.77,111.59
440,74.38,112.63
445,74.07,114.72
450,73.68,113.94
455,73.29,114.29
460,72.72,113.88
465,72.47,112.85
470,72.18,111.47
475,71.78,112.30
480,71.39,113.57
485,70.99,112.82
490,70.69,114.72
495,70.13,114.93
500,69.88,115.02
505,69.48,115.14
510,69.19,117.26
515,68.79,118.73
520,68.47,117.66
525,67.97,118.97
530,67.68,118.74
535,67.18,115.88
540,66.97,117.16
545,66.57,119.43
550,66.17,118.60
555,65.78,115.82
560,65.46,118.90
565,65.08,117.85
570,64.58,118.60
575,64.18,120.00
580,63.88,121.21
585,63.56,122.67
590,63.08,125.66
595,62.79,122.92
600,62.21,128.57
605,61.97,125.90
610,61.58,126.22
615,61.18,124.11
620,60.77,124.16
625,60.39,124.97
630,59.98,128.48
635,59.68,127.60
640,59.26,126.59
645,58.78,127.26
650,58.48,129.69
655,57.77,132.29
660,57.66,134.29
665,57.28,133.06
670,56.89,133.27
675,56.48,134.01
680,55.89,137.25
685,55.49,139.70
690,55.17,139.70
695,54.68,141.14
700,54.28,140.59
705,53.79,143.45
710,53.29,143.94
715,52.88,148.04
720,52.47,147.89
725,51.98,151.12
730,51.57,154.63
735,51.08,156.02
740,50.68,153.28
745,50.06,158.10
750,49.68,159.05
755,49.26,159.92
760,48.67,160.42
765,48.18,164.70
770,47.78,165.43
775,47.18,167.08
780,46.78,166.41
785,46.07,171.53
790,45.66,172.23
795,45.16,171.79
800,44.67,173.44
805,44.20,174.37
810,43.66,176.33
815,43.06,174.46
820,42.49,178.56
825,41.98,172.77
830,41.49,175.45
835,41.07,177.93
840,40.28,174.90
845,39.86,177.24
850,39.18,177.40
855,38.77,180.31
860,38.17,176.59
865,37.66,178.98
870,37.17,177.13
875,36.59,181.85
880,36.07,179.69
885,35.58,179.26
890,34.87,176.24
895,34.47,176.00
900,33.96,176.58
905,33.37,181.23
910,32.87,178.57
915,32.21,178.23
920,31.77,176.99
925,31.19,172.87
930,30.77,173.18
935,30.17,169.91
940,29.76,171.79
945,29.05,169.09
950,28.67,165.40
955,28.26,162.30
960,27.68,163.69
965,27.35,158.40
970,26.87,159.46
975,26.37,154.52
980,25.81,152.93
985,25.37,148.91
990,25.04,146.67
995,24.67,142.23
1000,24.27,140.09
1005,23.60,137.63
1010,23.37,132.16
1015,23.06,128.52
1020,22.67,125.12
1025,22.37,123.43
1030,22.05,118.08
1035,21.45,116.11
1040,21.35,108.21
1045,21.07,108.55
1050,20.85,102.31
1055,20.56,96.91
1060,20.37,93.62
1065,20.16,88.95
1070,19.95,85.77
1075,19.75,80.94
1080,19.55,76.32
1085,19.37,70.54
1090,19.26,68.50
1095,19.15,65.82
1100,18.97,62.61
1105,18.85,58.81
1110,18.67,57.86
1115,18.64,54.30
1120,18.54,50.79
1125,18.45,48.25
1130,18.35,44.76
1135,18.34,44.87
1140,18.25,44.22
1145,18.15,43.76
1150,18.05,42.22
1155,17.96,41.93
1160,17.87,42.37
1165,17.85,41.10
1170,17.85,41.21
1175,17.66,41.37
1180,17.65,41.63
1185,17.57,41.83
1190,17.55,39.93
1195,17.46,40.48
1200,17.45,39.92
1205,17.35,40.56
1210,17.33,39.50
1215,17.25,39.79
1220,17.16,38.62
1225,17.14,39.49
1230,17.06,40.98
1235,17.05,39.18
1240,16.95,39.88
1245,16.85,37.31
1250,16.85,36.58
1255,16.77,37.54
1260,16.75,38.17
1265,16.65,38.57
