Time (s),Mass (g),HRR (kW/m²)
0,90.80,-0.55
5,90.86,82.40
10,90.18,202.22
15,89.30,231.64
20,88.79,204.19
25,88.05,188.46
30,87.54,173.84
35,87.04,160.41
40,86.42,145.85
45,86.04,140.45
50,85.52,134.70
55,85.06,127.17
60,84.72,122.33
65,84.34,118.12
70,83.82,115.48
75,83.44,116.60
80,83.04,112.33
85,82.46,111.93
90,82.24,108.11
95,81.84,111.71
100,81.53,107.07
105,81.21,106.33
110,80.83,104.71
115,80.33,103.50
120,80.12,104.84
125,79.73,103.29
130,79.33,104.73
135,79.01,101.74
140,78.71,104.42
145,78.25,101.66
150,77.84,101.53
155,77.62,100.07
160,77.24,102.69
165,76.83,102.26
170,76.23,104.61
175,76.13,103.42
180,75.83,100.24
185,75.52,98.19
190,75.03,99.79
195,74.73,100.32
200,74.44,97.49
205,74.14,97.57
210,73.74,97.28
215,73.44,95.39
220,73.03,93.89
225,72.59,95.20
230,72.32,94.31
235,72.03,93.83
240,71.73,92.66
245,71.41,91.53
250,71.03,92.61
255,70.73,92.72
260,70.34,94.12
265,70.03,92.24
270,69.73,90.86
275,69.43,91.76
280,69.14,91.51
285,68.80,90.02
290,68.43,89.74
295,68.13,88.20
300,67.83,88.91
305,67.53,88.25
310,67.22,86.09
315,66.91,85.78
320,66.53,88.31
325,66.23,86.89
330,65.93,86.98
335,65.63,85.81
340,65.31,87.91
345,65.03,88.74
350,64.81,87.75
355,64.43,88.66
360,64.21,89.14
365,63.83,85.63
370,63.53,84.60
375,63.31,85.12
380,62.93,84.28
385,62.63,85.25
390,62.33,87.39
395,62.01,87.50
400,61.72,84.76
405,61.42,85.42
410,61.13,86.14
415,60.91,85.05
420,60.61,87.07
425,60.23,85.00
430,59.93,83.36
435,59.71,83.69
440,59.33,85.50
445,58.92,86.19
450,58.73,86.56
455,58.51,88.59
460,58.21,87.83
465,57.93,88.64
470,57.63,88.98
475,57.33,85.86
480,57.01,87.52
485,56.64,88.49
490,56.42,88.03
495,56.23,88.77
500,55.91,88.47
505,55.55,89.38
510,55.31,88.64
515,55.00,90.12
520,54.73,91.36
525,54.51,90.86
530,54.13,93.07
535,53.83,91.39
540,53.52,91.55
545,53.21,93.54
550,52.93,93.07
555,52.62,94.46
560,52.34,94.92
565,52.02,96.45
570,51.76,97.04
575,51.41,99.63
580,51.11,99.54
585,50.82,99.19
590,50.41,99.33
595,50.21,103.76
600,49.91,102.60
605,49.53,100.98
610,49.30,104.45
615,48.92,103.74
620,48.62,103.55
625,48.31,107.36
630,48.02,108.23
635,47.63,110.88
640,47.40,110.81
645,46.89,111.57
650,46.62,112.11
655,46.41,113.20
660,46.00,113.25
665,45.60,115.21
670,45.22,117.14
675,44.84,121.38
680,44.45,118.63
685,44.22,121.93
690,43.82,123.70
695,43.40,125.82
700,43.02,128.80
705,42.63,130.43
710,42.30,129.32
715,41.82,128.36
720,41.60,133.05
725,41.04,128.26
730,40.72,133.52
735,40.32,133.28
740,39.92,136.75
745,39.52,137.60
750,39.05,136.85
755,38.70,139.90
760,38.22,142.08
765,37.82,143.28
770,37.32,143.46
775,37.02,143.90
780,36.62,144.75
785,36.11,146.89
790,35.72,146.17
795,35.23,146.48
800,34.81,145.81
805,34.42,151.55
810,33.92,152.86
815,33.42,150.37
820,33.00,153.81
825,32.45,152.12
830,32.12,152.00
835,31.62,154.81
840,31.20,154.99
845,30.72,151.85
850,30.12,155.95
855,29.75,157.47
860,29.41,156.41
865,28.90,153.77
870,28.42,153.59
875,28.02,154.78
880,27.41,154.33
885,27.00,155.20
890,26.60,151.81
895,26.22,150.87
900,25.69,149.63
905,25.21,149.44
910,24.85,146.31
915,24.27,147.88
920,24.01,148.01
925,23.49,146.79
930,23.19,142.97
935,22.60,142.60
940,22.31,141.66
945,21.90,140.97
950,21.60,137.57
955,21.20,136.03
960,20.81,133.03
965,20.38,132.38
970,19.99,124.19
975,19.70,122.46
980,19.24,117.82
985,19.18,115.79
990,18.81,113.58
995,18.59,108.88
1000,18.30,106.62
1005,18.01,101.59
1010,17.79,97.25
1015,17.51,93.71
1020,17.38,89.09
1025,17.11,86.95
1030,16.89,81.36
1035,16.79,75.04
1040,16.59,70.25
1045,16.39,66.90
1050,16.31,65.13
1055,16.10,62.67
1060,16.09,58.44
1065,15.95,57.07
1070,15.79,52.84
1075,15.71,51.99
1080,15.71,48.01
1085,15.59,48.56
1090,15.50,48.11
1095,15.58,49.10
1100,15.39,47.99
1105,15.39,48.29
1110,15.23,46.63
1115,15.29,46.24
1120,15.09,46.17
1125,15.07,43.77
1130,15.00,43.71
1135,14.89,44.42
1140,14.89,45.84
1145,14.71,43.80
1150,14.78,43.44
1155,14.59,44.19
1160,14.61,41.82
1165,14.49,41.75
1170,14.49,42.84
1175,14.39,41.85
1180,14.31,42.93
1185,14.30,41.39
1190,14.19,41.26
1195,14.19,40.59
1200,14.09,40.04
1205,14.10,40.08
1210,13.99,40.92
1215,13.99,41.69
