Time (s),Mass (g),HRR (kW/m2)
1535,13.9,36.1
1540,13.9,38.9
1545,13.8,37.5
1550,13.7,38.2
1555,13.6,38.1
1560,13.6,38.2
1565,13.5,40.3
1570,13.4,38.5
1575,13.4,37.6
1580,13.4,37.5
1585,13.4,36.9
1590,13.3,35.9
1595,13.2,34.7
1600,13.2,33.8
1605,13.1,36.3
1610,13.0,35.8
1615,13.0,35.3
1620,12.9,34.2
1625,12.9,31.7
1630,12.9,33.5
1635,12.8,33.4
1640,12.8,33.7
1645,12.7,33.6
1650,12.6,33.3
1655,12.6,33.8
1660,12.5,32.4
1665,12.5,33.0
1670,12.4,33.6
1675,12.4,34.8
1680,12.4,34.2
1685,12.3,33.4
1690,12.2,34.5
1695,12.2,32.4
1700,12.1,31.7
1705,12.1,31.7
1710,12.1,32.2
1715,12.0,32.4
