Time (s),Sample Temperature (K),Weight (mg)
0,383.15,4.299
1,383.15,4.299
2,383.15,4.299
3,383.15,4.299
4,383.14,4.299
5,383.15,4.299
6,383.15,4.299
7,383.15,4.299
8,383.15,4.299
9,383.19,4.300
10,383.26,4.300
11,383.43,4.300
12,383.63,4.300
13,383.86,4.300
14,384.13,4.300
15,384.39,4.300
16,384.66,4.300
17,384.91,4.301
18,385.18,4.301
19,385.45,4.301
20,385.73,4.301
21,386.00,4.301
22,386.28,4.301
23,386.56,4.301
24,386.84,4.301
25,387.12,4.302
26,387.41,4.302
27,387.69,4.302
28,387.98,4.302
29,388.27,4.302
30,388.56,4.302
31,388.85,4.302
32,389.15,4.302
33,389.43,4.302
34,389.73,4.302
35,390.02,4.302
36,390.33,4.302
37,390.64,4.302
38,390.93,4.302
39,391.23,4.302
40,391.53,4.302
41,391.84,4.302
42,392.15,4.302
43,392.46,4.302
44,392.77,4.302
45,393.08,4.302
46,393.39,4.302
47,393.70,4.302
48,394.01,4.302
49,394.32,4.302
50,394.63,4.302
51,394.95,4.302
52,395.27,4.302
53,395.59,4.302
54,395.91,4.302
55,396.23,4.302
56,396.55,4.302
57,396.87,4.302
58,397.18,4.302
59,397.51,4.302
60,397.83,4.302
61,398.16,4.301
62,398.48,4.301
63,398.80,4.301
64,399.12,4.301
65,399.45,4.301
66,399.78,4.301
67,400.10,4.301
68,400.43,4.301
69,400.75,4.301
70,401.07,4.301
71,401.41,4.301
72,401.74,4.301
73,402.07,4.301
74,402.39,4.301
75,402.72,4.301
76,403.05,4.301
77,403.38,4.301
78,403.71,4.301
79,404.04,4.301
80,404.37,4.301
81,404.71,4.301
82,405.03,4.301
83,405.36,4.301
84,405.70,4.301
85,406.03,4.301
86,406.36,4.301
87,406.70,4.301
88,407.03,4.301
89,407.36,4.301
90,407.69,4.301
91,408.03,4.301
92,408.36,4.300
93,408.70,4.300
94,409.03,4.300
95,409.36,4.300
96,409.69,4.300
97,410.03,4.300
98,410.36,4.300
99,410.71,4.300
100,411.04,4.300
101,411.38,4.300
102,411.71,4.300
103,412.04,4.300
104,412.37,4.300
105,412.71,4.300
106,413.05,4.300
107,413.39,4.300
108,413.73,4.300
109,414.06,4.300
110,414.39,4.300
111,414.73,4.300
112,415.06,4.300
113,415.40,4.300
114,415.74,4.299
