Time (s),Temperature (K),Weight (mg)
0,383.15,4.993
1,383.15,4.993
2,383.15,4.993
3,383.15,4.993
4,383.15,4.993
5,383.15,4.993
6,383.15,4.993
7,383.15,4.993
8,383.15,4.993
9,383.15,4.993
10,383.18,4.993
11,383.20,4.993
12,383.22,4.993
13,383.22,4.993
14,383.24,4.993
15,383.26,4.993
16,383.29,4.993
17,383.31,4.993
18,383.34,4.993
19,383.37,4.993
20,383.39,4.993
21,383.42,4.993
22,383.45,4.993
23,383.48,4.993
24,383.50,4.993
25,383.53,4.993
26,383.56,4.993
27,383.59,4.993
28,383.62,4.993
29,383.65,4.993
30,383.67,4.993
31,383.71,4.993
32,383.74,4.993
33,383.76,4.993
34,383.79,4.993
35,383.83,4.993
36,383.86,4.993
37,383.89,4.993
38,383.91,4.993
39,383.94,4.993
40,383.97,4.993
41,384.00,4.993
42,384.03,4.993
43,384.06,4.993
44,384.10,4.993
45,384.13,4.993
46,384.16,4.993
47,384.18,4.993
48,384.22,4.993
49,384.25,4.993
50,384.28,4.993
51,384.31,4.993
52,384.35,4.993
53,384.37,4.993
54,384.41,4.993
55,384.44,4.993
56,384.47,4.993
57,384.50,4.993
58,384.53,4.993
59,384.57,4.993
60,384.60,4.993
61,384.63,4.993
62,384.67,4.993
63,384.69,4.993
64,384.72,4.993
65,384.75,4.993
66,384.78,4.993
67,384.82,4.993
68,384.85,4.993
69,384.89,4.993
70,384.92,4.993
71,384.95,4.993
72,384.98,4.993
73,385.01,4.993
74,385.04,4.993
75,385.08,4.993
76,385.11,4.993
77,385.15,4.993
78,385.18,4.993
79,385.21,4.993
80,385.24,4.993
81,385.27,4.993
82,385.30,4.993
83,385.34,4.993
84,385.38,4.993
85,385.41,4.993
86,385.44,4.993
87,385.47,4.993
88,385.50,4.993
89,385.54,4.993
90,385.57,4.993
91,385.61,4.993
92,385.64,4.993
93,385.66,4.993
94,385.70,4.993
95,385.73,4.993
96,385.77,4.993
97,385.80,4.993
98,385.84,4.993
99,385.87,4.993
100,385.90,4.993
101,385.93,4.993
102,385.96,4.993
103,386.00,4.993
104,386.03,4.993
105,386.06,4.993
106,386.10,4.993
107,386.13,4.993
108,386.16,4.993
109,386.19,4.993
110,386.23,4.993
111,386.27,4.993
112,386.30,4.993
113,386.34,4.993
114,386.36,4.993
115,386.39,4.993
116,386.43,4.993
117,386.46,4.993
118,386.49,4.993
119,386.53,4.993
120,386.56,4.993
121,386.60,4.993
122,386.63,4.993
123,386.66,4.993
124,386.70,4.993
125,386.72,4.993
126,386.76,4.993
127,386.79,4.993
128,386.83,4.993
129,386.86,4.993
130,386.90,4.993
131,386.93,4.993
132,386.96,4.993
133,386.99,4.993
134,387.03,4.993
135,387.06,4.993
136,387.10,4.993
137,387.13,4.993
138,387.17,4.993
139,387.20,4.993
140,387.22,4.993
141,387.25,4.993
142,387.29,4.993
143,387.33,4.993
144,387.36,4.993
145,387.39,4.993
146,387.43,4.993
147,387.46,4.993
148,387.50,4.993
149,387.53,4.993
150,387.57,4.993
151,387.60,4.993
152,387.62,4.993
153,387.66,4.993
154,387.69,4.993
155,387.72,4.993
156,387.76,4.993
157,387.79,4.993
158,387.82,4.993
159,387.86,4.993
160,387.90,4.993
161,387.93,4.993
162,387.96,4.993
163,388.00,4.992
164,388.03,4.992
165,388.06,4.992
166,388.09,4.992
167,388.13,4.992
168,388.16,4.992
169,388.19,4.992
170,388.23,4.992
171,388.26,4.992
172,388.30,4.992
173,388.32,4.992
174,388.36,4.992
175,388.39,4.992
176,388.43,4.992
177,388.46,4.992
178,388.50,4.992
179,388.53,4.992
180,388.57,4.992
181,388.59,4.992
182,388.62,4.992
183,388.66,4.992
184,388.70,4.992
185,388.73,4.992
186,388.77,4.992
187,388.80,4.992
188,388.83,4.992
189,388.86,4.992
190,388.89,4.992
191,388.92,4.992
192,388.95,4.992
193,388.99,4.992
194,389.03,4.992
195,389.07,4.992
196,389.11,4.992
197,389.14,4.992
198,389.16,4.992
199,389.19,4.992
200,389.22,4.992
201,389.25,4.992
202,389.29,4.992
203,389.33,4.992
204,389.37,4.992
205,389.40,4.992
206,389.43,4.992
207,389.46,4.992
208,389.49,4.992
209,389.53,4.992
210,389.56,4.992
211,389.60,4.992
212,389.63,4.992
213,389.66,4.992
214,389.70,4.992
215,389.73,4.992
216,389.76,4.992
217,389.79,4.992
218,389.83,4.992
219,389.86,4.992
220,389.90,4.992
221,389.94,4.992
222,389.97,4.992
223,390.00,4.992
224,390.02,4.992
225,390.06,4.992
226,390.09,4.992
227,390.12,4.992
228,390.17,4.992
229,390.20,4.992
230,390.23,4.992
231,390.27,4.992
232,390.29,4.992
233,390.33,4.992
234,390.36,4.992
235,390.40,4.992
236,390.43,4.992
237,390.46,4.992
238,390.50,4.992
239,390.53,4.992
240,390.57,4.992
241,390.60,4.992
242,390.63,4.992
243,390.66,4.992
244,390.69,4.992
245,390.72,4.992
246,390.76,4.992
247,390.79,4.992
248,390.83,4.992
249,390.87,4.992
250,390.90,4.992
251,390.93,4.992
252,390.96,4.992
253,390.99,4.992
254,391.03,4.992
255,391.06,4.992
256,391.10,4.992
257,391.13,4.992
258,391.16,4.992
259,391.20,4.992
260,391.23,4.992
261,391.26,4.992
262,391.30,4.992
263,391.33,4.992
264,391.36,4.992
265,391.40,4.992
266,391.43,4.992
267,391.46,4.992
268,391.50,4.992
269,391.53,4.992
270,391.56,4.992
271,391.60,4.992
272,391.64,4.992
273,391.67,4.992
274,391.70,4.992
275,391.73,4.992
276,391.77,4.992
277,391.79,4.992
278,391.83,4.992
279,391.86,4.992
280,391.90,4.992
281,391.93,4.992
282,391.97,4.992
283,392.00,4.992
284,392.03,4.992
285,392.07,4.992
286,392.10,4.992
287,392.13,4.992
288,392.17,4.992
289,392.20,4.992
290,392.23,4.992
291,392.26,4.992
292,392.30,4.992
293,392.33,4.992
294,392.36,4.992
295,392.40,4.992
296,392.43,4.992
297,392.47,4.992
298,392.50,4.992
299,392.53,4.992
300,392.56,4.992
301,392.60,4.992
302,392.64,4.992
303,392.67,4.992
304,392.70,4.992
305,392.73,4.991
306,392.76,4.991
307,392.80,4.991
308,392.83,4.991
309,392.87,4.991
310,392.90,4.991
311,392.93,4.991
312,392.97,4.991
313,393.00,4.991
314,393.03,4.991
315,393.06,4.991
316,393.10,4.991
317,393.13,4.991
318,393.16,4.991
319,393.20,4.991
320,393.23,4.991
321,393.27,4.991
322,393.30,4.991
323,393.33,4.991
324,393.36,4.991
325,393.40,4.991
326,393.44,4.991
327,393.47,4.991
328,393.50,4.991
329,393.53,4.991
330,393.56,4.991
331,393.60,4.991
332,393.63,4.991
333,393.67,4.991
334,393.70,4.991
335,393.74,4.991
336,393.77,4.991
337,393.80,4.991
338,393.83,4.991
339,393.86,4.991
340,393.90,4.991
341,393.93,4.991
342,393.97,4.991
343,394.00,4.991
344,394.03,4.991
345,394.07,4.991
346,394.10,4.991
347,394.13,4.991
348,394.16,4.991
349,394.20,4.991
350,394.23,4.991
351,394.27,4.991
352,394.30,4.991
353,394.34,4.991
354,394.37,4.991
355,394.40,4.991
356,394.43,4.991
357,394.47,4.991
358,394.50,4.991
359,394.53,4.991
360,394.56,4.991
361,394.59,4.991
362,394.63,4.991
363,394.67,4.991
364,394.71,4.991
365,394.74,4.991
366,394.77,4.991
367,394.80,4.991
368,394.83,4.991
369,394.86,4.991
370,394.90,4.991
371,394.93,4.991
372,394.97,4.991
373,395.00,4.991
374,395.03,4.991
375,395.06,4.991
376,395.10,4.991
377,395.13,4.991
378,395.17,4.991
379,395.21,4.991
380,395.24,4.991
381,395.27,4.991
382,395.30,4.991
383,395.33,4.991
384,395.37,4.991
385,395.41,4.991
386,395.44,4.991
387,395.47,4.991
388,395.50,4.991
389,395.53,4.991
390,395.56,4.991
391,395.60,4.991
392,395.64,4.991
393,395.67,4.991
394,395.71,4.991
395,395.73,4.991
396,395.77,4.991
397,395.81,4.991
