Time (s),Temperature (K),HRR (W/g)
0,380.72,0
0.5,381.01,0.119
1,381.31,0.539
1.5,381.58,0.358
2,381.89,0.545
2.5,382.19,0.827
3,382.5,0.981
3.5,382.78,1.292
4,383.11,1.397
4.5,383.42,1.041
5,383.72,1.666
5.5,384.05,1.572
6,384.35,1.764
6.5,384.68,1.879
7,385.01,2.305
7.5,385.33,2.124
8,385.65,2.677
8.5,385.98,2.54
9,386.29,2.931
9.5,386.65,2.886
10,387.01,3.408
10.5,387.29,3.477
11,387.64,3.464
11.5,387.95,3.627
12,388.29,3.777
12.5,388.66,4.06
13,388.97,3.861
13.5,389.31,4.077
14,389.64,4.066
14.5,390,4.289
15,390.34,4.637
15.5,390.7,4.254
16,391.08,4.592
16.5,391.39,4.458
17,391.77,4.761
17.5,392.11,4.814
18,392.45,4.794
18.5,392.86,4.908
19,393.21,4.949
19.5,393.56,4.862
20,393.93,4.896
20.5,394.28,5.181
21,394.66,5.2
21.5,394.98,5.38
22,395.39,5.31
22.5,395.78,5.394
23,396.14,5.729
23.5,396.53,5.666
24,396.87,5.617
24.5,397.24,6.107
25,397.68,5.608
25.5,398.06,5.722
26,398.44,5.608
26.5,398.84,5.755
27,399.23,5.672
27.5,399.61,5.577
28,399.99,5.057
28.5,400.38,5.004
29,400.73,4.596
29.5,401.17,31.189
30,401.6,34.513
30.5,402.02,30.137
31,402.41,26.332
31.5,402.83,23.425
32,403.23,20.878
32.5,403.63,18.89
33,404.05,16.599
33.5,404.47,15.621
34,404.89,14.901
34.5,405.29,13.796
35,405.74,12.836
35.5,406.15,11.847
36,406.54,10.769
36.5,406.95,10.56
37,407.38,10.097
37.5,407.79,9.427
38,408.2,9.015
38.5,408.64,8.907
39,409.07,8.684
39.5,409.5,8.143
40,409.95,8.315
40.5,410.35,7.978
41,410.82,7.702
41.5,411.2,7.746
42,411.67,7.609
42.5,412.09,7.466
43,412.55,7.654
43.5,412.99,7.383
44,413.44,7.741
44.5,413.87,7.722
45,414.32,7.948
45.5,414.8,7.512
46,415.23,7.586
46.5,415.68,7.814
47,416.12,7.714
47.5,416.56,7.534
48,416.98,7.92
48.5,417.44,8.021
49,417.97,8.093
49.5,418.39,8.439
50,418.84,8.582
50.5,419.3,8.225
51,419.75,8.624
51.5,420.2,8.755
52,420.65,9.195
52.5,421.14,9.219
53,421.58,9.507
53.5,422.04,9.133
54,422.51,9.426
54.5,422.99,9.312
55,423.44,9.387
55.5,423.91,10.214
56,424.43,9.595
56.5,424.85,9.981
57,425.39,9.695
57.5,425.83,10.16
58,426.33,10.253
58.5,426.78,10.017
59,427.26,10.637
59.5,427.72,10.533
60,428.19,10.913
60.5,428.7,10.834
61,429.16,10.758
61.5,429.64,11.046
62,430.1,11.102
62.5,430.58,11.11
63,431.07,11.182
63.5,431.53,11.077
64,432.02,11.199
64.5,432.51,11.473
65,433,11.353
65.5,433.47,11.07
66,433.97,11.167
66.5,434.45,10.957
67,434.88,11.021
67.5,435.44,10.682
68,435.9,10.121
68.5,436.46,9.591
69,436.9,9.534
69.5,437.41,9.099
70,437.89,8.887
70.5,438.45,8.42
71,438.88,8.594
71.5,439.41,8.518
72,439.94,8.469
72.5,440.43,8.402
73,440.82,8.305
73.5,441.32,8.57
74,441.91,8.502
74.5,442.45,8.773
75,442.96,8.689
75.5,443.44,9.037
76,443.96,9.606
76.5,444.47,9.561
77,444.98,9.715
77.5,445.5,9.629
78,445.97,10.262
78.5,446.55,10.278
79,447.02,10.43
79.5,447.53,10.77
80,448.03,11.251
80.5,448.54,11.793
81,449.05,11.736
81.5,449.57,12.328
82,450.09,12.445
82.5,450.63,12.928
83,451.12,13.359
83.5,451.65,13.564
84,452.17,13.765
84.5,452.67,14.724
85,453.16,14.698
85.5,453.72,14.95
86,454.21,15.495
86.5,454.68,15.921
87,455.23,15.99
87.5,455.75,16.693
88,456.26,16.881
88.5,456.79,17.476
89,457.31,17.559
89.5,457.8,18.112
90,458.36,18.19
90.5,458.9,18.532
91,459.43,18.915
91.5,459.95,19.591
92,460.49,19.488
92.5,461,20.012
93,461.57,20.334
93.5,462.04,20.765
94,462.55,20.845
94.5,463.07,21.59
95,463.6,21.597
95.5,464.14,21.79
96,464.67,21.981
96.5,465.21,22.564
97,465.71,22.695
97.5,466.26,23.148
98,466.82,23.116
98.5,467.32,23.326
99,467.86,23.646
99.5,468.4,24.328
100,468.9,24.477
100.5,469.43,24.714
101,469.94,24.944
101.5,470.52,25.101
102,471.06,24.684
