Time (s),Temperature (K),HRR (W/g)
0,403.42,0
0.5,403.82,-0.084
1,404.23,-0.126
1.5,404.65,-0.528
2,405.12,-0.291
2.5,405.54,-0.068
3,405.94,-0.117
3.5,406.38,0.513
4,406.81,1.818
4.5,407.24,1.931
5,407.71,2.657
5.5,408.08,3.043
6,408.54,3.613
6.5,408.97,3.87
7,409.43,3.374
7.5,409.86,3.2
8,410.33,3.797
8.5,410.76,5.076
9,411.21,3.968
9.5,411.65,4.688
10,412.07,4.88
10.5,412.52,5.127
11,412.96,5.335
11.5,413.41,5.232
12,413.86,4.687
12.5,414.29,4.207
13,414.77,4.042
13.5,415.25,3.632
14,415.67,3.45
14.5,416.18,3.781
15,416.6,3.723
15.5,417.07,2.963
16,417.54,2.352
16.5,418.06,1.995
17,418.47,1.577
17.5,418.97,1.106
18,419.38,1.344
18.5,419.87,2.079
19,420.33,1.833
19.5,420.95,1.405
20,421.49,1.679
20.5,421.74,2.231
21,422.23,2.078
21.5,422.72,2.848
22,423.23,3.535
22.5,423.71,4.041
23,424.21,4.352
23.5,424.68,4.688
24,425.19,4.949
24.5,425.64,5.626
25,426.12,6.71
25.5,426.58,6.782
26,427.09,7.555
26.5,427.58,8.113
27,428.02,7.634
27.5,428.53,7.644
28,428.99,7.55
28.5,429.51,7.415
29,429.99,7.514
29.5,430.49,7.482
30,430.99,7.202
30.5,431.41,6.852
31,431.99,6.135
31.5,432.46,6.193
32,432.9,5.931
32.5,433.4,5.878
33,433.89,5.799
33.5,434.43,5.372
34,434.89,5.176
34.5,435.38,4.429
35,435.88,4.675
35.5,436.39,4.696
36,436.88,4.276
36.5,437.36,4.437
37,437.9,4.055
37.5,438.39,3.845
38,438.9,4.584
38.5,439.4,4.942
39,439.93,5.3
39.5,440.42,5.683
40,440.91,5.819
40.5,441.42,6.004
41,441.92,6.733
41.5,442.47,7.16
42,442.96,8.088
42.5,443.49,8.508
43,443.99,9.077
43.5,444.52,9.236
44,445.05,8.86
44.5,445.59,9.713
45,446.06,10.132
45.5,446.54,11.098
46,447.08,11.502
46.5,447.64,11.947
47,448.14,11.791
47.5,448.61,12.193
48,449.14,11.835
48.5,449.68,11.834
49,450.18,12.426
49.5,450.7,12.478
50,451.26,12.203
50.5,451.75,11.732
51,452.32,11.232
51.5,452.8,10.635
52,453.32,10.934
52.5,453.84,11.156
53,454.37,11.365
53.5,454.86,11.089
54,455.41,10.627
54.5,455.89,9.783
55,456.45,10.1
55.5,456.97,10.115
56,457.49,9.757
56.5,457.99,10.568
57,458.53,10.483
57.5,459.04,10.28
58,459.63,10.544
58.5,460.1,10.538
59,460.63,11.016
59.5,461.18,11.912
60,461.71,12.522
60.5,462.21,12.501
61,462.76,12.612
61.5,463.26,13.747
62,463.78,14.859
62.5,464.32,15.492
63,464.83,15.841
63.5,465.39,16.42
64,465.95,16.978
64.5,466.44,17.184
65,467.02,17.985
65.5,467.54,18.725
66,468.06,19.55
66.5,468.57,19.804
67,469.13,19.939
67.5,469.64,20.235
68,470.19,20.48
68.5,470.69,20.786
69,471.24,20.971
69.5,471.76,21.685
70,472.31,21.66
70.5,472.82,20.903
71,473.34,20.908
71.5,473.88,20.761
72,474.39,20.974
72.5,474.98,21.47
73,475.47,21.341
73.5,476.02,21.688
74,476.53,21.561
74.5,477.02,21.415
75,477.57,21.04
75.5,478.11,21.765
76,478.64,21.922
76.5,479.19,22.812
77,479.7,22.715
77.5,480.24,22.497
78,480.74,23.022
78.5,481.31,23.567
79,481.88,24.258
79.5,482.4,24.993
80,482.92,25.766
80.5,483.43,26.101
81,483.94,26.323
81.5,484.52,26.742
82,484.96,27.107
82.5,485.51,27.671
83,486.08,28.052
83.5,486.55,29.256
84,487.16,29.426
84.5,487.68,30.336
85,488.24,29.775
85.5,488.77,30.508
86,489.27,30.52
86.5,489.72,31.115
87,490.37,31.618
87.5,490.86,31.812
88,491.43,32.085
88.5,491.94,32.18
89,492.41,32.101
89.5,493.08,32.18
90,493.61,32.536
90.5,494.08,33.345
91,494.55,33.45
91.5,495.11,33.331
92,495.63,33.393
92.5,496.11,33.266
93,496.67,33.307
93.5,497.19,33.61
94,497.73,33.868
94.5,498.26,34.028
95,498.79,33.659
95.5,499.3,33.535
96,499.79,33.291
96.5,500.26,32.788
97,500.81,33.622
97.5,501.23,34.073
98,501.93,33.815
98.5,502.45,32.91
99,502.94,33.442
99.5,503.49,33.32
100,504.03,33.592
100.5,504.52,33.898
101,505.07,34.169
101.5,505.6,34.341
102,506.1,34.589
102.5,506.6,34.325
103,507.17,34.527
103.5,507.53,35.44
104,508.12,35.955
104.5,508.75,36.165
105,509.25,36.428
105.5,509.81,36.46
106,510.32,37.212
106.5,510.79,37.456
107,511.36,38.022
107.5,511.86,38.462
108,512.39,38.556
108.5,512.9,38.484
109,513.41,38.486
109.5,513.93,38.72
110,514.43,38.77
110.5,514.99,38.996
111,515.52,39.79
111.5,516,39.056
112,516.56,38.71
112.5,517.06,38.92
113,517.57,38.612
113.5,518.09,39.189
114,518.64,39.235
114.5,519.13,39.406
115,519.62,39.232
115.5,520.14,38.791
116,520.66,39.212
116.5,521.19,40.094
117,521.66,40.142
117.5,522.19,40.493
118,522.65,40.218
118.5,523.23,40.414
119,523.72,40.518
119.5,524.28,40.904
120,524.79,40.997
120.5,525.25,40.854
121,525.81,40.533
121.5,526.31,40.558
122,526.82,40.776
122.5,527.35,41.148
123,527.81,41.093
123.5,528.36,41.488
124,528.94,41.768
124.5,529.48,41.555
125,529.89,41.466
125.5,530.49,41.903
126,530.98,42.621
126.5,531.48,43.098
127,531.98,43.007
127.5,532.53,42.938
128,533.05,43.113
128.5,533.53,43.497
129,534.03,43.725
129.5,534.6,44.93
130,535.06,45.548
130.5,535.59,45.76
131,536.07,45.955
131.5,536.63,46.304
132,537.1,47.004
132.5,537.6,47.652
133,538.14,47.903
133.5,538.66,48.828
134,539.17,49.38
134.5,539.67,49.735
135,540.15,50.078
135.5,540.72,50.739
136,541.19,51.011
136.5,541.67,51.681
137,542.16,51.319
137.5,542.64,51.954
138,543.16,52.467
138.5,543.69,52.551
139,544.21,52.459
139.5,544.71,53.062
140,545.24,53.6
140.5,545.7,53.696
141,546.24,53.689
141.5,546.75,53.637
142,547.27,53.685
142.5,547.75,54.125
143,548.25,54.649
143.5,548.76,54.951
144,549.31,55.462
144.5,549.76,55.51
145,550.26,55.396
145.5,550.8,55.738
146,551.36,56.274
146.5,551.81,56.541
147,552.36,57.325
147.5,552.84,57.228
