Time (s),Sample Temperature (K),Weight (mg)
0,383.15,4.975
1,383.15,4.975
2,383.15,4.975
3,383.15,4.975
4,383.15,4.975
5,383.15,4.975
6,383.15,4.975
7,383.16,4.975
8,383.16,4.975
9,383.16,4.975
10,383.18,4.975
11,383.20,4.975
12,383.22,4.975
13,383.22,4.975
14,383.23,4.975
15,383.26,4.975
16,383.28,4.975
17,383.31,4.975
18,383.34,4.975
19,383.36,4.975
20,383.39,4.975
21,383.42,4.975
22,383.45,4.975
23,383.47,4.975
24,383.50,4.975
25,383.53,4.975
26,383.56,4.975
27,383.59,4.975
28,383.62,4.975
29,383.65,4.975
30,383.68,4.975
31,383.70,4.975
32,383.73,4.975
33,383.75,4.975
34,383.78,4.975
35,383.82,4.975
36,383.85,4.975
37,383.88,4.975
38,383.91,4.975
39,383.94,4.975
40,383.97,4.975
41,384.00,4.975
42,384.03,4.975
43,384.06,4.975
44,384.09,4.975
45,384.12,4.975
46,384.15,4.975
47,384.18,4.975
48,384.22,4.975
49,384.25,4.975
50,384.28,4.975
51,384.31,4.975
52,384.34,4.975
53,384.37,4.975
54,384.40,4.975
55,384.43,4.975
56,384.46,4.975
57,384.49,4.975
58,384.53,4.975
59,384.56,4.975
60,384.59,4.975
61,384.63,4.975
62,384.66,4.975
63,384.69,4.975
64,384.72,4.975
65,384.75,4.975
66,384.79,4.975
67,384.82,4.975
68,384.85,4.975
69,384.88,4.975
70,384.91,4.975
71,384.95,4.975
72,384.98,4.975
73,385.01,4.975
74,385.04,4.975
75,385.08,4.975
76,385.11,4.975
77,385.14,4.975
78,385.17,4.975
79,385.21,4.975
80,385.24,4.975
81,385.27,4.975
82,385.30,4.975
83,385.34,4.975
84,385.36,4.975
85,385.40,4.975
86,385.43,4.975
87,385.47,4.975
88,385.50,4.975
89,385.54,4.975
90,385.57,4.975
91,385.60,4.975
92,385.63,4.975
93,385.66,4.975
94,385.69,4.975
95,385.73,4.975
96,385.76,4.975
97,385.80,4.975
98,385.83,4.975
99,385.86,4.975
100,385.90,4.975
101,385.93,4.975
102,385.96,4.975
103,386.00,4.975
104,386.03,4.975
105,386.07,4.975
106,386.10,4.975
107,386.13,4.975
108,386.16,4.975
109,386.19,4.975
110,386.22,4.975
111,386.26,4.975
112,386.29,4.975
113,386.33,4.975
114,386.36,4.975
115,386.40,4.975
116,386.42,4.975
117,386.45,4.975
118,386.49,4.975
119,386.52,4.975
120,386.56,4.975
121,386.60,4.975
122,386.63,4.975
123,386.66,4.975
124,386.69,4.975
125,386.72,4.975
126,386.76,4.975
127,386.79,4.975
128,386.83,4.975
129,386.86,4.975
130,386.90,4.975
131,386.92,4.975
132,386.96,4.975
133,386.99,4.975
134,387.02,4.975
135,387.05,4.975
136,387.09,4.975
137,387.13,4.975
138,387.16,4.975
139,387.19,4.975
140,387.23,4.975
141,387.25,4.975
142,387.28,4.974
143,387.32,4.974
144,387.36,4.974
145,387.40,4.974
146,387.43,4.974
147,387.46,4.974
148,387.49,4.974
149,387.52,4.974
150,387.55,4.974
151,387.58,4.974
152,387.62,4.974
153,387.66,4.974
154,387.70,4.974
155,387.73,4.974
156,387.76,4.974
157,387.79,4.974
158,387.82,4.974
159,387.86,4.974
160,387.89,4.974
161,387.92,4.974
162,387.96,4.974
163,387.99,4.974
164,388.02,4.974
165,388.05,4.974
166,388.09,4.974
167,388.12,4.974
168,388.16,4.974
169,388.19,4.974
170,388.23,4.974
171,388.26,4.974
172,388.29,4.974
173,388.32,4.974
174,388.36,4.974
175,388.39,4.974
176,388.42,4.974
177,388.45,4.974
178,388.49,4.974
179,388.53,4.974
180,388.56,4.974
181,388.59,4.974
182,388.62,4.974
183,388.66,4.974
184,388.69,4.974
185,388.72,4.974
186,388.75,4.974
187,388.79,4.974
188,388.83,4.974
189,388.86,4.974
190,388.89,4.974
191,388.93,4.974
192,388.96,4.974
193,388.99,4.974
194,389.02,4.974
195,389.05,4.974
196,389.09,4.974
197,389.12,4.974
198,389.16,4.974
199,389.19,4.974
200,389.23,4.974
201,389.26,4.974
202,389.29,4.974
203,389.32,4.974
204,389.35,4.974
205,389.39,4.974
206,389.42,4.974
207,389.46,4.974
208,389.49,4.974
209,389.53,4.974
210,389.56,4.974
211,389.59,4.974
212,389.62,4.974
213,389.66,4.974
214,389.69,4.974
215,389.72,4.974
216,389.76,4.974
217,389.80,4.974
218,389.83,4.974
219,389.86,4.974
220,389.89,4.974
221,389.92,4.974
222,389.96,4.974
223,389.99,4.974
224,390.03,4.974
225,390.06,4.974
226,390.09,4.974
227,390.13,4.974
228,390.16,4.974
229,390.19,4.974
230,390.22,4.974
231,390.25,4.974
232,390.30,4.974
233,390.33,4.974
234,390.36,4.974
235,390.39,4.974
236,390.43,4.974
237,390.46,4.974
238,390.49,4.973
239,390.52,4.973
240,390.56,4.973
241,390.60,4.973
242,390.63,4.973
243,390.66,4.973
244,390.69,4.973
245,390.72,4.973
246,390.76,4.973
247,390.79,4.973
248,390.83,4.973
249,390.86,4.973
250,390.89,4.973
251,390.92,4.973
252,390.96,4.973
253,390.99,4.973
254,391.02,4.973
255,391.06,4.973
256,391.09,4.973
257,391.13,4.973
258,391.16,4.973
259,391.20,4.973
260,391.23,4.973
261,391.26,4.973
262,391.29,4.973
263,391.33,4.973
264,391.36,4.973
265,391.40,4.973
266,391.43,4.973
267,391.46,4.973
268,391.49,4.973
269,391.52,4.973
270,391.56,4.973
271,391.59,4.973
272,391.63,4.973
273,391.67,4.973
274,391.69,4.973
275,391.72,4.973
276,391.76,4.973
277,391.79,4.973
278,391.83,4.973
279,391.86,4.973
280,391.90,4.973
281,391.93,4.973
282,391.96,4.973
283,391.99,4.973
284,392.03,4.973
285,392.06,4.973
286,392.09,4.973
287,392.13,4.973
288,392.17,4.973
289,392.19,4.973
290,392.23,4.973
291,392.26,4.973
292,392.29,4.973
293,392.33,4.973
294,392.37,4.973
295,392.40,4.973
296,392.43,4.973
297,392.47,4.973
298,392.50,4.973
299,392.52,4.973
300,392.56,4.973
301,392.59,4.973
302,392.62,4.973
303,392.66,4.973
304,392.69,4.973
305,392.73,4.973
306,392.76,4.973
307,392.80,4.973
308,392.83,4.973
309,392.86,4.973
310,392.89,4.973
311,392.92,4.973
312,392.95,4.973
313,392.99,4.973
314,393.03,4.973
315,393.06,4.973
316,393.10,4.973
317,393.13,4.973
318,393.16,4.973
319,393.20,4.973
320,393.23,4.973
321,393.26,4.973
322,393.29,4.973
323,393.33,4.973
324,393.36,4.973
325,393.40,4.973
326,393.43,4.973
327,393.46,4.973
328,393.49,4.973
329,393.53,4.973
330,393.56,4.973
331,393.59,4.972
332,393.63,4.972
333,393.67,4.972
334,393.69,4.972
335,393.72,4.972
336,393.76,4.972
337,393.79,4.972
338,393.83,4.972
339,393.87,4.972
340,393.90,4.972
341,393.93,4.972
342,393.97,4.972
343,394.00,4.972
344,394.03,4.972
345,394.06,4.972
346,394.09,4.972
347,394.13,4.972
348,394.16,4.972
349,394.20,4.972
350,394.23,4.972
351,394.27,4.972
352,394.30,4.972
353,394.33,4.972
354,394.36,4.972
355,394.40,4.972
356,394.43,4.972
357,394.46,4.972
358,394.50,4.972
359,394.53,4.972
360,394.56,4.972
361,394.59,4.972
362,394.63,4.972
363,394.67,4.972
364,394.70,4.972
365,394.73,4.972
366,394.76,4.972
367,394.79,4.972
368,394.82,4.972
369,394.85,4.972
370,394.89,4.972
371,394.93,4.972
372,394.97,4.972
373,395.00,4.972
374,395.04,4.972
375,395.06,4.972
376,395.09,4.972
377,395.13,4.972
378,395.16,4.972
379,395.20,4.972
380,395.24,4.972
381,395.27,4.972
382,395.30,4.972
383,395.33,4.972
384,395.36,4.972
385,395.40,4.972
386,395.43,4.972
387,395.46,4.972
388,395.50,4.972
389,395.53,4.972
390,395.56,4.972
391,395.60,4.972
392,395.63,4.972
393,395.66,4.972
394,395.70,4.972
395,395.74,4.972
396,395.77,4.972
397,395.80,4.972
398,395.83,4.972
399,395.86,4.972
400,395.89,4.972
401,395.93,4.972
402,395.97,4.972
403,396.00,4.972
404,396.03,4.972
405,396.06,4.972
406,396.10,4.971
407,396.13,4.971
408,396.16,4.971
409,396.20,4.971
410,396.23,4.971
411,396.27,4.971
412,396.30,4.971
413,396.32,4.971
414,396.36,4.971
415,396.40,4.971
416,396.43,4.971
417,396.47,4.971
418,396.50,4.971
419,396.54,4.971
420,396.56,4.971
421,396.60,4.971
422,396.63,4.971
423,396.66,4.971
424,396.70,4.971
425,396.73,4.971
426,396.77,4.971
427,396.80,4.971
428,396.84,4.971
429,396.87,4.971
430,396.90,4.971
431,396.93,4.971
432,396.96,4.971
433,397.00,4.971
434,397.04,4.971
435,397.07,4.971
436,397.10,4.971
437,397.13,4.971
438,397.16,4.971
439,397.20,4.971
440,397.23,4.971
441,397.27,4.971
442,397.31,4.971
443,397.34,4.971
444,397.37,4.971
445,397.40,4.971
446,397.43,4.971
447,397.46,4.971
448,397.50,4.971
449,397.53,4.971
450,397.56,4.971
451,397.60,4.971
452,397.64,4.971
453,397.67,4.971
454,397.70,4.971
455,397.73,4.971
456,397.76,4.971
457,397.80,4.971
458,397.83,4.971
459,397.87,4.971
460,397.90,4.971
461,397.93,4.971
462,397.97,4.971
463,398.00,4.971
464,398.03,4.971
465,398.06,4.971
466,398.10,4.971
467,398.13,4.971
468,398.16,4.971
469,398.20,4.971
470,398.23,4.971
471,398.27,4.971
472,398.30,4.971
473,398.34,4.971
474,398.37,4.971
475,398.40,4.971
476,398.44,4.971
477,398.47,4.971
478,398.50,4.971
479,398.53,4.971
480,398.56,4.971
481,398.60,4.971
482,398.63,4.970
483,398.67,4.970
484,398.70,4.970
485,398.73,4.970
486,398.76,4.970
487,398.80,4.970
488,398.83,4.970
489,398.87,4.970
490,398.90,4.970
491,398.94,4.970
492,398.97,4.970
493,399.00,4.970
494,399.04,4.970
495,399.07,4.970
496,399.10,4.970
497,399.13,4.970
498,399.17,4.970
499,399.20,4.970
500,399.24,4.970
501,399.27,4.970
502,399.30,4.970
503,399.34,4.970
504,399.38,4.970
505,399.40,4.970
506,399.43,4.970
507,399.47,4.970
508,399.50,4.970
509,399.53,4.970
510,399.57,4.970
511,399.60,4.970
512,399.64,4.970
513,399.67,4.970
514,399.70,4.970
515,399.74,4.970
516,399.77,4.970
517,399.80,4.970
518,399.83,4.970
519,399.87,4.970
520,399.90,4.970
521,399.94,4.970
522,399.97,4.970
523,400.00,4.970
524,400.04,4.970
525,400.07,4.970
526,400.11,4.970
527,400.14,4.970
528,400.17,4.970
529,400.20,4.970
530,400.23,4.970
531,400.26,4.970
532,400.30,4.970
533,400.34,4.970
534,400.37,4.970
535,400.40,4.970
536,400.44,4.970
537,400.47,4.970
538,400.50,4.970
539,400.53,4.970
540,400.57,4.970
541,400.60,4.970
542,400.64,4.970
543,400.67,4.970
544,400.71,4.970
545,400.74,4.970
546,400.77,4.970
547,400.80,4.970
548,400.84,4.970
549,400.88,4.970
550,400.91,4.970
551,400.94,4.970
552,400.97,4.970
553,400.99,4.970
554,401.03,4.969
555,401.07,4.969
556,401.10,4.969
557,401.14,4.969
558,401.17,4.969
559,401.21,4.969
560,401.24,4.969
561,401.27,4.969
562,401.30,4.969
563,401.34,4.969
564,401.37,4.969
565,401.41,4.969
566,401.44,4.969
567,401.48,4.969
568,401.51,4.969
569,401.54,4.969
570,401.57,4.969
571,401.60,4.969
572,401.64,4.969
573,401.67,4.969
574,401.71,4.969
575,401.75,4.969
576,401.78,4.969
577,401.81,4.969
578,401.83,4.969
579,401.86,4.969
580,401.90,4.969
581,401.94,4.969
582,401.98,4.969
583,402.01,4.969
584,402.04,4.969
585,402.07,4.969
586,402.11,4.969
587,402.14,4.969
588,402.17,4.969
589,402.21,4.969
590,402.25,4.969
591,402.27,4.969
592,402.30,4.969
593,402.33,4.969
594,402.37,4.969
595,402.41,4.969
596,402.44,4.969
597,402.47,4.969
598,402.50,4.969
599,402.54,4.969
600,402.57,4.969
601,402.61,4.969
602,402.64,4.969
603,402.67,4.969
604,402.71,4.969
605,402.74,4.969
606,402.78,4.969
607,402.80,4.969
608,402.84,4.969
609,402.87,4.969
610,402.91,4.969
611,402.94,4.969
612,402.97,4.969
613,403.01,4.969
614,403.04,4.969
615,403.08,4.969
616,403.11,4.969
617,403.14,4.969
618,403.18,4.968
619,403.21,4.968
620,403.24,4.968
621,403.27,4.968
622,403.30,4.968
623,403.33,4.968
624,403.37,4.968
625,403.41,4.968
626,403.44,4.968
627,403.48,4.968
628,403.51,4.968
629,403.54,4.968
630,403.57,4.968
631,403.61,4.968
632,403.64,4.968
633,403.68,4.968
634,403.71,4.968
635,403.74,4.968
636,403.78,4.968
637,403.81,4.968
638,403.84,4.968
639,403.87,4.968
640,403.90,4.968
641,403.94,4.968
642,403.98,4.968
643,404.01,4.968
644,404.05,4.968
645,404.08,4.968
646,404.11,4.968
647,404.14,4.968
648,404.17,4.968
649,404.20,4.968
650,404.24,4.968
651,404.28,4.968
652,404.31,4.968
653,404.34,4.968
654,404.38,4.968
655,404.41,4.968
656,404.44,4.968
657,404.47,4.968
658,404.50,4.968
659,404.55,4.968
660,404.58,4.968
661,404.62,4.968
662,404.64,4.968
663,404.67,4.968
664,404.70,4.968
665,404.74,4.968
666,404.77,4.968
667,404.81,4.968
668,404.85,4.968
669,404.88,4.968
670,404.91,4.968
671,404.94,4.968
672,404.97,4.968
673,405.01,4.968
674,405.04,4.968
675,405.08,4.968
676,405.11,4.968
677,405.14,4.968
678,405.18,4.968
679,405.21,4.968
680,405.24,4.968
681,405.27,4.968
682,405.31,4.968
683,405.34,4.967
684,405.38,4.967
