Time (s),Temperature (K),HRR (W/g)
0,411.54,0
0.5,411.95,-0.172
1,412.41,-0.046
1.5,412.84,-0.073
2,413.29,-0.102
2.5,413.78,-0.355
3,414.2,-0.537
3.5,414.63,-0.497
4,415.09,-0.054
4.5,415.55,-0.637
5,416.05,-0.713
5.5,416.48,-0.522
6,416.96,-0.532
6.5,417.38,-0.548
7,417.85,-0.923
7.5,418.28,-0.371
8,418.81,-0.544
8.5,419.25,-0.419
9,419.67,-0.783
9.5,420.19,-1.02
10,420.65,-0.569
10.5,421.1,-1.062
11,421.56,-0.613
11.5,422.02,-0.895
12,422.51,-0.549
12.5,423,-0.883
13,423.48,-1.064
13.5,423.99,-0.599
14,424.44,-0.503
14.5,424.94,-0.518
15,425.4,-0.52
15.5,425.89,-0.521
16,426.39,-0.552
16.5,426.86,-0.633
17,427.32,-0.669
17.5,427.81,-0.246
18,428.29,-0.367
18.5,428.78,-0.534
19,429.29,-0.211
19.5,429.75,-0.314
20,430.25,-0.526
20.5,430.69,-0.809
21,431.22,-0.295
21.5,431.72,-0.348
22,432.2,-0.059
22.5,432.65,-0.217
23,433.2,0.255
23.5,433.68,0.25
24,434.16,0.364
24.5,434.68,0.67
25,435.13,0.415
25.5,435.59,0.679
26,436.09,0.555
26.5,436.63,1.01
27,437.13,0.482
27.5,437.59,1.134
28,438.14,1.201
28.5,438.65,0.991
29,439.15,1.057
29.5,439.64,1.159
30,440.17,1.646
30.5,440.66,1.944
31,441.2,2.391
31.5,441.72,2.093
32,442.22,2.202
32.5,442.69,1.907
33,443.17,2.568
33.5,443.78,2.383
34,444.3,2.64
34.5,444.85,2.998
35,445.33,2.633
35.5,445.86,2.864
36,446.34,3.068
36.5,446.87,3.64
37,447.41,3.509
37.5,447.9,3.93
38,448.39,4.285
38.5,448.89,4.071
39,449.45,4.4
39.5,449.93,4.83
40,450.45,4.716
40.5,450.98,5.145
41,451.54,4.71
41.5,452.09,5.03
42,452.59,4.9
42.5,453.12,5.638
43,453.6,5.605
43.5,454.13,5.675
44,454.62,5.85
44.5,455.14,6.104
45,455.68,6.103
45.5,456.18,6.716
46,456.73,7.325
46.5,457.26,7.064
47,457.75,7.487
47.5,458.3,8.183
48,458.82,8.523
48.5,459.35,8.591
49,459.9,9.442
49.5,460.43,9.319
50,460.95,9.948
50.5,461.47,10.186
51,461.97,10.212
51.5,462.54,10.289
52,463.01,10.537
52.5,463.57,10.736
53,464.14,10.843
53.5,464.69,11.032
54,465.19,11.284
54.5,465.73,11.234
55,466.27,11.496
55.5,466.78,11.348
56,467.35,11.699
56.5,467.82,11.983
57,468.36,12.134
57.5,468.91,12.352
58,469.43,12.387
58.5,469.94,12.352
59,470.49,12.309
59.5,471.05,12.51
60,471.61,12.727
60.5,472.1,12.974
61,472.64,12.959
61.5,473.18,12.781
62,473.7,13.112
62.5,474.2,13.469
63,474.76,13.116
63.5,475.28,13.504
64,475.76,13.303
64.5,476.32,13.291
65,476.87,13.789
65.5,477.4,13.858
66,477.93,13.439
66.5,478.48,13.871
67,478.98,13.849
67.5,479.58,13.743
68,480.08,14.285
68.5,480.6,14.621
69,481.14,14.642
69.5,481.64,14.593
70,482.2,14.729
70.5,482.73,15.034
71,483.26,15.058
71.5,483.8,15.148
72,484.36,15.197
72.5,484.86,14.997
73,485.4,15.02
73.5,485.89,14.795
74,486.48,15.3
74.5,487,15.32
75,487.55,15.05
75.5,488.07,15.305
76,488.58,15.464
76.5,489.13,15.34
77,489.64,15.458
77.5,490.2,15.813
78,490.74,15.949
78.5,491.28,15.905
79,491.81,16.049
79.5,492.36,16.245
80,492.85,15.679
80.5,493.41,15.703
81,493.92,15.674
81.5,494.44,15.856
82,495.02,15.979
82.5,495.51,15.903
83,496.02,16.325
83.5,496.59,15.829
84,497.1,15.876
84.5,497.62,16.201
85,498.15,16.654
85.5,498.7,16.14
86,499.18,16.588
86.5,499.72,16.56
87,500.26,16.197
87.5,500.81,16.577
88,501.32,16.839
88.5,501.85,16.332
89,502.35,16.32
89.5,502.9,16.319
90,503.45,16.843
90.5,503.96,17.09
91,504.47,16.848
91.5,505.01,17.126
92,505.5,17.067
92.5,506.05,17.047
93,506.58,17.155
93.5,507.11,17.266
94,507.66,17.535
94.5,508.18,17.645
95,508.74,17.518
95.5,509.21,17.709
96,509.73,17.833
96.5,510.28,18.227
97,510.82,17.725
97.5,511.3,17.775
98,511.81,17.931
98.5,512.39,18.704
99,512.87,18.14
99.5,513.4,18.133
100,513.91,18.988
100.5,514.45,18.896
101,514.99,19.257
101.5,515.47,19.499
102,516.01,19.458
102.5,516.52,19.785
103,517.08,19.949
103.5,517.55,20.295
104,518.07,20.202
104.5,518.58,20.299
105,519.1,20.753
105.5,519.63,21.372
106,520.11,21.275
106.5,520.61,21.417
107,521.14,21.397
107.5,521.63,21.662
108,522.18,21.953
108.5,522.66,21.998
109,523.19,22.627
109.5,523.74,22.756
110,524.22,23.264
110.5,524.75,23.001
111,525.26,23.729
111.5,525.75,23.827
112,526.32,24.02
112.5,526.78,24.556
113,527.3,24.587
113.5,527.82,24.274
114,528.38,24.978
114.5,528.87,24.937
115,529.37,25.425
115.5,529.9,25.838
116,530.38,26.435
116.5,530.92,26.351
117,531.4,26.927
117.5,531.96,26.767
118,532.44,27.398
118.5,532.96,27.491
119,533.45,28.033
119.5,533.93,28.206
120,534.44,28.419
120.5,534.98,28.692
121,535.46,29.05
121.5,535.95,29.056
122,536.51,29.417
122.5,537,29.715
123,537.51,30.024
123.5,538,30.186
124,538.51,30.638
124.5,539.03,30.546
125,539.49,31.195
125.5,540.01,31.388
126,540.48,31.293
126.5,541,32.174
127,541.53,32.609
127.5,542.03,32.322
128,542.5,32.748
