Time (s),Temperature (K),HRR (W/g)
0,398.9,0
0.5,399.26,0.313
1,399.63,0.301
1.5,399.93,0.235
2,400.26,0.32
2.5,400.59,0.14
3,400.97,0.37
3.5,401.32,0.199
4,401.65,0.14
4.5,402.07,0.253
5,402.44,0.299
5.5,402.77,0.525
6,403.17,0.319
6.5,403.45,0.405
7,403.8,0.547
7.5,404.12,0.623
8,404.48,0.468
8.5,404.89,0.463
9,405.31,0.423
9.5,405.59,0.44
10,405.99,0.588
10.5,406.33,0.221
11,406.77,0.601
11.5,407.11,0.416
12,407.46,0.462
12.5,407.83,0.816
13,408.2,0.641
13.5,408.6,0.804
14,408.92,0.788
14.5,409.34,0.817
15,409.71,0.763
15.5,410.09,0.993
16,410.5,1.001
16.5,410.92,1.115
17,411.26,0.938
17.5,411.67,0.985
18,412.06,0.715
18.5,412.44,1.041
19,412.88,0.867
19.5,413.18,0.806
20,413.63,1.205
20.5,414.03,1.186
21,414.44,1.336
21.5,414.83,1.122
22,415.21,1.023
22.5,415.66,1.181
23,416.03,1.201
23.5,416.45,1.444
24,416.8,1.197
24.5,417.27,0.898
25,417.73,1.317
25.5,418.09,1.432
26,418.5,1.476
26.5,418.91,1.164
27,419.34,1.434
27.5,419.71,1.443
28,420.17,1.478
28.5,420.62,1.614
29,421.03,1.388
29.5,421.39,1.306
30,421.87,1.496
30.5,422.25,1.522
31,422.68,1.746
31.5,423.13,1.489
32,423.58,1.67
32.5,423.98,2.129
33,424.46,2.131
33.5,424.85,2.174
34,425.3,2.074
34.5,425.73,2.155
35,426.13,2.019
35.5,426.57,2.238
36,426.98,1.926
36.5,427.45,1.9
37,427.93,2.204
37.5,428.32,2.005
38,428.75,2.267
38.5,429.21,2.643
39,429.66,2.596
39.5,430.07,2.597
40,430.51,2.624
40.5,430.96,2.767
41,431.4,2.269
41.5,431.87,2.461
42,432.29,2.659
42.5,432.74,2.771
43,433.17,2.904
43.5,433.65,2.848
44,434.05,3.102
44.5,434.53,2.925
45,434.98,3.313
45.5,435.42,3.319
46,435.91,3.473
46.5,436.35,3.494
47,436.78,3.687
47.5,437.23,3.802
48,437.75,3.816
48.5,438.21,3.8
49,438.66,3.812
49.5,439.14,3.592
50,439.55,3.858
50.5,440.05,3.751
51,440.5,4.085
51.5,441.01,4.177
52,441.43,4.221
52.5,441.92,4.857
53,442.37,4.726
53.5,442.86,4.888
54,443.37,5.025
54.5,443.78,5.051
55,444.33,5.037
55.5,444.75,5.417
56,445.28,5.625
56.5,445.74,5.893
57,446.19,5.716
57.5,446.71,5.833
58,447.15,5.943
58.5,447.64,5.668
59,448.14,5.949
59.5,448.6,6.275
60,449.09,6.089
60.5,449.58,5.961
61,450.06,6.159
61.5,450.54,6.746
62,451.05,6.949
62.5,451.58,6.863
63,452.06,7.228
63.5,452.52,7.465
64,453.02,7.371
64.5,453.53,7.514
65,454.02,7.864
65.5,454.5,7.927
