Time (s),Specimen mass (g),HRR (kW/m²)
0,119.80,4.59
5,120.33,3.97
10,120.33,2.94
15,120.15,-11.56
20,120.05,142.59
25,119.38,212.68
30,118.84,219.54
35,118.24,205.93
40,117.53,194.27
45,116.88,178.80
50,116.55,168.78
55,116.13,162.62
60,115.45,152.40
65,115.05,149.97
70,114.63,143.55
75,114.23,136.56
80,113.65,134.18
85,113.35,137.70
90,113.04,131.83
95,112.63,130.36
100,112.25,126.20
105,111.83,125.00
110,111.44,125.74
115,111.05,121.89
120,110.65,118.35
125,110.25,117.02
130,109.94,114.07
135,109.63,110.99
140,109.24,110.99
145,108.95,111.32
150,108.53,111.51
155,108.23,108.85
160,107.85,110.17
165,107.45,108.70
170,107.22,108.36
175,106.93,106.75
180,106.55,107.40
185,106.24,105.94
190,105.84,106.70
195,105.54,106.06
200,105.24,107.74
205,104.95,106.81
210,104.62,105.57
215,104.22,105.95
220,103.97,102.77
225,103.52,102.03
230,103.25,103.12
235,102.94,102.69
240,102.64,99.63
245,102.24,103.68
250,101.94,104.01
255,101.72,103.91
260,101.34,100.13
265,101.02,101.39
270,100.64,100.13
275,100.34,103.16
280,100.04,103.44
285,99.64,99.22
290,99.35,100.74
295,99.11,100.40
300,98.74,101.85
305,98.44,103.68
310,98.13,105.84
315,97.84,102.92
320,97.42,99.76
325,97.22,100.51
330,96.84,99.59
335,96.62,97.40
340,96.32,98.49
345,96.02,99.64
350,95.72,100.43
355,95.32,99.19
360,95.02,98.73
365,94.64,99.60
370,94.42,99.97
375,94.12,98.88
380,93.74,99.59
385,93.52,99.25
390,93.15,94.37
395,92.84,97.07
400,92.54,98.59
405,92.24,100.57
410,91.94,98.43
415,91.64,99.02
420,91.32,97.01
425,90.93,100.50
430,90.64,99.77
435,90.34,96.84
440,90.12,96.75
445,89.74,97.61
450,89.42,98.13
455,89.05,99.68
460,88.82,98.56
465,88.53,99.54
470,88.24,99.67
475,87.82,101.37
480,87.52,101.06
485,87.24,99.75
490,86.93,100.93
495,86.62,101.62
500,86.22,100.80
505,85.93,101.56
510,85.72,103.16
515,85.33,101.75
520,85.04,101.94
525,84.74,98.28
530,84.34,101.50
535,84.02,101.32
540,83.73,101.69
545,83.53,100.38
550,83.04,101.77
555,82.92,102.11
560,82.54,102.49
565,82.23,103.60
570,81.93,101.80
575,81.64,101.85
580,81.32,103.99
585,80.81,102.77
590,80.62,104.70
595,80.33,103.50
600,79.93,104.35
605,79.72,104.12
610,79.41,105.77
615,79.03,101.96
620,78.83,102.89
625,78.43,104.67
630,78.22,106.16
635,77.73,104.85
640,77.42,105.10
645,77.13,103.32
650,76.83,103.62
655,76.53,106.91
660,76.23,108.22
665,75.92,108.83
670,75.62,110.25
675,75.23,108.64
680,74.91,106.40
685,74.63,108.00
690,74.16,109.12
695,73.91,107.73
700,73.63,110.74
705,73.33,112.26
710,72.93,110.32
715,72.63,114.57
720,72.31,111.44
725,71.93,110.35
730,71.71,114.89
735,71.33,111.63
740,71.03,115.83
745,70.63,114.06
750,70.19,115.00
755,69.93,116.90
760,69.63,115.02
765,69.32,113.92
770,69.01,114.61
775,68.71,117.22
780,68.33,116.19
785,68.03,119.10
790,67.63,116.60
795,67.32,119.37
800,67.03,119.33
805,66.62,118.71
810,66.32,119.65
815,66.01,120.45
820,65.63,120.12
825,65.31,120.85
830,64.93,120.17
835,64.52,123.10
840,64.13,124.66
845,63.93,124.07
850,63.53,128.45
855,63.13,123.88
860,62.71,126.65
865,62.42,129.40
870,62.13,130.56
875,61.83,129.52
880,61.41,130.00
885,61.13,131.81
890,60.70,131.88
895,60.33,133.75
900,59.93,133.68
905,59.53,134.44
910,59.22,138.35
915,58.83,138.12
920,58.42,138.67
925,58.11,138.10
930,57.73,139.74
935,57.21,139.38
940,56.92,141.52
945,56.60,140.69
950,56.14,141.82
955,55.71,143.91
960,55.32,142.79
965,54.93,146.54
970,54.42,146.12
975,54.13,147.26
980,53.51,151.18
985,53.22,152.96
990,52.81,151.97
995,52.41,149.84
1000,51.92,154.03
1005,51.62,154.11
1010,51.11,155.74
1015,50.62,157.68
1020,50.12,160.96
1025,49.74,160.58
1030,49.41,162.85
1035,48.90,160.67
1040,48.51,160.83
1045,47.91,162.37
1050,47.52,165.70
1055,47.10,162.41
1060,46.62,162.45
1065,46.13,165.22
1070,45.70,163.22
1075,45.22,166.52
1080,44.72,165.76
1085,44.12,166.25
1090,43.65,167.60
1095,43.16,168.88
1100,42.53,166.86
1105,42.42,170.01
1110,41.91,166.63
1115,41.31,165.66
1120,40.92,167.67
1125,40.52,168.81
1130,40.01,165.73
1135,39.52,169.24
1140,38.95,169.66
1145,38.53,166.58
1150,38.13,164.44
1155,37.65,162.29
1160,37.20,166.78
1165,36.70,165.33
1170,36.32,162.66
1175,35.72,162.10
1180,35.33,160.10
1185,34.81,157.90
1190,34.42,158.50
1195,34.00,158.61
1200,33.45,154.39
1205,33.12,153.79
1210,32.54,152.74
1215,32.05,150.61
1220,31.82,147.92
1225,31.42,146.60
1230,30.88,142.48
1235,30.52,140.07
1240,30.21,137.99
1245,29.65,135.86
1250,29.41,137.83
1255,28.94,135.11
1260,28.63,133.58
1265,28.26,131.67
1270,27.93,128.89
1275,27.60,129.30
1280,27.32,123.33
1285,27.00,120.52
1290,26.61,119.50
1295,26.30,117.54
1300,26.00,116.26
1305,25.69,112.97
1310,25.32,114.28
1315,25.11,110.70
