Time,,,(W/g)
0,90.324,-0.527,
0.5,90.446,-0.746,
1,90.522,-0.836,
1.5,90.594,-0.86,
2,90.61,-0.95,
2.5,90.769,-1.001,
3,90.837,-0.879,
3.5,90.942,-0.545,
4,90.999,-0.172,
4.5,91.083,-0.038,
5,91.166,0.112,
5.5,91.242,0.331,
6,91.326,1.065,
6.5,91.374,0.8,
7,91.489,0.475,
7.5,91.512,0.21,
8,91.608,0.284,
8.5,91.674,0.517,
9,91.784,0.89,
9.5,91.829,0.194,
10,91.899,0.121,
10.5,91.985,0.168,
11,92.056,0.262,
11.5,92.116,-0.437,
12,92.207,-0.2,
12.5,92.264,-0.258,
13,92.377,-0.466,
13.5,92.464,-0.572,
14,92.507,-0.741,
14.5,92.553,-0.923,
15,92.624,-1.158,
15.5,92.736,-1.539,
16,92.819,-1.603,
16.5,92.906,-0.927,
17,92.946,-0.724,
17.5,93.048,-0.415,
18,93.113,-0.423,
18.5,93.182,-0.479,
19,93.284,-0.411,
19.5,93.326,-0.713,
20,93.411,-0.839,
20.5,93.517,-0.442,
21,93.607,-0.642,
21.5,93.734,-1.014,
22,93.801,-0.794,
22.5,93.905,-1.085,
23,94.012,-0.849,
23.5,94.122,-0.679,
24,94.16,-0.751,
24.5,94.269,-0.585,
25,94.369,-0.354,
25.5,94.466,-0.361,
26,94.591,-0.603,
26.5,94.673,-0.783,
27,94.765,-0.841,
27.5,94.88,-0.222,
28,94.992,-0.513,
28.5,95.148,-0.783,
29,95.258,-0.383,
29.5,95.362,0.008,
30,95.496,-0.105,
30.5,95.57,0.041,
31,95.73,0.568,
31.5,95.852,0.43,
32,95.959,1.126,
32.5,96.067,1.053,
33,96.204,1.109,
33.5,96.377,1.011,
34,96.51,0.882,
34.5,96.602,0.586,
35,96.715,0.73,
35.5,96.911,0.412,
36,97.012,0.273,
36.5,97.194,0.289,
37,97.341,0.142,
37.5,97.493,0.05,
38,97.608,0.684,
38.5,97.789,0.727,
39,97.89,1.011,
39.5,98.072,1.27,
40,98.257,1.821,
40.5,98.384,2.515,
41,98.559,3.038,
41.5,98.694,3.739,
42,98.906,4.03,
42.5,99.036,4.765,
43,99.209,5.816,
43.5,99.412,5.678,
44,99.592,6.499,
44.5,99.758,6.281,
45,99.902,6.564,
45.5,100.133,6.812,
46,100.293,7.139,
46.5,100.481,7.175,
47,100.678,7.136,
47.5,100.864,7.225,
48,101.112,6.986,
48.5,101.273,6.981,
49,101.513,6.718,
49.5,101.647,6.541,
50,101.908,6.895,
50.5,102.099,7.035,
