Time (s),Sample Temperature (K),Weight (mg)
0,383.15,5.110
1,383.15,5.110
2,383.15,5.110
3,383.15,5.110
4,383.15,5.110
5,383.15,5.110
6,383.15,5.111
7,383.15,5.111
8,383.15,5.111
9,383.15,5.111
10,383.17,5.111
11,383.28,5.111
12,383.44,5.111
13,383.64,5.112
14,383.89,5.112
15,384.16,5.112
16,384.42,5.112
17,384.69,5.112
18,384.95,5.113
19,385.21,5.113
20,385.48,5.113
21,385.76,5.113
22,386.03,5.113
23,386.31,5.113
24,386.59,5.114
25,386.87,5.114
26,387.15,5.114
27,387.44,5.114
28,387.72,5.114
29,388.01,5.114
30,388.30,5.114
31,388.59,5.114
32,388.89,5.114
33,389.18,5.114
34,389.47,5.114
35,389.77,5.114
36,390.06,5.114
37,390.36,5.114
38,390.67,5.114
39,390.97,5.114
40,391.27,5.114
41,391.58,5.114
42,391.88,5.114
43,392.18,5.114
44,392.50,5.114
45,392.80,5.114
46,393.12,5.114
47,393.43,5.114
48,393.73,5.113
49,394.05,5.113
50,394.36,5.113
51,394.68,5.113
52,394.99,5.113
53,395.31,5.113
54,395.63,5.113
55,395.95,5.113
56,396.26,5.113
57,396.58,5.113
58,396.90,5.113
59,397.23,5.113
60,397.55,5.113
61,397.87,5.113
62,398.19,5.113
63,398.51,5.113
64,398.84,5.113
65,399.16,5.113
66,399.49,5.113
67,399.82,5.113
68,400.14,5.113
69,400.47,5.113
70,400.79,5.113
71,401.11,5.113
72,401.45,5.113
73,401.78,5.113
74,402.11,5.113
75,402.43,5.113
76,402.76,5.113
77,403.09,5.113
78,403.42,5.113
79,403.75,5.113
80,404.09,5.113
81,404.42,5.113
82,404.74,5.113
83,405.08,5.113
84,405.41,5.113
85,405.74,5.113
86,406.07,5.113
87,406.40,5.113
88,406.74,5.112
89,407.07,5.112
90,407.40,5.112
91,407.74,5.112
92,408.07,5.112
93,408.40,5.112
94,408.74,5.112
95,409.07,5.112
96,409.40,5.112
97,409.74,5.112
98,410.08,5.112
99,410.41,5.112
100,410.74,5.112
101,411.07,5.112
102,411.40,5.112
103,411.75,5.112
104,412.09,5.112
105,412.43,5.112
106,412.76,5.112
107,413.09,5.112
108,413.42,5.112
109,413.75,5.111
110,414.10,5.111
111,414.44,5.111
112,414.78,5.111
113,415.11,5.111
114,415.44,5.111
115,415.78,5.111
116,416.11,5.111
117,416.45,5.111
118,416.79,5.111
119,417.13,5.111
120,417.46,5.111
121,417.80,5.111
122,418.13,5.111
123,418.47,5.111
124,418.80,5.111
125,419.15,5.111
126,419.49,5.111
127,419.83,5.110
128,420.16,5.110
129,420.49,5.110
130,420.82,5.110
131,421.17,5.110
132,421.51,5.110
133,421.85,5.110
134,422.18,5.110
135,422.52,5.110
136,422.86,5.110
137,423.19,5.110
138,423.53,5.110
139,423.87,5.110
140,424.21,5.110
141,424.55,5.109
142,424.88,5.109
143,425.22,5.109
144,425.55,5.109
145,425.89,5.109
146,426.23,5.109
147,426.57,5.109
148,426.91,5.109
149,427.25,5.109
150,427.58,5.109
151,427.91,5.109
152,428.24,5.109
153,428.58,5.109
154,428.92,5.109
155,429.25,5.108
156,429.60,5.108
157,429.93,5.108
158,430.26,5.108
159,430.59,5.108
160,430.93,5.108
161,431.27,5.108
162,431.61,5.108
163,431.94,5.108
164,432.28,5.107
165,432.62,5.107
166,432.95,5.107
167,433.28,5.107
168,433.62,5.107
169,433.95,5.107
170,434.29,5.107
171,434.63,5.107
172,434.97,5.107
173,435.30,5.106
174,435.64,5.106
175,435.97,5.106
176,436.32,5.106
177,436.65,5.106
178,436.98,5.106
179,437.31,5.106
180,437.65,5.106
181,437.99,5.105
182,438.33,5.105
183,438.66,5.105
184,439.00,5.105
185,439.33,5.105
186,439.67,5.105
187,440.01,5.105
188,440.34,5.105
189,440.67,5.104
190,441.01,5.104
191,441.35,5.104
192,441.68,5.104
193,442.03,5.104
194,442.37,5.104
195,442.69,5.103
196,443.03,5.103
197,443.36,5.103
198,443.70,5.103
199,444.04,5.103
200,444.38,5.102
201,444.71,5.102
202,445.05,5.102
203,445.38,5.102
204,445.72,5.102
205,446.06,5.101
206,446.39,5.101
207,446.72,5.101
