Time (s),Temperature (K),HRR (W/g)
0,397.45,0
0.5,397.82,0.005
1,398.23,-0.016
1.5,398.55,-0.284
2,398.95,0.015
2.5,399.32,-0.39
3,399.69,0.207
3.5,400.05,-0.459
4,400.4,-0.411
4.5,400.81,-0.495
5,401.2,-0.513
5.5,401.56,-0.149
6,401.94,-0.289
6.5,402.32,0.048
7,402.72,-0.346
7.5,403.06,-0.349
8,403.46,0.12
8.5,403.86,-0.516
9,404.31,-0.148
9.5,404.66,-0.357
10,405.02,-0.222
10.5,405.45,-0.144
11,405.83,0.072
11.5,406.24,-0.03
12,406.61,-0.06
12.5,407,-0.131
13,407.39,-0.031
13.5,407.85,-0.244
14,408.25,0.094
14.5,408.58,-0.143
15,409.01,0.047
15.5,409.39,-0.009
16,409.79,-0.201
16.5,410.2,-0.341
17,410.64,-0.014
17.5,411.11,0.014
18,411.47,0.253
18.5,411.85,0.227
19,412.29,0.468
19.5,412.69,0.705
20,413.12,0.609
20.5,413.49,0.49
21,413.98,0.948
21.5,414.34,0.587
22,414.78,0.514
22.5,415.21,0.709
23,415.6,0.83
23.5,416.03,0.894
24,416.44,1.091
24.5,416.93,3.025
25,417.34,7.03
25.5,417.77,6.663
26,418.21,5.744
26.5,418.64,5.516
27,419.09,4.644
27.5,419.53,3.874
28,419.96,3.219
28.5,420.38,2.899
29,420.79,2.55
29.5,421.25,0.759
30,421.64,-3.449
30.5,422.15,-4.334
31,422.59,-3.729
31.5,423.02,-2.654
32,423.45,-1.539
32.5,423.91,-0.617
33,424.35,-0.234
33.5,424.79,0.509
34,425.22,1.451
34.5,425.68,2.454
35,426.14,2.71
35.5,426.58,2.692
36,427.04,4.025
36.5,427.48,3.449
37,427.94,3.578
37.5,428.36,4.278
38,428.86,5.215
38.5,429.34,6.747
39,429.77,9.341
39.5,430.25,12.583
40,430.67,15.256
40.5,431.12,17.91
41,431.61,19.064
41.5,432.07,19.052
42,432.52,17.76
42.5,432.99,15.88
43,433.44,13.307
43.5,433.9,9.698
44,434.35,6.182
44.5,434.8,3.016
45,435.25,0.856
45.5,435.67,-1.625
46,436.22,-3.282
46.5,436.68,-4.66
47,437.2,-5.286
47.5,437.66,-5.26
48,438.1,-4.304
48.5,438.56,-3.762
49,439.04,-2.816
49.5,439.57,-1.593
50,439.99,-0.583
50.5,440.45,1.139
51,440.94,2.059
51.5,441.4,3.517
52,441.89,4.607
52.5,442.36,5.442
53,442.9,6.138
53.5,443.39,7.172
54,443.88,8.906
54.5,444.36,9.506
55,444.83,9.792
55.5,445.33,10.066
56,445.83,10.479
56.5,446.32,10.811
57,446.82,11.392
57.5,447.3,11.701
58,447.83,11.876
