Time (s),Temperature (K),Weight (mg)
0,383.15,4.877
1,383.15,4.877
2,383.15,4.877
3,383.15,4.877
4,383.15,4.877
5,383.15,4.877
6,383.15,4.877
7,383.15,4.877
8,383.15,4.877
9,383.15,4.877
10,383.18,4.877
11,383.20,4.877
12,383.24,4.877
13,383.30,4.877
14,383.36,4.877
15,383.42,4.877
16,383.49,4.877
17,383.56,4.877
18,383.62,4.877
19,383.69,4.877
20,383.76,4.877
21,383.83,4.877
22,383.90,4.877
23,383.97,4.877
24,384.04,4.877
25,384.11,4.877
26,384.18,4.877
27,384.25,4.877
28,384.32,4.877
29,384.39,4.877
30,384.46,4.877
31,384.54,4.877
32,384.62,4.877
33,384.68,4.878
34,384.75,4.878
35,384.83,4.878
36,384.90,4.878
37,384.98,4.878
38,385.06,4.878
39,385.12,4.878
40,385.20,4.878
41,385.28,4.878
42,385.35,4.878
43,385.43,4.878
44,385.51,4.878
45,385.59,4.878
46,385.66,4.878
47,385.74,4.878
48,385.82,4.878
49,385.89,4.878
50,385.97,4.878
51,386.05,4.878
52,386.12,4.878
53,386.20,4.878
54,386.29,4.878
55,386.37,4.878
56,386.45,4.878
57,386.53,4.878
58,386.61,4.878
59,386.68,4.878
60,386.76,4.878
61,386.84,4.878
62,386.92,4.878
63,387.01,4.878
64,387.08,4.878
65,387.16,4.878
66,387.24,4.878
67,387.32,4.878
68,387.41,4.878
69,387.49,4.878
70,387.57,4.878
71,387.65,4.878
72,387.73,4.878
73,387.81,4.878
74,387.89,4.878
75,387.97,4.878
76,388.05,4.877
77,388.14,4.877
78,388.22,4.877
79,388.30,4.877
80,388.38,4.877
81,388.46,4.877
82,388.54,4.877
83,388.63,4.877
84,388.71,4.877
85,388.80,4.877
86,388.88,4.877
87,388.96,4.877
88,389.03,4.877
89,389.11,4.877
90,389.19,4.877
91,389.28,4.877
92,389.37,4.877
93,389.45,4.877
94,389.54,4.877
95,389.62,4.877
96,389.70,4.877
97,389.79,4.877
98,389.86,4.877
99,389.95,4.877
100,390.02,4.877
101,390.11,4.877
102,390.19,4.877
103,390.28,4.877
104,390.36,4.877
105,390.44,4.877
106,390.53,4.877
107,390.61,4.877
108,390.69,4.877
109,390.78,4.877
110,390.86,4.877
111,390.94,4.877
112,391.02,4.877
113,391.10,4.877
114,391.19,4.877
115,391.27,4.877
116,391.35,4.877
117,391.44,4.877
118,391.52,4.877
119,391.60,4.877
120,391.69,4.877
121,391.77,4.877
122,391.86,4.877
123,391.94,4.877
124,392.02,4.877
125,392.10,4.877
126,392.18,4.877
127,392.26,4.877
128,392.35,4.877
129,392.43,4.877
130,392.52,4.877
131,392.60,4.877
132,392.70,4.877
133,392.78,4.877
134,392.86,4.877
135,392.94,4.877
136,393.02,4.877
137,393.09,4.877
138,393.18,4.877
139,393.27,4.877
140,393.35,4.877
141,393.44,4.877
142,393.52,4.877
143,393.61,4.877
144,393.69,4.877
145,393.78,4.877
146,393.85,4.877
147,393.93,4.877
148,394.01,4.877
149,394.10,4.877
150,394.19,4.877
151,394.28,4.877
152,394.36,4.877
153,394.44,4.877
154,394.52,4.877
155,394.60,4.877
156,394.69,4.877
157,394.77,4.877
158,394.86,4.877
159,394.94,4.877
160,395.02,4.877
161,395.11,4.877
162,395.19,4.877
163,395.27,4.877
164,395.35,4.877
165,395.44,4.877
166,395.53,4.877
167,395.61,4.877
168,395.69,4.877
169,395.77,4.877
170,395.86,4.877
171,395.94,4.877
172,396.03,4.877
173,396.11,4.877
174,396.19,4.877
175,396.28,4.877
176,396.36,4.877
177,396.44,4.877
178,396.52,4.877
179,396.61,4.877
180,396.70,4.877
181,396.78,4.877
182,396.86,4.877
183,396.94,4.877
184,397.02,4.877
185,397.11,4.877
186,397.20,4.877
187,397.28,4.877
188,397.37,4.877
189,397.45,4.876
190,397.53,4.876
191,397.61,4.876
192,397.69,4.876
193,397.77,4.876
194,397.86,4.876
195,397.95,4.876
196,398.03,4.876
197,398.11,4.876
198,398.19,4.876
199,398.28,4.876
200,398.37,4.876
201,398.45,4.876
202,398.54,4.876
203,398.61,4.876
204,398.70,4.876
205,398.78,4.876
206,398.86,4.876
207,398.94,4.876
208,399.03,4.876
209,399.11,4.876
210,399.20,4.876
211,399.28,4.876
212,399.36,4.876
213,399.45,4.876
214,399.54,4.876
215,399.62,4.876
216,399.70,4.876
217,399.79,4.876
218,399.87,4.876
219,399.95,4.876
220,400.03,4.876
221,400.11,4.876
222,400.20,4.876
223,400.29,4.876
224,400.38,4.876
225,400.46,4.876
226,400.54,4.876
227,400.62,4.876
228,400.70,4.876
229,400.78,4.876
230,400.87,4.876
231,400.96,4.876
232,401.05,4.876
233,401.13,4.876
234,401.21,4.876
235,401.29,4.876
236,401.37,4.876
237,401.45,4.876
238,401.54,4.876
239,401.63,4.876
240,401.72,4.876
241,401.80,4.876
242,401.88,4.876
243,401.96,4.876
244,402.04,4.876
245,402.12,4.876
246,402.21,4.876
247,402.29,4.875
248,402.37,4.875
249,402.46,4.875
250,402.54,4.875
251,402.62,4.875
252,402.71,4.875
253,402.79,4.875
254,402.88,4.875
255,402.96,4.875
256,403.05,4.875
257,403.13,4.875
258,403.21,4.875
259,403.30,4.875
260,403.38,4.875
261,403.46,4.875
262,403.54,4.875
263,403.63,4.875
264,403.72,4.875
265,403.80,4.875
266,403.89,4.875
267,403.97,4.875
268,404.05,4.875
269,404.13,4.875
270,404.21,4.875
271,404.29,4.875
272,404.38,4.875
273,404.47,4.875
274,404.56,4.875
275,404.64,4.875
276,404.72,4.875
277,404.79,4.875
278,404.88,4.875
279,404.96,4.875
280,405.05,4.875
281,405.14,4.875
282,405.22,4.875
283,405.30,4.875
284,405.38,4.875
285,405.46,4.875
286,405.55,4.875
287,405.63,4.875
288,405.72,4.875
289,405.81,4.875
290,405.89,4.875
291,405.97,4.875
292,406.05,4.875
293,406.13,4.875
294,406.22,4.875
295,406.31,4.875
296,406.39,4.875
297,406.48,4.875
298,406.56,4.875
299,406.64,4.875
300,406.72,4.875
301,406.81,4.875
302,406.89,4.875
303,406.97,4.875
304,407.06,4.875
305,407.14,4.875
306,407.23,4.875
307,407.31,4.875
308,407.39,4.875
309,407.48,4.874
310,407.56,4.874
311,407.64,4.874
312,407.72,4.874
313,407.81,4.874
314,407.89,4.874
315,407.98,4.874
316,408.06,4.874
317,408.15,4.874
318,408.23,4.874
319,408.31,4.874
320,408.40,4.874
321,408.48,4.874
322,408.56,4.874
323,408.65,4.874
324,408.73,4.874
325,408.81,4.874
326,408.89,4.874
327,408.98,4.874
328,409.06,4.874
329,409.15,4.874
330,409.23,4.874
331,409.32,4.874
332,409.39,4.874
333,409.48,4.874
334,409.56,4.874
335,409.64,4.874
336,409.73,4.874
337,409.82,4.874
338,409.90,4.874
339,409.98,4.874
340,410.07,4.874
341,410.15,4.874
342,410.23,4.874
343,410.32,4.874
344,410.40,4.874
345,410.49,4.874
346,410.57,4.874
347,410.65,4.874
348,410.73,4.874
349,410.82,4.874
350,410.91,4.874
351,410.99,4.874
352,411.07,4.874
353,411.15,4.874
354,411.23,4.874
355,411.32,4.873
356,411.40,4.873
357,411.49,4.873
358,411.57,4.873
359,411.66,4.873
360,411.74,4.873
361,411.83,4.873
362,411.91,4.873
363,411.99,4.873
364,412.07,4.873
365,412.16,4.873
366,412.24,4.873
367,412.32,4.873
368,412.40,4.873
369,412.49,4.873
370,412.57,4.873
371,412.66,4.873
372,412.74,4.873
373,412.83,4.873
374,412.91,4.873
375,413.00,4.873
376,413.08,4.873
377,413.17,4.873
378,413.25,4.873
379,413.33,4.873
380,413.41,4.873
381,413.49,4.873
382,413.57,4.873
383,413.66,4.873
384,413.75,4.873
385,413.83,4.873
386,413.91,4.873
387,413.99,4.873
388,414.08,4.873
389,414.16,4.873
390,414.25,4.873
391,414.33,4.873
392,414.42,4.873
393,414.49,4.873
394,414.58,4.873
395,414.66,4.872
396,414.75,4.872
397,414.83,4.872
398,414.91,4.872
399,415.00,4.872
400,415.09,4.872
401,415.17,4.872
402,415.26,4.872
403,415.34,4.872
404,415.42,4.872
405,415.50,4.872
406,415.58,4.872
407,415.66,4.872
408,415.75,4.872
409,415.84,4.872
410,415.92,4.872
411,416.01,4.872
412,416.09,4.872
413,416.17,4.872
414,416.25,4.872
415,416.34,4.872
416,416.42,4.872
417,416.50,4.872
418,416.59,4.872
419,416.67,4.872
420,416.75,4.872
421,416.84,4.872
422,416.92,4.872
423,417.01,4.872
424,417.09,4.872
425,417.17,4.872
426,417.26,4.871
427,417.34,4.871
428,417.43,4.871
429,417.51,4.871
430,417.59,4.871
431,417.67,4.871
432,417.75,4.871
433,417.84,4.871
434,417.93,4.871
435,418.01,4.871
436,418.10,4.871
437,418.17,4.871
438,418.26,4.871
439,418.34,4.871
440,418.43,4.871
441,418.51,4.871
442,418.60,4.871
443,418.68,4.871
444,418.76,4.871
445,418.85,4.871
446,418.93,4.871
447,419.01,4.871
448,419.09,4.871
449,419.18,4.871
450,419.26,4.871
451,419.35,4.871
452,419.43,4.871
453,419.52,4.871
454,419.60,4.871
455,419.68,4.871
456,419.76,4.871
457,419.85,4.871
458,419.93,4.871
459,420.02,4.870
460,420.10,4.870
461,420.18,4.870
462,420.27,4.870
463,420.35,4.870
464,420.43,4.870
465,420.52,4.870
466,420.60,4.870
467,420.68,4.870
468,420.77,4.870
469,420.85,4.870
