Time (s),Mass (g),HRR (kW/m2)
0,83.2,0.8
5,83.8,2.0
10,84.1,0.6
15,84.1,0.7
20,84.0,-0.3
25,84.0,-1.3
30,83.9,-1.2
35,84.0,0.7
40,83.8,2.0
45,83.9,-0.2
50,83.8,-0.8
55,83.7,1.6
60,84.0,0.7
65,83.6,0.7
70,83.5,1.9
75,83.4,3.8
80,83.4,3.7
85,83.2,1.1
90,83.2,3.1
95,83.1,3.3
100,83.1,-2.9
105,83.3,50.6
110,82.7,206.7
115,81.8,190.3
120,81.5,155.3
125,81.0,129.6
130,80.7,115.1
135,80.3,105.9
140,80.0,98.2
145,79.8,88.3
150,79.5,85.3
155,79.1,81.9
160,78.9,75.2
165,78.7,72.3
170,78.4,72.6
175,78.1,67.3
180,78.0,65.7
185,77.7,66.4
190,77.5,61.6
195,77.3,59.5
200,77.1,59.7
205,76.9,57.1
210,76.7,57.6
215,76.5,58.7
220,76.3,58.4
225,76.1,55.9
230,76.0,56.7
235,75.7,56.3
240,75.5,55.2
245,75.3,56.0
250,75.1,55.0
255,75.0,55.8
260,74.8,54.0
265,74.6,54.3
270,74.5,51.9
275,74.3,50.6
280,74.1,52.2
285,74.0,52.3
290,73.7,53.1
295,73.5,51.7
300,73.3,53.2
305,73.2,55.1
310,73.0,54.0
315,72.9,52.0
320,72.6,52.1
325,72.5,52.7
330,72.2,50.3
335,72.1,50.7
340,71.9,50.1
345,71.8,51.1
350,71.5,52.8
355,71.3,51.0
360,71.2,52.2
365,71.0,52.5
370,70.8,51.8
375,70.6,53.3
380,70.4,50.5
385,70.2,48.7
390,70.0,49.9
395,69.9,51.5
400,69.7,50.5
405,69.6,48.8
410,69.3,50.8
415,69.2,49.3
420,69.0,48.0
425,68.8,47.1
430,68.6,48.9
435,68.5,49.8
440,68.3,47.4
445,68.1,45.9
450,68.0,47.8
455,67.8,48.3
460,67.5,48.0
465,67.3,47.3
470,67.1,47.3
475,67.0,45.6
480,66.9,45.4
485,66.7,45.7
490,66.5,47.1
495,66.3,46.4
500,66.1,48.4
505,66.0,45.4
510,65.7,45.6
515,65.6,46.4
520,65.4,45.3
525,65.2,46.6
530,65.0,49.8
535,64.9,49.3
540,64.6,50.6
545,64.4,48.8
550,64.2,47.5
555,64.1,47.2
560,63.9,48.7
565,63.7,48.1
570,63.5,48.7
575,63.3,49.5
580,63.2,47.6
585,63.0,47.6
590,62.8,46.4
595,62.6,46.9
600,62.4,46.5
605,62.3,45.8
610,62.1,46.7
615,61.9,47.6
620,61.7,48.4
625,61.5,48.9
630,61.3,49.3
635,61.2,49.3
640,61.0,50.2
645,60.8,50.1
650,60.6,49.6
655,60.4,49.2
660,60.2,48.6
665,60.1,47.1
670,59.9,47.7
675,59.7,48.3
680,59.5,49.2
685,59.3,49.2
690,59.1,48.6
695,58.9,50.4
700,58.7,51.6
705,58.6,50.6
710,58.4,50.4
715,58.2,50.3
720,58.1,51.0
725,57.9,52.1
730,57.7,51.8
735,57.5,51.6
740,57.3,52.6
745,57.1,52.5
750,56.9,52.9
755,56.8,54.7
760,56.6,53.1
765,56.4,54.8
770,56.2,54.5
775,56.0,55.6
780,55.9,56.1
785,55.7,54.4
790,55.4,56.5
795,55.3,59.7
800,55.2,59.1
805,55.0,57.7
810,54.8,57.8
815,54.6,56.7
820,54.4,56.7
825,54.2,57.9
830,54.0,58.0
835,53.9,58.9
840,53.7,59.5
845,53.5,57.4
850,53.3,58.9
855,53.1,60.5
