Time (s),Temperature (K),Weight (mg)
0,383.15,4.615
1,383.15,4.615
2,383.15,4.615
3,383.15,4.615
4,383.15,4.615
5,383.15,4.615
6,383.15,4.615
7,383.15,4.615
8,383.15,4.615
9,383.16,4.615
10,383.18,4.615
11,383.21,4.615
12,383.26,4.615
13,383.32,4.615
14,383.38,4.615
15,383.45,4.615
16,383.51,4.615
17,383.58,4.615
18,383.65,4.615
19,383.72,4.615
20,383.79,4.616
21,383.86,4.616
22,383.93,4.616
23,383.99,4.616
24,384.06,4.616
25,384.13,4.616
26,384.20,4.616
27,384.27,4.616
28,384.34,4.616
29,384.42,4.616
30,384.49,4.616
31,384.56,4.616
32,384.64,4.616
33,384.71,4.616
34,384.79,4.616
35,384.86,4.616
36,384.94,4.616
37,385.00,4.616
38,385.08,4.616
39,385.16,4.616
40,385.24,4.616
41,385.31,4.616
42,385.39,4.616
43,385.46,4.616
44,385.54,4.616
45,385.61,4.616
46,385.70,4.616
47,385.77,4.616
48,385.84,4.616
49,385.92,4.616
50,386.00,4.616
51,386.08,4.616
52,386.16,4.616
53,386.24,4.616
54,386.32,4.616
55,386.40,4.616
56,386.48,4.616
57,386.56,4.616
58,386.64,4.616
59,386.71,4.616
60,386.79,4.616
61,386.87,4.616
62,386.95,4.616
63,387.04,4.616
64,387.12,4.616
65,387.20,4.616
66,387.28,4.616
67,387.36,4.616
68,387.43,4.616
69,387.51,4.616
70,387.60,4.616
71,387.68,4.616
72,387.76,4.616
73,387.84,4.616
74,387.92,4.616
75,388.00,4.616
76,388.09,4.616
77,388.17,4.616
78,388.25,4.616
79,388.34,4.616
80,388.41,4.616
81,388.49,4.616
82,388.57,4.616
83,388.66,4.616
84,388.74,4.616
85,388.83,4.616
86,388.90,4.616
87,388.98,4.616
88,389.07,4.616
89,389.15,4.616
90,389.23,4.616
91,389.32,4.616
92,389.40,4.616
93,389.48,4.616
94,389.56,4.616
95,389.65,4.616
96,389.73,4.616
97,389.81,4.616
98,389.89,4.616
99,389.97,4.616
100,390.06,4.616
101,390.14,4.616
102,390.23,4.616
103,390.31,4.616
104,390.39,4.616
105,390.48,4.616
106,390.56,4.616
107,390.64,4.616
108,390.72,4.616
109,390.80,4.616
110,390.88,4.616
111,390.97,4.616
112,391.06,4.616
113,391.14,4.616
114,391.22,4.616
115,391.31,4.616
116,391.38,4.616
117,391.47,4.616
118,391.55,4.616
119,391.63,4.616
120,391.72,4.616
121,391.80,4.616
122,391.89,4.616
123,391.97,4.616
124,392.05,4.616
125,392.13,4.616
126,392.22,4.616
127,392.30,4.616
128,392.39,4.616
129,392.47,4.616
130,392.56,4.616
131,392.64,4.616
132,392.72,4.616
133,392.80,4.616
134,392.88,4.616
135,392.96,4.616
136,393.05,4.616
137,393.13,4.616
138,393.22,4.616
139,393.30,4.616
140,393.39,4.616
141,393.47,4.616
142,393.56,4.616
143,393.64,4.616
144,393.72,4.615
145,393.80,4.615
146,393.89,4.615
147,393.97,4.615
148,394.05,4.615
149,394.14,4.615
150,394.22,4.615
151,394.31,4.615
152,394.39,4.615
153,394.48,4.615
154,394.55,4.615
155,394.64,4.615
156,394.71,4.615
157,394.80,4.615
158,394.89,4.615
159,394.97,4.615
160,395.06,4.615
161,395.15,4.615
162,395.23,4.615
163,395.30,4.615
164,395.39,4.615
165,395.47,4.615
166,395.56,4.615
167,395.65,4.615
168,395.73,4.615
