Time (s),Temperature (C),HRR (W/g)
0,98.346,-1.737
0.5,98.419,-1.563
1,98.554,-1.646
1.5,98.605,-1.997
2,98.706,-2.784
2.5,98.809,-3.202
3,98.895,-3.317
3.5,99.018,-3.522
4,99.094,-3.613
4.5,99.208,-3.958
5,99.271,-3.85
5.5,99.361,-4.461
6,99.468,-4.345
6.5,99.559,-4.383
7,99.631,-4.356
7.5,99.756,-4.626
8,99.807,-4.152
8.5,99.913,-4.032
9,99.994,-3.391
9.5,100.046,-3.7
10,100.109,-3.313
10.5,100.22,-3.127
11,100.282,-2.801
11.5,100.404,-2.592
12,100.495,-2.427
12.5,100.567,-2.671
13,100.655,-2.605
13.5,100.742,-2.618
14,100.813,-2.289
14.5,100.909,-2.098
15,100.994,-2.023
15.5,101.06,-1.563
16,101.122,-1.551
16.5,101.222,-1.644
17,101.317,-1.337
17.5,101.418,-0.779
18,101.517,-0.575
18.5,101.592,-0.625
19,101.68,-0.248
19.5,101.85,-0.462
20,101.896,-0.52
20.5,101.999,-0.268
21,102.121,-0.627
21.5,102.219,-0.756
22,102.325,-0.489
22.5,102.461,-0.495
23,102.568,-0.297
23.5,102.676,-0.269
24,102.774,0.086
24.5,102.923,-0.256
25,103.004,-0.03
25.5,103.104,0.055
26,103.284,0.352
26.5,103.381,0.251
27,103.503,0.494
27.5,103.597,0.691
28,103.752,0.907
28.5,103.903,1.206
29,104.019,1.249
29.5,104.15,1.269
30,104.32,1.323
30.5,104.448,1.151
31,104.602,1.132
31.5,104.737,1.296
32,104.877,1.125
32.5,105.064,1.291
33,105.22,1.05
33.5,105.365,1.28
34,105.503,1.231
34.5,105.672,1.126
35,105.808,1.171
35.5,105.987,1.387
36,106.113,1.728
36.5,106.337,1.592
37,106.495,1.649
37.5,106.624,1.785
38,106.812,1.961
38.5,107.003,1.621
39,107.146,1.737
39.5,107.36,1.874
40,107.528,1.933
40.5,107.74,1.771
41,107.939,1.697
41.5,108.09,2.126
42,108.312,2.159
42.5,108.497,2.152
43,108.676,2.511
43.5,108.894,2.232
44,109.027,2.299
44.5,109.301,2.312
45,109.442,2.411
45.5,109.65,1.947
46,109.884,2.253
46.5,110.086,2.158
47,110.306,2.265
47.5,110.543,2.273
48,110.761,2.361
48.5,110.983,2.234
49,111.231,2.32
49.5,111.431,2.376
50,111.623,2.526
50.5,111.844,2.435
51,112.063,2.748
51.5,112.333,3.055
52,112.556,2.485
52.5,112.785,2.949
53,113.019,2.589
53.5,113.304,2.743
54,113.513,3.066
54.5,113.781,2.556
55,114.053,2.889
55.5,114.308,2.963
56,114.546,3.141
56.5,114.83,3.202
57,115.076,3.131
57.5,115.304,3.236
58,115.572,3.221
58.5,115.851,3.392
59,116.099,3.779
59.5,116.366,3.937
60,116.605,3.686
60.5,116.94,3.508
61,117.212,3.764
61.5,117.472,3.625
62,117.726,3.589
62.5,118.033,3.818
63,118.34,3.679
63.5,118.628,4.028
64,118.876,3.968
64.5,119.166,3.832
65,119.476,3.972
65.5,119.749,3.761
66,120.072,3.469
66.5,120.37,3.646
67,120.654,3.641
67.5,121.018,4.169
68,121.272,3.936
68.5,121.611,4.098
69,121.866,3.968
69.5,122.206,4.095
70,122.486,4.186
70.5,122.871,4.206
71,123.132,4.054
71.5,123.44,3.924
72,123.801,3.843
72.5,124.103,4.418
73,124.466,4.096
73.5,124.811,4.233
74,125.116,4.397
74.5,125.425,4.394
75,125.752,4.476
75.5,126.107,4.794
76,126.481,4.787
76.5,126.775,4.727
77,127.107,4.817
77.5,127.439,4.642
78,127.824,4.877
78.5,128.168,4.711
79,128.495,4.657
79.5,128.918,4.776
80,129.288,4.827
80.5,129.624,5.058
81,130.016,4.857
81.5,130.301,4.948
82,130.649,5.095
82.5,130.972,5.177
83,131.33,5.027
83.5,131.743,5.027
84,132.164,4.992
84.5,132.444,5.014
85,132.841,5.167
85.5,133.183,4.806
86,133.624,5.191
86.5,133.962,5.011
87,134.313,5.062
87.5,134.676,5.421
88,135.052,5.251
88.5,135.446,5.42
89,135.772,5.409
89.5,136.192,5.443
90,136.558,5.394
90.5,136.943,5.629
91,137.352,5.643
91.5,137.773,5.762
92,138.114,5.59
92.5,138.517,5.642
93,138.906,5.377
93.5,139.289,5.708
94,139.732,5.54
94.5,140.032,5.484
95,140.484,5.888
95.5,140.875,5.874
96,141.287,6.029
96.5,141.682,5.82
97,142.064,5.727
97.5,142.506,5.89
98,142.876,5.915
98.5,143.304,6.163
99,143.649,5.921
99.5,144.12,5.627
100,144.578,6.052
100.5,144.944,6.172
101,145.345,6.221
101.5,145.764,5.914
102,146.185,6.189
102.5,146.562,6.203
103,147.018,6.244
103.5,147.465,6.385
104,147.883,6.164
104.5,148.242,6.087
105,148.715,6.282
105.5,149.102,6.313
106,149.53,6.543
106.5,149.975,6.291
107,150.429,6.477
107.5,150.831,6.941
108,151.305,6.948
108.5,151.7,6.997
109,152.146,6.902
109.5,152.576,6.988
110,152.98,6.857
110.5,153.418,7.081
111,153.833,6.774
111.5,154.295,6.754
112,154.776,7.063
112.5,155.167,6.869
113,155.597,7.136
113.5,156.063,7.517
114,156.51,7.475
114.5,156.919,7.482
115,157.358,7.514
115.5,157.814,7.662
116,158.25,7.169
116.5,158.719,7.366
117,159.142,7.569
117.5,159.59,7.687
118,160.023,7.825
118.5,160.495,7.774
119,160.902,8.033
119.5,161.384,7.861
120,161.83,8.254
120.5,162.268,8.266
121,162.756,8.425
121.5,163.201,8.451
122,163.63,8.649
122.5,164.079,8.769
123,164.603,8.789
123.5,165.058,8.778
124,165.509,8.795
124.5,165.993,8.58
125,166.402,8.851
125.5,166.902,8.749
126,167.354,9.089
126.5,167.858,9.186
127,168.28,9.235
127.5,168.765,9.876
128,169.221,9.75
128.5,169.709,9.917
129,170.215,10.06
129.5,170.627,10.091
130,171.184,10.082
130.5,171.604,10.467
131,172.125,10.68
131.5,172.585,10.953
132,173.036,10.782
132.5,173.56,10.904
133,174.002,11.019
133.5,174.487,10.749
134,174.989,11.035
134.5,175.453,11.366
135,175.937,11.186
135.5,176.43,11.063
136,176.908,11.266
136.5,177.39,11.858
137,177.895,12.066
137.5,178.428,11.986
138,178.908,12.356
138.5,179.374,12.598
139,179.874,12.509
139.5,180.378,12.657
140,180.87,13.012
140.5,181.351,13.081
141,181.841,13.343
141.5,182.333,13.531
142,182.817,12.981
142.5,183.286,13.104
143,183.794,13.581
143.5,184.286,13.611
144,184.828,13.892
144.5,185.284,13.864
145,185.802,13.846
145.5,186.283,14.109
146,186.818,14.173
146.5,187.296,14.311
147,187.816,14.709
147.5,188.292,14.792
148,188.811,15.256
148.5,189.284,15.636
149,189.787,15.79
149.5,190.339,15.961
150,190.823,15.876
150.5,191.37,16.491
151,191.851,16.366
151.5,192.387,16.669
152,192.922,16.968
152.5,193.368,17.148
153,193.929,17.606
153.5,194.405,17.64
154,194.909,17.9
154.5,195.447,17.941
155,195.947,17.947
155.5,196.457,18.039
156,196.974,18.124
156.5,197.483,18.453
157,197.996,18.881
157.5,198.458,18.932
158,199.006,18.652
158.5,199.5,18.878
159,200.033,19.131
159.5,200.545,18.535
160,201.041,18.57
160.5,201.559,18.983
161,202.063,18.979
161.5,202.645,19.015
162,203.107,19.699
162.5,203.611,19.702
163,204.106,19.639
163.5,204.668,19.99
164,205.146,20.063
164.5,205.663,19.931
165,206.189,19.887
165.5,206.702,20.319
166,207.185,20.403
166.5,207.749,20.536
167,208.228,20.527
167.5,208.766,20.485
168,209.296,20.714
168.5,209.804,20.875
169,210.367,20.9
169.5,210.853,20.777
170,211.356,21.134
170.5,211.892,20.838
171,212.412,20.947
171.5,212.931,21.337
172,213.444,21.02
172.5,213.954,21.185
173,214.51,21.103
173.5,215.035,21.171
174,215.563,21.424
174.5,216.02,21.423
175,216.596,21.544
175.5,217.105,21.366
176,217.638,21.897
176.5,218.146,21.391
177,218.674,21.818
177.5,219.153,22.047
178,219.746,21.916
178.5,220.231,21.709
179,220.759,22.143
179.5,221.265,22.049
180,221.823,21.731
180.5,222.318,22.051
181,222.862,21.995
181.5,223.356,22.259
182,223.872,21.941
182.5,224.357,21.913
183,224.89,22.258
183.5,225.468,22.126
184,225.942,22.245
184.5,226.48,22.445
185,226.963,22.312
