Time,T_back
[s],[K]
0,293.6
0.5,293.6
1,293.6
1.5,293.6
2,293.6
2.5,293.6
3,293.6
3.5,293.6
4,293.6
4.5,293.6
5,293.6
5.5,293.6
6,293.6
6.5,293.6
7,293.6
7.5,293.6
8,293.6
8.5,293.6
9,293.6
9.5,293.6
10,293.6
10.5,293.6
11,293.6
11.5,293.6
12,293.6
12.5,293.6
13,293.6
13.5,293.6
14,293.6
14.5,293.6
15,293.6
15.5,293.6
16,293.6
16.5,293.6
17,293.6
17.5,293.6
18,293.6
18.5,293.6
19,293.6
19.5,293.6
20,293.6
20.5,293.6
21,293.6
21.5,293.6
22,293.7
22.5,293.7
23,293.7
23.5,293.7
24,293.7
24.5,293.7
25,293.7
25.5,293.7
26,293.8
26.5,293.8
27,293.8
27.5,293.8
28,293.9
28.5,293.9
29,293.9
29.5,294.0
30,294.0
30.5,294.1
31,294.1
31.5,294.2
32,294.2
32.5,294.3
33,294.3
33.5,294.4
34,294.4
34.5,294.5
35,294.6
35.5,294.7
36,294.7
36.5,294.8
37,294.9
37.5,295.0
38,295.1
38.5,295.2
39,295.3
39.5,295.4
40,295.5
40.5,295.7
41,295.8
41.5,295.9
42,296.0
42.5,296.2
43,296.3
43.5,296.5
44,296.6
44.5,296.8
45,296.9
45.5,297.1
46,297.3
46.5,297.4
47,297.6
47.5,297.8
48,298.0
48.5,298.2
49,298.4
49.5,298.6
50,298.8
50.5,299.0
51,299.2
51.5,299.4
52,299.6
52.5,299.9
53,300.1
53.5,300.3
54,300.6
54.5,300.8
55,301.1
55.5,301.3
56,301.6
56.5,301.9
57,302.1
57.5,302.4
58,302.7
58.5,303.0
59,303.3
59.5,303.5
60,303.8
60.5,304.1
61,304.4
61.5,304.8
62,305.1
62.5,305.4
63,305.7
63.5,306.0
64,306.4
64.5,306.7
65,307.0
65.5,307.4
66,307.7
66.5,308.1
67,308.4
67.5,308.8
68,309.1
68.5,309.5
69,309.9
69.5,310.2
70,310.6
70.5,311.0
71,311.4
71.5,311.8
72,312.2
72.5,312.5
73,312.9
73.5,313.3
74,313.7
74.5,314.1
75,314.5
75.5,315.0
76,315.4
76.5,315.8
77,316.2
77.5,316.6
78,317.1
78.5,317.5
79,317.9
79.5,318.3
80,318.8
80.5,319.2
81,319.7
81.5,320.1
82,320.6
82.5,321.0
83,321.5
83.5,321.9
84,322.4
84.5,322.8
85,323.3
85.5,323.8
86,324.2
86.5,324.7
87,325.2
87.5,325.6
88,326.1
88.5,326.6
89,327.1
89.5,327.5
90,328.0
90.5,328.5
91,329.0
91.5,329.5
92,330.0
92.5,330.4
93,330.9
93.5,331.4
94,331.9
94.5,332.4
95,332.9
95.5,333.4
96,333.9
96.5,334.4
97,334.9
97.5,335.4
98,335.9
98.5,336.5
99,337.0
99.5,337.5
100,338.0
100.5,338.5
101,339.0
101.5,339.5
102,340.0
102.5,340.6
103,341.1
103.5,341.6
104,342.1
104.5,342.6
105,343.2
105.5,343.7
106,344.2
106.5,344.7
107,345.3
107.5,345.8
108,346.3
108.5,346.8
109,347.4
109.5,347.9
110,348.4
110.5,349.0
111,349.5
111.5,350.0
112,350.6
112.5,351.1
113,351.6
113.5,352.2
114,352.7
114.5,353.2
115,353.8
115.5,354.3
116,354.8
116.5,355.4
117,355.9
117.5,356.5
118,357.0
118.5,357.5
119,358.1
119.5,358.6
120,359.2
120.5,359.7
121,360.3
121.5,360.8
122,361.3
122.5,361.9
123,362.4
123.5,363.0
124,363.5
124.5,364.1
125,364.6
125.5,365.1
126,365.7
126.5,366.2
127,366.8
127.5,367.3
128,367.9
128.5,368.4
129,369.0
129.5,369.5
130,370.1
130.5,370.6
131,371.1
131.5,371.7
132,372.2
132.5,372.8
133,373.3
133.5,373.9
134,374.4
134.5,375.0
135,375.5
135.5,376.1
136,376.6
136.5,377.2
137,377.7
137.5,378.3
138,378.8
138.5,379.4
139,379.9
139.5,380.5
140,381.0
140.5,381.6
141,382.1
141.5,382.7
142,383.2
142.5,383.7
143,384.3
143.5,384.8
144,385.4
144.5,385.9
145,386.5
145.5,387.0
146,387.6
146.5,388.1
147,388.7
147.5,389.2
148,389.8
148.5,390.3
149,390.9
149.5,391.4
150,392.0
150.5,392.5
151,393.1
151.5,393.6
152,394.2
152.5,394.7
153,395.2
153.5,395.8
154,396.3
154.5,396.9
155,397.4
155.5,398.0
156,398.5
156.5,399.1
157,399.6
157.5,400.2
158,400.7
158.5,401.3
159,401.8
159.5,402.4
160,402.9
160.5,403.4
161,404.0
161.5,404.5
162,405.1
162.5,405.6
163,406.2
163.5,406.7
164,407.3
164.5,407.8
165,408.3
165.5,408.9
166,409.4
166.5,410.0
167,410.5
167.5,411.1
168,411.6
168.5,412.2
169,412.7
169.5,413.2
170,413.8
170.5,414.3
171,414.9
171.5,415.4
172,415.9
172.5,416.5
173,417.0
173.5,417.6
174,418.1
174.5,418.7
175,419.2
175.5,419.7
176,420.3
176.5,420.8
177,421.4
177.5,421.9
178,422.4
178.5,423.0
179,423.5
179.5,424.1
180,424.6
180.5,425.1
181,425.7
181.5,426.2
182,426.7
182.5,427.3
183,427.8
183.5,428.4
184,428.9
184.5,429.4
185,430.0
185.5,430.5
186,431.0
186.5,431.6
187,432.1
187.5,432.7
188,433.2
188.5,433.7
189,434.3
189.5,434.8
