Time,T_back
[s],[K]
0,292.4
0.5,292.4
1,292.4
1.5,292.4
2,292.4
2.5,292.4
3,292.4
3.5,292.4
4,292.4
4.5,292.4
5,292.4
5.5,292.4
6,292.4
6.5,292.4
7,292.4
7.5,292.4
8,292.4
8.5,292.4
9,292.4
9.5,292.4
10,292.4
10.5,292.4
11,292.4
11.5,292.4
12,292.4
12.5,292.4
13,292.4
13.5,292.4
14,292.4
14.5,292.4
15,292.4
15.5,292.4
16,292.4
16.5,292.4
17,292.4
17.5,292.4
18,292.4
18.5,292.4
19,292.4
19.5,292.4
20,292.4
20.5,292.4
21,292.4
21.5,292.4
22,292.4
22.5,292.4
23,292.4
23.5,292.4
24,292.4
24.5,292.4
25,292.5
25.5,292.5
26,292.5
26.5,292.5
27,292.5
27.5,292.6
28,292.6
28.5,292.6
29,292.6
29.5,292.7
30,292.7
30.5,292.7
31,292.8
31.5,292.8
32,292.9
32.5,292.9
33,293.0
33.5,293.0
34,293.1
34.5,293.1
35,293.2
35.5,293.3
36,293.3
36.5,293.4
37,293.5
37.5,293.6
38,293.7
38.5,293.7
39,293.8
39.5,293.9
40,294.0
40.5,294.1
41,294.2
41.5,294.4
42,294.5
42.5,294.6
43,294.7
43.5,294.9
44,295.0
44.5,295.1
45,295.3
45.5,295.4
46,295.6
46.5,295.7
47,295.9
47.5,296.1
48,296.2
48.5,296.4
49,296.6
49.5,296.8
50,296.9
50.5,297.1
51,297.3
51.5,297.5
52,297.7
52.5,297.9
53,298.2
53.5,298.4
54,298.6
54.5,298.8
55,299.1
55.5,299.3
56,299.5
56.5,299.8
57,300.0
57.5,300.3
58,300.5
58.5,300.8
59,301.1
59.5,301.3
60,301.6
60.5,301.9
61,302.2
61.5,302.5
62,302.7
62.5,303.0
63,303.3
63.5,303.6
64,303.9
64.5,304.3
65,304.6
65.5,304.9
66,305.2
66.5,305.5
67,305.9
67.5,306.2
68,306.5
68.5,306.9
69,307.2
69.5,307.6
70,307.9
70.5,308.3
71,308.6
71.5,309.0
72,309.4
72.5,309.7
73,310.1
73.5,310.5
74,310.8
74.5,311.2
75,311.6
75.5,312.0
76,312.4
76.5,312.8
77,313.2
77.5,313.6
78,314.0
78.5,314.4
79,314.8
79.5,315.2
80,315.6
80.5,316.0
81,316.5
81.5,316.9
82,317.3
82.5,317.7
83,318.2
83.5,318.6
84,319.0
84.5,319.5
85,319.9
85.5,320.3
86,320.8
86.5,321.2
87,321.7
87.5,322.1
88,322.6
88.5,323.0
89,323.5
89.5,323.9
90,324.4
90.5,324.9
91,325.3
91.5,325.8
92,326.3
92.5,326.7
93,327.2
93.5,327.7
94,328.1
94.5,328.6
95,329.1
95.5,329.6
96,330.1
96.5,330.5
97,331.0
97.5,331.5
98,332.0
98.5,332.5
99,333.0
99.5,333.5
100,334.0
100.5,334.4
101,334.9
101.5,335.4
102,335.9
102.5,336.4
103,336.9
103.5,337.4
104,337.9
104.5,338.4
105,338.9
105.5,339.4
106,339.9
106.5,340.5
107,341.0
107.5,341.5
108,342.0
108.5,342.5
109,343.0
109.5,343.5
110,344.0
110.5,344.5
111,345.0
111.5,345.6
112,346.1
112.5,346.6
113,347.1
113.5,347.6
114,348.1
114.5,348.7
115,349.2
115.5,349.7
116,350.2
116.5,350.8
117,351.3
117.5,351.8
118,352.3
118.5,352.8
119,353.4
119.5,353.9
120,354.4
120.5,354.9
121,355.5
121.5,356.0
122,356.5
122.5,357.0
123,357.6
123.5,358.1
124,358.6
124.5,359.2
125,359.7
125.5,360.2
126,360.7
126.5,361.3
127,361.8
127.5,362.3
128,362.9
128.5,363.4
129,363.9
129.5,364.5
130,365.0
130.5,365.5
131,366.1
131.5,366.6
132,367.1
132.5,367.7
133,368.2
133.5,368.7
134,369.3
134.5,369.8
135,370.3
135.5,370.9
136,371.4
136.5,371.9
137,372.5
137.5,373.0
138,373.5
138.5,374.1
139,374.6
139.5,375.1
140,375.7
140.5,376.2
141,376.7
141.5,377.3
142,377.8
142.5,378.3
143,378.9
143.5,379.4
144,380.0
144.5,380.5
145,381.0
145.5,381.6
146,382.1
146.5,382.6
147,383.2
147.5,383.7
148,384.2
148.5,384.8
149,385.3
149.5,385.8
150,386.4
150.5,386.9
151,387.4
151.5,388.0
152,388.5
152.5,389.1
153,389.6
153.5,390.1
154,390.7
154.5,391.2
155,391.7
155.5,392.3
156,392.8
156.5,393.3
157,393.9
157.5,394.4
158,394.9
158.5,395.5
159,396.0
159.5,396.5
160,397.1
160.5,397.6
161,398.1
161.5,398.7
162,399.2
162.5,399.8
163,400.3
163.5,400.8
164,401.4
164.5,401.9
165,402.4
165.5,403.0
166,403.5
166.5,404.0
167,404.5
167.5,405.1
168,405.6
168.5,406.1
169,406.7
169.5,407.2
170,407.7
170.5,408.3
171,408.8
171.5,409.3
172,409.9
172.5,410.4
173,410.9
173.5,411.5
174,412.0
174.5,412.5
175,413.1
175.5,413.6
176,414.1
176.5,414.6
177,415.2
177.5,415.7
178,416.2
178.5,416.8
179,417.3
179.5,417.8
180,418.4
180.5,418.9
181,419.4
181.5,419.9
182,420.5
182.5,421.0
183,421.5
183.5,422.1
184,422.6
184.5,423.1
185,423.6
185.5,424.2
186,424.7
186.5,425.2
187,425.8
187.5,426.3
188,426.8
188.5,427.3
189,427.9
189.5,428.4
190,428.9
190.5,429.5
191,430.0
191.5,430.5
192,431.0
192.5,431.6
193,432.1
193.5,432.6
194,433.1
194.5,433.7
195,434.2
195.5,434.7
196,435.2
196.5,435.8
197,436.3
