Time,T_back
[s],[K]
0,294.5
0.5,294.5
1,294.5
1.5,294.5
2,294.5
2.5,294.5
3,294.5
3.5,294.5
4,294.5
4.5,294.5
5,294.5
5.5,294.5
6,294.5
6.5,294.5
7,294.5
7.5,294.5
8,294.5
8.5,294.5
9,294.5
9.5,294.5
10,294.5
10.5,294.5
11,294.5
11.5,294.5
12,294.5
12.5,294.5
13,294.5
13.5,294.5
14,294.5
14.5,294.5
15,294.5
15.5,294.5
16,294.6
16.5,294.6
17,294.6
17.5,294.6
18,294.6
18.5,294.6
19,294.7
19.5,294.7
20,294.7
20.5,294.8
21,294.8
21.5,294.8
22,294.9
22.5,294.9
23,295.0
23.5,295.1
24,295.1
24.5,295.2
25,295.3
25.5,295.4
26,295.4
26.5,295.5
27,295.6
27.5,295.7
28,295.8
28.5,295.9
29,296.1
29.5,296.2
30,296.3
30.5,296.4
31,296.6
31.5,296.7
32,296.9
32.5,297.0
33,297.2
33.5,297.4
34,297.5
34.5,297.7
35,297.9
35.5,298.1
36,298.3
36.5,298.5
37,298.7
37.5,298.9
38,299.2
38.5,299.4
39,299.6
39.5,299.9
40,300.1
40.5,300.3
41,300.6
41.5,300.9
42,301.1
42.5,301.4
43,301.7
43.5,301.9
44,302.2
44.5,302.5
45,302.8
45.5,303.1
46,303.4
46.5,303.7
47,304.0
47.5,304.4
48,304.7
48.5,305.0
49,305.3
49.5,305.7
50,306.0
50.5,306.4
51,306.7
51.5,307.1
52,307.4
52.5,307.8
53,308.2
53.5,308.5
54,308.9
54.5,309.3
55,309.7
55.5,310.0
56,310.4
56.5,310.8
57,311.2
57.5,311.6
58,312.0
58.5,312.4
59,312.8
59.5,313.3
60,313.7
60.5,314.1
61,314.5
61.5,314.9
62,315.4
62.5,315.8
63,316.2
63.5,316.7
64,317.1
64.5,317.5
65,318.0
65.5,318.4
66,318.9
66.5,319.3
67,319.8
67.5,320.2
68,320.7
68.5,321.2
69,321.6
69.5,322.1
70,322.6
70.5,323.0
71,323.5
71.5,324.0
72,324.4
72.5,324.9
73,325.4
73.5,325.9
74,326.4
74.5,326.8
75,327.3
75.5,327.8
76,328.3
76.5,328.8
77,329.3
77.5,329.8
78,330.3
78.5,330.8
79,331.3
79.5,331.8
80,332.3
80.5,332.8
81,333.3
81.5,333.8
82,334.3
82.5,334.8
83,335.3
83.5,335.8
84,336.3
84.5,336.8
85,337.3
85.5,337.9
86,338.4
86.5,338.9
87,339.4
87.5,339.9
88,340.4
88.5,341.0
89,341.5
89.5,342.0
90,342.5
90.5,343.0
91,343.6
91.5,344.1
92,344.6
92.5,345.1
93,345.6
93.5,346.2
94,346.7
94.5,347.2
95,347.8
95.5,348.3
96,348.8
96.5,349.3
97,349.9
97.5,350.4
98,350.9
98.5,351.4
99,352.0
99.5,352.5
100,353.0
100.5,353.6
101,354.1
101.5,354.6
102,355.2
102.5,355.7
103,356.2
103.5,356.8
104,357.3
104.5,357.8
105,358.4
105.5,358.9
106,359.4
106.5,360.0
107,360.5
107.5,361.0
108,361.5
108.5,362.1
109,362.6
109.5,363.1
110,363.7
110.5,364.2
111,364.7
111.5,365.3
112,365.8
112.5,366.3
113,366.9
113.5,367.4
114,367.9
114.5,368.5
115,369.0
115.5,369.5
116,370.1
116.5,370.6
117,371.1
117.5,371.6
118,372.2
118.5,372.7
119,373.2
119.5,373.8
120,374.3
120.5,374.8
121,375.4
121.5,375.9
122,376.4
122.5,376.9
123,377.5
123.5,378.0
124,378.5
124.5,379.0
125,379.6
125.5,380.1
126,380.6
126.5,381.1
127,381.7
127.5,382.2
128,382.7
128.5,383.2
129,383.8
129.5,384.3
130,384.8
130.5,385.3
131,385.8
131.5,386.4
132,386.9
132.5,387.4
133,387.9
133.5,388.4
134,389.0
134.5,389.5
135,390.0
135.5,390.5
136,391.0
136.5,391.5
137,392.1
137.5,392.6
138,393.1
138.5,393.6
139,394.1
139.5,394.6
140,395.1
140.5,395.6
141,396.2
141.5,396.7
142,397.2
142.5,397.7
143,398.2
143.5,398.7
144,399.2
144.5,399.7
145,400.2
145.5,400.7
146,401.2
146.5,401.7
147,402.2
147.5,402.7
148,403.2
148.5,403.7
149,404.2
149.5,404.7
150,405.2
150.5,405.7
151,406.2
151.5,406.7
152,407.2
152.5,407.7
153,408.2
153.5,408.7
154,409.2
154.5,409.7
155,410.2
155.5,410.7
156,411.2
156.5,411.7
157,412.1
157.5,412.6
158,413.1
158.5,413.6
159,414.1
159.5,414.6
160,415.1
160.5,415.6
161,416.0
161.5,416.5
162,417.0
162.5,417.5
163,418.0
163.5,418.4
164,418.9
164.5,419.4
165,419.9
165.5,420.4
166,420.8
166.5,421.3
167,421.8
167.5,422.3
168,422.7
168.5,423.2
169,423.7
169.5,424.1
170,424.6
170.5,425.1
171,425.6
171.5,426.0
172,426.5
172.5,427.0
173,427.4
173.5,427.9
174,428.3
174.5,428.8
175,429.3
175.5,429.7
176,430.2
176.5,430.7
177,431.1
177.5,431.6
178,432.0
178.5,432.5
179,432.9
179.5,433.4
180,433.8
180.5,434.3
181,434.8
181.5,435.2
182,435.7
182.5,436.1
183,436.6
183.5,437.0
184,437.5
184.5,437.9
185,438.3
185.5,438.8
186,439.2
186.5,439.7
187,440.1
187.5,440.6
188,441.0
188.5,441.4
189,441.9
189.5,442.3
190,442.8
190.5,443.2
191,443.6
191.5,444.1
192,444.5
192.5,444.9
193,445.4
193.5,445.8
194,446.2
194.5,446.7
195,447.1
195.5,447.5
196,447.9
196.5,448.4
197,448.8
197.5,449.2
198,449.6
198.5,450.1
199,450.5
199.5,450.9
200,451.3
200.5,451.8
201,452.2
201.5,452.6
202,453.0
202.5,453.4
203,453.8
203.5,454.3
204,454.7
204.5,455.1
205,455.5
205.5,455.9
206,456.3
206.5,456.7
207,457.1
207.5,457.5
208,457.9
208.5,458.4
209,458.8
209.5,459.2
210,459.6
210.5,460.0
211,460.4
211.5,460.8
212,461.2
212.5,461.6
213,462.0
213.5,462.4
214,462.8
214.5,463.2
215,463.6
215.5,464.0
216,464.3
216.5,464.7
217,465.1
217.5,465.5
218,465.9
218.5,466.3
219,466.7
219.5,467.1
220,467.5
220.5,467.9
221,468.2
221.5,468.6
222,469.0
222.5,469.4
223,469.8
223.5,470.2
224,470.5
224.5,470.9
225,471.3
225.5,471.7
226,472.0
226.5,472.4
227,472.8
227.5,473.2
228,473.5
228.5,473.9
229,474.3
229.5,474.7
230,475.0
230.5,475.4
231,475.8
231.5,476.1
232,476.5
232.5,476.9
233,477.2
233.5,477.6
234,478.0
234.5,478.3
235,478.7
235.5,479.1
236,479.4
236.5,479.8
237,480.1
237.5,480.5
238,480.8
238.5,481.2
239,481.6
239.5,481.9
240,482.3
240.5,482.6
241,483.0
241.5,483.3
242,483.7
242.5,484.0
243,484.4
243.5,484.7
244,485.1
244.5,485.4
245,485.8
245.5,486.1
246,486.5
246.5,486.8
247,487.1
247.5,487.5
248,487.8
248.5,488.2
249,488.5
249.5,488.8
250,489.2
250.5,489.5
251,489.9
251.5,490.2
252,490.5
252.5,490.9
253,491.2
253.5,491.5
254,491.9
254.5,492.2
255,492.5
255.5,492.9
256,493.2
256.5,493.5
257,493.8
257.5,494.2
258,494.5
258.5,494.8
259,495.1
259.5,495.5
260,495.8
260.5,496.1
261,496.4
261.5,496.8
262,497.1
262.5,497.4
263,497.7
263.5,498.0
264,498.4
264.5,498.7
265,499.0
265.5,499.3
266,499.6
266.5,499.9
267,500.2
267.5,500.5
268,500.9
268.5,501.2
269,501.5
269.5,501.8
270,502.1
270.5,502.4
271,502.7
271.5,503.0
272,503.3
272.5,503.6
273,503.9
273.5,504.2
274,504.5
274.5,504.8
275,505.1
275.5,505.4
276,505.7
276.5,506.0
277,506.3
277.5,506.6
278,506.9
278.5,507.2
279,507.5
279.5,507.8
280,508.1
280.5,508.4
281,508.7
281.5,509.0
282,509.3
282.5,509.6
283,509.9
283.5,510.1
284,510.4
284.5,510.7
285,511.0
285.5,511.3
286,511.6
286.5,511.9
287,512.1
287.5,512.4
288,512.7
288.5,513.0
289,513.3
289.5,513.5
290,513.8
290.5,514.1
291,514.4
291.5,514.7
292,514.9
292.5,515.2
293,515.5
293.5,515.8
294,516.0
294.5,516.3
295,516.6
295.5,516.9
296,517.1
296.5,517.4
297,517.7
297.5,517.9
298,518.2
298.5,518.5
299,518.7
299.5,519.0
300,519.3
300.5,519.5
301,519.8
301.5,520.1
302,520.3
302.5,520.6
303,520.9
303.5,521.1
304,521.4
304.5,521.6
305,521.9
305.5,522.2
306,522.4
306.5,522.7
307,522.9
307.5,523.2
308,523.4
308.5,523.7
309,523.9
309.5,524.2
310,524.5
310.5,524.7
311,525.0
311.5,525.2
312,525.5
312.5,525.7
313,526.0
313.5,526.2
314,526.5
314.5,526.7
315,526.9
315.5,527.2
316,527.4
316.5,527.7
317,527.9
317.5,528.2
318,528.4
318.5,528.6
319,528.9
319.5,529.1
320,529.4
320.5,529.6
321,529.8
321.5,530.1
322,530.3
322.5,530.6
323,530.8
323.5,531.0
324,531.3
324.5,531.5
325,531.7
325.5,532.0
326,532.2
326.5,532.4
327,532.7
327.5,532.9
328,533.1
328.5,533.3
329,533.6
329.5,533.8
330,534.0
330.5,534.3
331,534.5
331.5,534.7
332,534.9
332.5,535.2
333,535.4
333.5,535.6
334,535.8
334.5,536.0
335,536.3
335.5,536.5
336,536.7
336.5,536.9
337,537.1
337.5,537.4
338,537.6
338.5,537.8
339,538.0
339.5,538.2
340,538.4
340.5,538.7
341,538.9
341.5,539.1
342,539.3
342.5,539.5
343,539.7
343.5,539.9
344,540.1
344.5,540.4
345,540.6
345.5,540.8
346,541.0
346.5,541.2
347,541.4
347.5,541.6
348,541.8
348.5,542.0
349,542.2
349.5,542.4
350,542.6
350.5,542.8
351,543.0
351.5,543.2
352,543.4
352.5,543.6
353,543.8
353.5,544.0
354,544.2
354.5,544.4
355,544.6
355.5,544.8
356,545.0
356.5,545.2
357,545.4
357.5,545.6
358,545.8
358.5,546.0
359,546.1
359.5,546.3
360,546.5
360.5,546.7
361,546.9
361.5,547.1
362,547.3
362.5,547.5
363,547.7
363.5,547.8
364,548.0
364.5,548.2
365,548.4
365.5,548.6
366,548.8
366.5,549.0
367,549.1
367.5,549.3
368,549.5
368.5,549.7
369,549.9
369.5,550.0
370,550.2
370.5,550.4
371,550.6
371.5,550.8
372,550.9
372.5,551.1
373,551.3
373.5,551.5
374,551.6
374.5,551.8
375,552.0
375.5,552.2
376,552.3
376.5,552.5
377,552.7
377.5,552.8
378,553.0
378.5,553.2
379,553.3
379.5,553.5
380,553.7
380.5,553.8
381,554.0
381.5,554.2
382,554.3
382.5,554.5
383,554.7
383.5,554.8
384,555.0
384.5,555.2
385,555.3
385.5,555.5
386,555.7
386.5,555.8
387,556.0
387.5,556.1
388,556.3
388.5,556.4
389,556.6
389.5,556.8
390,556.9
390.5,557.1
391,557.2
391.5,557.4
392,557.5
392.5,557.7
393,557.9
393.5,558.0
394,558.2
394.5,558.3
395,558.5
395.5,558.6
396,558.8
396.5,558.9
397,559.1
397.5,559.2
398,559.4
398.5,559.5
399,559.7
399.5,559.8
400,560.0
400.5,560.1
401,560.2
401.5,560.4
402,560.5
402.5,560.7
403,560.8
403.5,561.0
404,561.1
404.5,561.3
405,561.4
405.5,561.5
406,561.7
406.5,561.8
407,562.0
407.5,562.1
408,562.2
408.5,562.4
409,562.5
409.5,562.6
410,562.8
410.5,562.9
411,563.1
411.5,563.2
412,563.3
