Time,Mass,Heat release,Back surface temperature
[s],[g],[kW],[K]
1,77.53,0.02,305
2,77.52,0,304.9
3,77.52,0.02,305
4,77.52,0.02,305
5,77.51,0.01,305.1
6,77.49,0.03,305
7,77.49,0.04,305.1
8,77.49,0.05,305.1
9,77.49,0.06,305.1
10,77.5,0.06,305.1
11,77.5,0.04,305.1
12,77.5,0.03,305.2
13,77.5,0.02,305.1
14,77.51,0.01,304.9
15,77.52,0.01,304.9
16,77.49,0,304.9
17,77.51,0.02,304.9
18,77.52,0.01,304.9
19,77.5,0,304.9
20,77.51,0.01,305
21,77.5,0.01,305
22,77.48,0.01,305.1
23,77.49,0.01,305.3
24,77.5,0.01,305.3
25,77.47,0.01,305.6
26,77.45,0.01,305.3
27,77.47,0.03,305.6
28,77.48,0.04,305.7
29,77.47,0.03,305.8
30,77.46,0.03,305.9
31,77.45,0.03,306.4
32,77.44,0.01,306.6
33,77.45,0,306.9
34,77.45,0.01,307.1
35,77.47,0.03,307.4
36,77.45,0.01,307.7
37,77.45,0,308
38,77.46,0.01,308.3
39,77.46,0.03,308.7
40,77.46,0.01,309.3
41,77.42,0,309.5
42,77.41,0.01,309.8
43,77.41,0.01,310.4
44,77.4,0.02,311
45,77.41,0.04,311.3
46,77.41,0.04,311.6
47,77.4,0.04,312.1
48,77.4,0.03,312.5
49,77.39,0.03,312.9
50,77.38,0.02,313.3
51,77.38,0.03,313.9
52,77.37,0.03,314.3
53,77.35,0.02,314.8
54,77.35,0.02,315.4
55,77.35,0.03,315.9
56,77.35,0.03,316.4
57,77.36,0.03,317.1
58,77.38,0.04,317.6
59,77.35,0.03,318.1
60,77.33,0.03,318.7
61,77.34,0.03,319.2
62,77.34,0.04,319.8
63,77.35,0.05,320.3
64,77.36,0.07,320.9
65,77.35,0.11,321.5
66,77.33,0.15,322
67,77.31,0.19,322.4
68,77.28,0.22,322.8
69,77.23,0.25,323.4
70,77.15,0.26,323.9
71,77.09,0.22,324.5
72,77.03,0.21,324.9
73,76.93,0.22,325.6
74,76.85,0.22,326.2
75,76.8,0.23,326.8
76,76.72,0.25,327.6
77,76.63,0.3,328.2
78,76.54,0.38,328.9
79,76.41,0.44,329.5
80,76.29,0.56,330.2
81,76.19,0.71,331
82,76.08,0.94,332
83,75.93,1.21,333
84,75.79,1.5,334.5
85,75.67,1.72,335.9
86,75.55,1.95,337.4
87,75.43,2.17,338.7
88,75.25,2.43,339.8
89,75.07,2.72,341
90,74.9,3.06,342.1
91,74.76,3.37,343.2
92,74.61,3.65,344.2
93,74.43,3.9,345.3
94,74.24,4.13,346.2
95,74.07,4.36,347.3
96,73.92,4.59,348.1
97,73.79,4.8,349
98,73.63,5,349.9
99,73.44,5.17,350.7
100,73.25,5.36,351.5
101,73.06,5.6,352.4
102,72.91,5.85,353.1
103,72.74,6.08,353.9
104,72.54,6.28,354.6
105,72.37,6.47,355.3
106,72.19,6.62,355.9
107,72.01,6.76,356.5
108,71.82,6.88,357
109,71.62,7.01,357.6
110,71.42,7.12,358.2
111,71.24,7.22,358.7
112,71.03,7.31,359.1
113,70.81,7.39,359.5
114,70.64,7.46,359.9
115,70.49,7.56,360.3
116,70.29,7.66,360.7
117,70.11,7.77,361
118,69.91,7.85,361.6
119,69.73,7.93,361.7
120,69.56,8.01,361.6
121,69.35,8.12,361.7
122,69.16,8.25,361.4
123,68.96,8.35,361.3
124,68.74,8.42,361.1
125,68.54,8.49,361.1
126,68.35,8.57,361.1
127,68.19,8.64,360.7
128,68.01,8.7,359.9
129,67.82,8.74,359.9
130,67.62,8.76,359.3
131,67.41,8.79,358.7
132,67.21,8.81,358.1
133,67.01,8.83,357.9
134,66.8,8.84,357.4
135,66.6,8.83,356.9
136,66.42,8.83,356.8
137,66.25,8.83,356.5
138,66.03,8.81,356.3
139,65.81,8.8,356.3
140,65.63,8.78,356.2
141,65.41,8.77,356.2
142,65.2,8.78,356.3
143,64.99,8.82,356.5
144,64.82,8.85,356.8
145,64.62,8.87,357.4
146,64.41,8.87,357.7
147,64.21,8.86,358.3
148,64.05,8.85,359.3
149,63.86,8.83,360
150,63.63,8.82,361
151,63.42,8.82,362
152,63.2,8.83,362.5
153,63,8.86,363.4
154,62.81,8.95,364.2
155,62.64,9.11,365.2
156,62.47,9.25,365.4
157,62.27,9.35,365.6
158,62.05,9.42,365.9
159,61.83,9.44,366.3
160,61.64,9.45,366.6
161,61.46,9.47,366.9
162,61.25,9.47,367.2
163,61.05,9.46,367.2
164,60.82,9.43,367.5
165,60.63,9.41,368
166,60.43,9.39,367.8
167,60.2,9.37,368.8
168,60,9.34,368.8
169,59.8,9.29,369.4
170,59.61,9.24,370.3
171,59.43,9.21,371.4
172,59.24,9.19,372.3
173,59.02,9.18,373.3
174,58.81,9.18,374.1
175,58.6,9.18,374.7
176,58.41,9.2,375.6
177,58.2,9.23,376.3
178,58.01,9.26,376.8
179,57.78,9.29,377.6
180,57.59,9.35,377.9
181,57.42,9.43,378.9
182,57.21,9.51,379.2
183,57,9.56,379.8
184,56.79,9.61,380.4
185,56.61,9.64,381.2
186,56.39,9.62,381.6
187,56.17,9.55,382.2
188,55.98,9.47,382.6
189,55.77,9.41,383.4
190,55.58,9.37,384.1
191,55.37,9.34,384.5
192,55.16,9.34,385.2
193,54.96,9.36,385.6
194,54.74,9.38,385.9
195,54.53,9.41,386.4
196,54.31,9.44,387.3
197,54.13,9.47,387.7
198,53.93,9.51,387.9
199,53.73,9.55,388.3
200,53.51,9.6,388.8
201,53.31,9.63,389.4
202,53.12,9.64,389.9
203,52.9,9.65,390.4
204,52.73,9.65,390.8
205,52.55,9.65,391.1
206,52.27,9.65,391.5
207,52.09,9.65,392.2
208,51.89,9.66,392.6
209,51.69,9.64,393.1
210,51.49,9.61,393.9
211,51.24,9.57,394.2
212,51.01,9.55,394.3
213,50.81,9.53,395.2
