Time,Mass,Heat release,Back surface temperature
[s],[g],[kW],[K]
1,79.79,0.01,296.3
2,79.75,0.01,296.4
3,79.73,0,296.3
4,79.73,0,297.4
5,79.71,0,297.3
6,79.7,0.01,297.3
7,79.72,0.01,297.3
8,79.71,0.01,297.3
9,79.69,0,297.1
10,79.66,0,297.3
11,79.66,0,296.6
12,79.69,0.01,296.7
13,79.69,0.01,296.7
14,79.66,0.01,296.8
15,79.6,0,296.8
16,79.5,0,296.7
17,79.35,0,296.8
18,79.19,0.01,296.7
19,78.98,0.01,296.9
20,78.73,0.01,297
21,78.45,0,297.6
22,78.17,0,297.7
23,77.89,0.01,297.9
24,77.59,0.02,298.1
25,77.24,0.02,297.6
26,76.93,0.02,297.9
27,76.6,0.04,298.2
28,76.28,0.11,298.6
29,75.96,0.26,299.1
30,75.6,0.64,299.5
31,75.24,1.36,299.7
32,74.87,2.26,300.2
33,74.49,3.35,300.9
34,74.13,4.58,301.3
35,73.76,5.82,301.8
36,73.39,6.99,302.5
37,72.97,8.24,303.3
38,72.59,9.64,303.8
39,72.22,10.94,304.8
40,71.86,12.12,305.5
41,71.46,13.06,306.4
42,71.09,13.87,307.2
43,70.73,14.76,308
44,70.34,15.61,308.9
45,69.94,16.33,309.7
46,69.52,17.01,310.6
47,69.13,17.64,311.6
48,68.77,18.13,312.4
49,68.38,18.58,313.5
50,67.97,19,314.5
51,67.59,19.36,315.4
52,67.23,19.67,316.3
53,66.85,19.9,317.2
54,66.44,20.1,318.3
55,66.02,20.24,319.5
56,65.67,20.39,320.2
57,65.31,20.55,321.3
58,64.91,20.69,322.4
59,64.53,20.8,323.4
60,64.14,20.9,324.2
61,63.74,20.97,325.5
62,63.34,21.02,326.4
63,62.98,21.05,327.4
64,62.58,21.11,328.5
65,62.15,21.22,329.5
66,61.79,21.39,330.2
67,61.42,21.56,331.5
68,61.01,21.73,332.7
69,60.57,21.88,333.9
70,60.2,21.99,335.4
71,59.81,22.06,336.7
72,59.4,22.1,338.2
73,59,22.12,339.9
74,58.62,22.17,340.5
75,58.23,22.24,342.4
76,57.85,22.32,343.8
77,57.45,22.38,347.1
78,57.06,22.41,349.1
79,56.66,22.4,350.7
80,56.28,22.4,351.9
81,55.88,22.42,353.9
82,55.48,22.46,351.6
83,55.08,22.52,355
84,54.69,22.6,356.2
85,54.29,22.71,358.2
86,53.87,22.83,357
87,53.48,22.93,327.3
88,53.1,23.02,361.7
89,52.72,23.07,343.8
90,52.31,23.1,364.6
91,51.92,23.1,361.3
92,51.53,23.04,365
93,51.14,22.97,353.1
94,50.74,22.92,367.3
95,50.32,22.9,361.3
96,49.93,22.97,364.7
97,49.54,23.09,371.6
98,49.13,23.19,362.7
99,48.75,23.25,350.6
100,48.37,23.29,376
101,47.98,23.3,378.2
102,47.6,23.3,379.6
103,47.2,23.34,379.9
104,46.79,23.39,384.2
105,46.4,23.42,385.5
106,46.01,23.46,387.9
107,45.61,23.47,389.8
108,45.2,23.49,391.7
109,44.83,23.52,393.2
110,44.46,23.56,395.1
111,44.06,23.6,394.4
112,43.68,23.62,369.3
113,43.28,23.63,382.4
114,42.87,23.62,379.3
115,42.45,23.61,383.1
116,42.09,23.57,389.8
117,41.69,23.47,392
118,41.31,23.39,281.9
119,40.92,23.33,392
120,40.52,23.32,391.9
121,40.12,23.31,390.3
122,39.7,23.31,392.5
123,39.29,23.32,394.6
124,38.89,23.32,396.7
125,38.5,23.32,398.8
126,38.08,23.34,400.9
127,37.67,23.38,402.9
128,37.26,23.52,404.9
129,36.85,23.73,406.9
130,36.42,23.91,408.9
131,36.02,24.01,410.8
132,35.61,24.06,412.8
133,35.19,24.07,414.8
134,34.79,24.08,416.7
135,34.38,24.09,418.6
136,33.97,24.09,420.6
137,33.56,24.14,422.5
138,33.14,24.24,424.4
139,32.73,24.36,426.6
140,32.32,24.48,428.6
141,31.89,24.67,430.8
142,31.44,24.85,432.8
143,31,25.01,435
144,30.58,25.13,437.3
145,30.12,25.21,439.6
146,29.66,25.32,441.8
147,29.23,25.42,444
148,28.79,25.5,446.2
149,28.34,25.55,469.4
150,27.91,25.64,471.3
151,27.47,25.73,474.1
152,27.01,25.79,476.8
153,26.55,25.84,479.9
154,26.08,25.86,481.6
155,25.63,25.87,483.8
156,25.21,25.97,489.8
157,24.79,26.22,488.7
158,24.32,26.51,486.1
159,23.84,26.72,497.8
160,23.42,26.86,506.7
161,22.97,26.98,503.6
162,22.52,27.17,507.3
163,22.05,27.43,508.3
164,21.58,27.75,511.5
165,21.14,28.03,511.9
166,20.67,28.23,513.8
167,20.23,28.39,512.3
168,19.74,28.5,512.9
169,19.3,28.67,514.5
170,18.87,28.82,517.4
171,18.46,28.94,521.1
172,18.03,29.12,523.8
173,17.59,29.28,531.3
174,17.13,29.4,532.4
175,16.72,29.5,537.3
176,16.3,29.57,538.9
177,15.89,29.64,545.1
178,15.48,29.7,547.1
179,15.06,29.74,550.9
180,14.63,29.73,556.4
181,14.24,29.65,558.8
182,13.81,29.52,562.8
183,13.38,29.35,568.2
184,12.97,29.09,570.4
185,12.6,28.78,575.4
186,12.19,28.51,576.8
187,11.79,28.28,581.2
188,11.41,28.05,584.9
189,11.03,27.84,588.6
190,10.64,27.65,592.2
191,10.29,27.45,602.4
192,9.95,27.26,616.4
193,9.62,27.14,630.8
194,9.3,27.01,647.1
195,9,26.83,667.6
196,8.71,26.59,691.6
197,8.41,26.32,714.6
198,8.14,26.1,735.9
199,7.87,25.92,753.4
200,7.58,25.75,769.4
201,7.29,25.42,783.4
202,7.02,24.95,802.3
203,6.77,24.24,832.4
204,6.5,23.28,852.2
205,6.31,22.02,867.1
206,6.1,20.85,881.1
207,5.89,19.8,891.8
208,5.69,18.81,902.5
209,5.46,18,914.9
210,5.28,17.01,926.5
211,5.04,15.83,935.9
212,4.85,14.55,947.7
213,4.68,13.38,958.2
214,4.48,12.29,965.7
215,4.29,11.3,966
216,4.1,10.51,973.1
217,3.92,9.78,975.2
218,3.77,8.96,979.6
219,3.61,8.15,982.5
220,3.44,7.44,988.2
221,3.27,6.78,989.7
222,3.13,6.12,988.1
223,2.96,5.51,988.8
224,2.81,4.92,987.2
225,2.65,4.4,985.2
226,2.48,3.98,982.6
227,2.33,3.65,973.7
228,2.18,3.35,968.3
229,2.02,3.07,957.6
230,1.88,2.79,948.7
231,1.76,2.54,943.4
232,1.59,2.34,936.5
233,1.42,2.16,928
234,1.29,2,920.9
235,1.18,1.81,915.9
236,1.03,1.62,911.6
237,0.86,1.43,908.6
238,0.72,1.24,905.6
239,0.57,1.08,904.2
240,0.43,0.95,903.1
241,0.25,0.83,902.1
242,0.15,0.72,900.2
243,0.02,0.63,899.3
