Time,Mass,Heat release,Back surface temperature
[s],[g],[kW],[K]
1,81.94,0,297.2
2,81.93,0.01,297.2
3,81.92,0.01,297.2
4,81.9,0.01,297.2
5,81.91,0,297.3
6,81.9,0,297.3
7,81.91,0,297.3
8,81.9,0.01,297.3
9,81.88,0.01,297.3
10,81.86,0.01,297.3
11,81.86,0,297.3
12,81.87,0,297.3
13,81.89,0,297.3
14,81.88,0.01,297.3
15,81.82,0.01,297.4
16,81.74,0.01,297.4
17,81.6,0,297.5
18,81.42,0,297.6
19,81.22,0.01,297.6
20,80.99,0,297.7
21,80.72,0,297.9
22,80.47,0,298
23,80.18,0,298.3
24,79.89,0.01,298.4
25,79.56,0.02,298.7
26,79.21,0.03,299.1
27,78.91,0.04,299.4
28,78.58,0.09,299.8
29,78.23,0.21,300.2
30,77.88,0.5,300.7
31,77.55,0.97,301.2
32,77.2,1.69,301.7
33,76.81,2.7,302.3
34,76.47,4.12,303
35,76.1,5.35,303.7
36,75.72,6.65,304.5
37,75.32,7.87,305.3
38,74.95,9.05,306.2
39,74.6,10.22,307.2
40,74.21,11.32,308
41,73.86,12.41,309
42,73.55,13.08,310
43,72.98,13.61,311.1
44,72.63,15.11,312.2
45,72.24,15.84,313.3
46,71.85,16.44,314.3
47,71.5,17.04,315.6
48,71.13,17.67,316.8
49,70.73,18.21,317.9
50,70.35,18.61,319.1
51,69.96,18.92,320.4
52,69.57,19.22,321.6
53,69.17,19.55,322.9
54,68.79,19.94,324.1
55,68.42,20.29,325.5
56,67.99,20.55,326.8
57,67.6,20.71,328.1
58,67.23,20.84,329.5
59,66.85,20.99,330.8
60,66.46,21.17,332.2
61,66.03,21.33,333.6
62,65.66,21.44,334.9
63,65.28,21.5,336.4
64,64.91,21.47,337.7
65,64.51,21.43,339.1
66,64.12,21.4,340.6
67,63.72,21.38,342
68,63.35,21.42,343.4
69,63,21.57,344.8
70,62.62,21.74,346.4
71,62.22,21.88,347.9
72,61.81,21.98,349.5
73,61.4,22.08,351.1
74,60.99,22.17,352.7
75,60.62,22.22,354
76,60.22,22.29,355.6
77,59.81,22.4,357
78,59.43,22.5,358.5
79,59.06,22.57,359.7
80,58.68,22.61,361.1
81,58.3,22.62,362.4
82,57.88,22.6,363.6
83,57.48,22.54,364.9
84,57.08,22.5,365.9
85,56.7,22.46,366.8
86,56.31,22.42,367.8
87,55.9,22.4,368.3
88,55.52,22.44,368.8
89,55.15,22.55,369.3
90,54.77,22.71,369.6
91,54.38,22.87,370
92,53.97,23,370.5
93,53.57,23.09,371
94,53.19,23.19,371.6
95,52.78,23.28,372.3
96,52.41,23.35,373.3
97,52.02,23.36,374.2
98,51.62,23.35,375.3
99,51.21,23.33,376.6
100,50.82,23.26,378
101,50.46,23.19,379.9
102,50.06,23.14,381.9
103,49.67,23.1,383.9
104,49.28,23.07,386
105,48.9,23.06,388.2
106,48.51,23.09,390.3
107,48.12,23.13,392.5
108,47.77,23.16,394.6
109,47.37,23.13,396.7
110,46.98,23.05,398.8
111,46.57,23,400.9
112,46.2,22.97,402.9
113,45.82,22.96,404.9
114,45.43,23,406.9
115,45.02,23.03,408.9
116,44.64,23.06,410.8
117,44.27,23.13,412.8
118,43.86,23.19,414.8
119,43.44,23.24,416.7
120,43.04,23.27,418.6
121,42.72,23.13,420.6
122,42.35,22.91,422.5
123,41.99,22.74,424.4
124,41.63,22.63,426.6
125,41.23,22.57,428.6
126,40.83,22.56,430.8
127,40.42,22.67,432.8
128,40.01,22.82,435
129,39.57,22.96,437.3
130,39.17,23.08,439.6
131,38.78,23.18,441.8
132,38.39,23.31,444
133,37.98,23.47,446.2
134,37.54,23.65,448.5
135,37.13,23.83,450.7
136,36.71,23.97,453
137,36.3,24.06,455.3
138,35.89,24.06,457.6
139,35.47,23.95,460
