Time,Mass,Heat release,Back surface temperature
[s],[g],[kW],[K]
1,75.47,0.01,304.8
2,75.46,0.01,304.8
3,75.43,0.01,304.9
4,75.41,0.01,304.9
5,75.39,0.02,304.9
6,75.39,0.01,304.9
7,75.37,0.01,304.9
8,75.42,0.01,304.9
9,75.4,0.01,304.9
10,75.35,0.01,304.9
11,75.37,0.01,304.8
12,75.34,0.02,304.8
13,75.33,0.01,304.7
14,75.34,0.01,304.8
15,75.31,0.01,304.8
16,75.3,0.01,304.9
17,75.31,0.01,304.9
18,75.32,0.01,304.9
19,75.34,0.02,304.9
20,75.36,0.01,305.1
21,75.34,0.01,305.3
22,75.35,0.01,305.4
23,75.37,0.01,305.6
24,75.37,0.01,305.8
25,75.35,0.01,306
26,75.34,0.01,306.2
27,75.31,0.01,306.6
28,75.3,0.02,307
29,75.28,0.01,307.1
30,75.28,0.01,307.1
31,75.25,0.02,308
32,75.25,0.02,308.2
33,75.25,0.02,308.7
34,75.26,0.02,309.2
35,75.25,0.02,309.8
36,75.23,0.01,310.2
37,75.27,0.01,310.5
38,75.29,0.01,311.2
39,75.29,0.01,311.6
40,75.27,0.01,312.1
41,75.26,0.01,312.9
42,75.24,0.01,313.4
43,75.24,0.02,314.1
44,75.23,0.02,314.7
45,75.2,0.02,315.3
46,75.18,0.01,315.8
47,75.18,0.01,316.5
48,75.18,0.01,317.2
49,75.2,0.01,317.6
50,75.19,0.01,318.5
51,75.17,0.01,319.1
52,75.16,0.02,319.8
53,75.16,0.02,320.7
54,75.16,0.02,321.2
55,75.15,0.02,321.9
56,75.17,0.02,322.5
57,75.2,0.02,323.3
58,75.2,0.03,323.9
59,75.19,0.03,324.5
60,75.15,0.03,325
61,75.13,0.04,325.7
62,75.12,0.04,326.4
63,75.11,0.03,327.1
64,75.11,0.03,327.8
65,75.09,0.03,328.1
66,75.1,0.02,329.1
67,75.05,0.03,330.5
68,75.02,0.03,332.2
69,74.96,0.03,333.8
70,74.88,0.02,335
71,74.81,0.02,336.2
72,74.73,0.02,337.4
73,74.63,0.02,338.7
74,74.55,0.02,339.9
75,74.44,0.02,341.1
76,74.35,0.03,342.5
77,74.25,0.03,343.4
78,74.1,0.03,344.5
79,73.98,0.04,345.7
80,73.85,0.03,346.8
81,73.69,0.06,347.9
82,73.57,0.12,349
83,73.44,0.17,349.6
84,73.32,0.23,350.8
85,73.2,0.51,352
86,73.04,0.76,353
87,72.89,1.04,353.9
88,72.74,1.32,355.1
89,72.62,1.59,356.3
90,72.46,1.84,357.1
91,72.28,2.12,358
92,72.11,2.4,359.1
93,71.92,2.75,360.1
94,71.74,3.11,361
95,71.58,3.46,361.7
96,71.41,3.74,362.7
97,71.24,3.99,363.5
98,71.09,4.26,364.4
99,70.9,4.48,365.3
100,70.73,4.69,366.3
101,70.55,4.9,367.1
102,70.35,5.08,368
103,70.17,5.24,368.8
104,70,5.44,369.6
105,69.82,5.64,370.3
106,69.65,5.81,371.1
107,69.45,6.03,371.7
108,69.24,6.25,372.5
109,69.05,6.43,373.1
110,68.88,6.57,373.7
111,68.71,6.7,374.3
112,68.52,6.8,374.8
113,68.31,6.91,375.5
114,68.11,7.03,376.2
115,67.89,7.13,376.6
116,67.69,7.24,377.4
117,67.52,7.33,378
118,67.35,7.42,378.7
119,67.18,7.5,379.3
120,66.97,7.55,380
121,66.8,7.58,380.9
122,66.62,7.6,381.5
123,66.33,7.63,382.3
124,66.16,7.69,382.8
125,65.99,7.75,384.1
126,65.76,7.81,385.1
127,65.54,8.03,386.3
128,65.33,8.18,387.4
129,65.14,8.31,388.3
130,64.95,8.41,389.2
131,64.75,8.47,390.2
132,64.56,8.5,391.5
133,64.36,8.52,391.9
134,64.17,8.54,393
135,63.94,8.57,394
136,63.74,8.61,395.3
137,63.55,8.65,396.7
138,63.34,8.68,398.3
139,63.14,8.7,399.7
140,62.94,8.71,400.9
141,62.74,8.72,402.6
142,62.52,8.73,403.5
143,62.34,8.74,404.6
144,62.17,8.77,406.5
145,61.98,8.81,407.6
146,61.77,8.85,408.1
147,61.56,8.89,409.4
148,61.36,8.91,410.4
149,61.17,8.92,411.1
150,60.99,8.93,410.9
151,60.78,8.94,413.3
152,60.58,8.95,414.6
153,60.35,8.96,415.7
154,60.14,8.97,416.9
155,59.96,8.98,417.9
156,59.76,8.99,419
157,59.55,8.99,420.3
158,59.37,9,421.5
159,59.16,9.05,422.7
160,58.94,9.08,423.8
161,58.72,9.11,424.8
162,58.52,9.08,425.9
163,58.35,9.05,426.6
164,58.18,9.04,428
165,58.01,9.04,429.3
166,57.79,9.06,430.4
167,57.56,9.09,431.4
168,57.33,9.14,432.4
169,57.15,9.19,433.1
170,56.94,9.24,434.4
171,56.72,9.3,435.6
172,56.51,9.34,436.4
173,56.31,9.36,437.5
174,56.08,9.38,438.3
175,55.86,9.37,439.5
176,55.7,9.35,440.5
177,55.5,9.31,441.6
178,55.3,9.28,442.6
179,55.02,9.25,443.6
180,54.77,9.23,444.6
181,54.57,9.22,445.6
182,54.37,9.2,446.5
