Time,alpha,Temperature
s,-,K
0.0,0.0,300.15
6.0,0.0,300.62401
12.0,0.0,301.62702
18.0,0.0,302.62835
24.0,0.0,303.62098
30.0,0.0,304.61389
36.0,0.0,305.61425
42.0,0.0,306.61369
48.0,0.0,307.61219
54.0,0.0,308.61293
60.0,0.0,309.61138
66.0,0.0,310.61255
72.0,0.0,311.61154
78.0,0.0,312.61866
84.0,0.0,313.62495
90.0,0.0,314.62395
96.0,0.0,315.62236
102.0,0.0,316.62366
108.0,0.0,317.62251
114.0,0.0,318.62344
120.0,0.0,319.62215
126.0,1.1102230246251565e-16,320.62257
132.0,1.1102230246251565e-16,321.62161
138.0,1.1102230246251565e-16,322.62002
144.0,1.1102230246251565e-16,323.62131
150.0,1.1102230246251565e-16,324.62016
156.0,2.220446049250313e-16,325.62108
162.0,2.220446049250313e-16,326.6198
168.0,2.220446049250313e-16,327.62019
174.0,3.3306690738754696e-16,328.61927
180.0,4.440892098500626e-16,329.61771
186.0,5.551115123125783e-16,330.61897
192.0,6.661338147750939e-16,331.6178
198.0,7.771561172376096e-16,332.61871
204.0,9.992007221626409e-16,333.61745
210.0,1.2212453270876722e-15,334.61781
216.0,1.5543122344752192e-15,335.61692
222.0,1.887379141862766e-15,336.61538
228.0,2.3314683517128287e-15,337.61662
234.0,2.886579864025407e-15,338.61545
240.0,3.4416913763379853e-15,339.61634
246.0,4.3298697960381105e-15,340.6151
252.0,5.218048215738236e-15,341.61547
258.0,6.439293542825908e-15,342.61458
264.0,7.882583474838611e-15,343.61304
270.0,9.547918011776346e-15,344.61427
276.0,1.1657341758564144e-14,345.6131
282.0,1.4210854715202004e-14,346.61397
288.0,1.7319479184152442e-14,347.61275
294.0,2.1094237467877974e-14,348.61309
300.0,2.5646151868841116e-14,349.61223
306.0,3.097522238704187e-14,350.60497
312.0,3.752553823233029e-14,351.59736
318.0,4.54081217071689e-14,352.59843
324.0,5.495603971894525e-14,353.59748
330.0,6.628031457012185e-14,354.59756
336.0,8.004708007547379e-14,355.59725
342.0,9.636735853746359e-14,356.59576
348.0,1.1612932837579137e-13,357.59652
354.0,1.3955503419538218e-13,358.59502
360.0,1.6775469902086115e-13,359.59607
366.0,2.013944566670034e-13,360.59513
372.0,2.4147350785597155e-13,361.59519
378.0,2.892130979148533e-13,362.59491
384.0,3.460565167756613e-13,363.59342
390.0,4.1389114358025836e-13,364.59417
396.0,4.942712905631197e-13,365.59271
402.0,5.899725152858082e-13,366.59371
408.0,7.032152637975742e-13,367.59278
414.0,8.376632720796806e-13,368.59281
420.0,9.967582315084655e-13,369.59255
426.0,1.184830011879967e-12,370.59107
432.0,1.4075407506197735e-12,371.59182
438.0,1.6699974736411605e-12,372.59037
444.0,1.9804158313263542e-12,373.59135
450.0,2.3456792064280307e-12,374.59043
456.0,2.7762236953776664e-12,375.59044
462.0,3.282929483816588e-12,376.5902
468.0,3.877786980410747e-12,377.58875
474.0,4.5781156643442955e-12,378.58947
480.0,5.398459457239824e-12,379.58803
486.0,6.362799176429235e-12,380.58899
492.0,7.490785769448394e-12,381.58809
498.0,8.812617302567105e-12,382.58806
504.0,1.035882490896256e-11,383.58784
510.0,1.2163714480095678e-11,384.58641
516.0,1.4276246851352425e-11,385.58711
522.0,1.6736501073921772e-11,386.58569
528.0,1.961208973000339e-11,387.58662
534.0,2.29568586362916e-11,388.58574
540.0,2.685418554193575e-11,389.58572
546.0,3.1387337173782726e-11,390.58549
552.0,3.665023839971582e-11,391.58406
558.0,4.277644904959743e-11,392.58476
564.0,4.987188439997681e-11,393.58335
570.0,5.812039738373187e-11,394.58426
576.0,6.766343041419987e-11,395.5834
582.0,7.872547058696e-11,396.58351
588.0,9.152567592707328e-11,397.58349
594.0,1.0630862856686463e-10,398.58226
600.0,1.2342771249507223e-10,399.58316
606.0,1.4315348906279723e-10,400.58195
612.0,1.6596835017423928e-10,401.58307
618.0,1.9222912150951288e-10,402.58238
624.0,2.2251278597451574e-10,403.58252
630.0,2.573781188175417e-10,404.5825
636.0,2.9744440244172665e-10,405.58127
642.0,3.4361280487615886e-10,406.58217
648.0,3.965510142478479e-10,407.58096
654.0,4.5748160815151095e-10,408.58208
660.0,5.272773329068059e-10,409.5814
666.0,6.073778147097642e-10,410.58153
672.0,6.991602852224332e-10,411.58152
678.0,8.041354249144206e-10,412.58029
684.0,9.245316734407538e-10,413.58119
690.0,1.0619397583511159e-09,414.57998
696.0,1.2193612786148833e-09,415.58109
702.0,1.3988611380355565e-09,416.58041
708.0,1.6039256589550632e-09,417.58054
714.0,1.8378347732550537e-09,418.58053
720.0,2.1041663966769875e-09,419.5793
726.0,2.408262034236941e-09,420.5802
732.0,2.753795191878794e-09,421.579
738.0,3.1479088224983798e-09,422.5801
744.0,3.5953467980576193e-09,423.57943
750.0,4.104286688288994e-09,424.57955
756.0,4.682331411487439e-09,425.57955
762.0,5.33768618193875e-09,426.57832
768.0,6.082787717964777e-09,427.57921
774.0,6.925875650765079e-09,428.57802
780.0,7.883471320191404e-09,429.57912
786.0,8.96611995759855e-09,430.57845
792.0,1.019249762368446e-08,431.57856
