Time(s),Temperature (K),Mass (mg)
239.9502,303.078,5.001999821
242.9502,303.31,4.999900162
245.9502,303.536,4.998200221
248.9502,303.753,4.996400223
251.9502,303.978,4.9942
254.9502,304.185,4.991500004
257.9502,304.421,4.989499894
260.9502,304.635,4.98759984
263.9502,304.849,4.9849999
266.9502,305.07,4.981900186
269.9502,305.279,4.979800019
272.9502,305.503,4.977699853
275.9502,305.699,4.975099913
278.9502,305.91,4.972900198
281.9502,306.11,4.96969992
284.9502,306.312,4.967200036
287.9502,306.496,4.965199926
290.9502,306.678,4.963199816
293.9502,306.905,4.960799988
296.9502,307.079,4.958300105
299.9502,307.276,4.956199938
302.9502,307.469,4.953000168
305.9502,307.641,4.950699889
308.9502,307.853,4.948400118
311.9502,308.007,4.945999782
314.9502,308.178,4.943000125
317.9502,308.372,4.941900014
320.9502,308.535,4.939799847
323.9502,308.699,4.938300018
326.9502,308.874,4.935800135
329.9502,309.018,4.934599967
332.9502,309.178,4.931599802
335.9502,309.356,4.929699748
338.9502,309.503,4.926999751
341.9502,309.661,4.924800036
344.9502,309.809,4.921899927
347.9502,309.959,4.919899817
350.9502,310.093,4.917700102
353.9502,310.25,4.915299767
356.9502,310.392,4.912799883
359.9502,310.522,4.910600168
362.9502,310.67,4.908500002
365.9502,310.806,4.90680006
368.9502,310.932,4.905300232
371.9502,311.069,4.903300121
374.9502,311.193,4.901500124
377.9502,311.31,4.900099844
380.9502,311.437,4.897900129
383.9502,311.565,4.896100131
386.9502,311.676,4.89440019
389.9502,311.779,4.891700193
392.9502,311.895,4.890800195
395.9502,312.011,4.889800139
398.9502,312.113,4.889299858
401.9502,312.222,4.88749986
404.9502,312.328,4.885100033
407.9502,312.445,4.883600204
410.9502,312.535,4.881600094
413.9502,312.634,4.880000209
416.9502,312.728,4.878399816
419.9502,312.835,4.877200156
422.9502,312.915,4.874899877
425.9502,313.012,4.87309988
428.9502,313.084,4.871099769
431.9502,313.181,4.869800053
434.9502,313.261,4.867400226
437.9502,313.324,4.865899889
440.9502,313.424,4.863899779
443.9502,313.516,4.862299894
446.9502,313.587,4.860499896
449.9502,313.665,4.858799955
452.9502,313.723,4.85660024
455.9502,313.795,4.85519996
458.9502,313.856,4.85319985
461.9502,313.927,4.851299796
464.9502,313.999,4.850499853
467.9502,314.064,4.84940025
470.9502,314.131,4.848599799
473.9502,314.195,4.847699801
476.9502,314.254,4.845700198
479.9502,314.299,4.845299973
482.9502,314.362,4.844500031
485.9502,314.421,4.843199807
488.9502,314.47,4.842000147
491.9502,314.522,4.840599866
494.9502,314.56,4.839599811
497.9502,314.624,4.838500208
500.9502,314.651,4.83730004
503.9502,314.715,4.835099817
506.9502,314.746,4.834600044
509.9502,314.791,4.833599989
512.9502,314.846,4.832200216
515.9502,314.899,4.830799936
518.9502,314.916,4.829599768
521.9502,314.97,4.828600221
524.9502,315.003,4.827600166
527.9502,315.042,4.825700112
530.9502,315.067,4.825499999
533.9502,315.11,4.825099774
536.9502,315.136,4.824199775
539.9502,315.17,4.823100172
542.9502,315.201,4.822699947
545.9502,315.234,4.821499779
548.9502,315.255,4.820200063
551.9502,315.293,4.819200008
554.9502,315.308,4.818300009
557.9502,315.351,4.816700124
560.9502,315.37,4.816299899
563.9502,315.384,4.8153999
566.9502,315.41,4.815100239
569.9502,315.431,4.814700014
572.9502,315.447,4.814000128
575.9502,315.456,4.813100129
578.9502,315.483,4.811699849
581.9502,315.512,4.81079985
584.9502,315.525,4.809899851
587.9502,315.531,4.808999852
590.9502,315.55,4.807900249
593.9502,315.583,4.807399967
596.9502,315.588,4.806600025
599.9502,315.581,4.805800082
602.9502,315.589,4.80500014
605.9502,315.609,4.804000085
608.9502,315.618,4.803000029
611.9502,315.621,4.801300088
614.9502,315.622,4.800999919
617.9502,315.632,4.800799807
620.9502,315.648,4.800300033
623.9502,315.652,4.799799752
626.9502,315.656,4.799299978
629.9502,315.674,4.798700148
632.9502,315.674,4.797999754
635.9502,315.681,4.797299868
638.9502,315.667,4.796700038
641.9502,315.671,4.796199756
644.9502,315.676,4.795200209
647.9502,315.679,4.794699928
650.9502,315.682,4.795000097
653.9502,315.67,4.794799984
656.9502,315.684,4.794399759
659.9502,315.676,4.794000041
662.9502,315.676,4.793400212
665.9502,315.676,4.793200099
668.9502,315.68,4.79289993
671.9502,315.669,4.792400156
674.9502,315.662,4.791899875
677.9502,315.648,4.791300045
680.9502,315.649,4.790999876
683.9502,315.649,4.790600159
686.9502,315.656,4.790600159
689.9502,315.632,4.790500103
692.9502,315.624,4.789500047
695.9502,315.62,4.788700105
698.9502,315.61,4.788600049
701.9502,315.607,4.788399936
704.9502,315.593,4.788000219
707.9502,315.569,4.787599994
710.9502,315.579,4.787199768
713.9502,315.571,4.786900107
716.9502,315.575,4.78629977
719.9502,315.55,4.786000109
722.9502,315.532,4.786000109
725.9502,315.526,4.785900052
728.9502,315.519,4.785599883
731.9502,315.501,4.785399771
734.9502,315.499,4.78510011
737.9502,315.477,4.784799941
740.9502,315.454,4.784699885
743.9502,315.448,4.784899997
746.9502,315.439,4.784699885
749.9502,315.422,4.784300167
752.9502,315.408,4.783799886
755.9502,315.393,4.782799831
758.9502,315.384,4.782300057
761.9502,315.362,4.781999888
764.9502,315.351,4.781799776
767.9502,315.344,4.781700227
770.9502,315.315,4.781799776
773.9502,315.317,4.781899832
776.9502,315.292,4.781700227
779.9502,315.282,4.781099889
782.9502,315.261,4.780500059
785.9502,315.255,4.779999778
788.9502,315.239,4.779500004
791.9502,315.233,4.778900174
794.9502,315.202,4.77819978
797.9502,315.181,4.777499894
800.9502,315.174,4.776699952
803.9502,315.165,4.776399783
806.9502,315.13,4.776300234
809.9502,315.126,4.776000065
812.9502,315.11,4.775900009
815.9502,315.091,4.77559984
818.9502,315.059,4.775100067
821.9502,315.064,4.774500237
824.9502,315.044,4.773099956
827.9502,315.009,4.771899789
830.9502,314.989,4.771600128
833.9502,315.008,4.77180024
836.9502,314.993,4.771600128
839.9502,314.946,4.771199903
842.9502,314.933,4.771199903
845.9502,314.914,4.77099979
848.9502,314.907,4.77099979
851.9502,314.88,4.771299959
854.9502,314.867,4.771299959
857.9502,314.844,4.771199903
860.9502,314.82,4.770900242
863.9502,314.809,4.770600073
866.9502,314.805,4.770099791
869.9502,314.782,4.769299849
872.9502,314.764,4.768800075
875.9502,314.747,4.76839985
878.9502,314.718,4.768000133
881.9502,314.695,4.76780002
884.9502,314.67,4.767900076
887.9502,314.664,4.767900076
890.9502,314.645,4.768100189
893.9502,314.628,4.768499906
896.9502,314.604,4.768700019
899.9502,314.595,4.768900131
902.9502,314.58,4.769199792
905.9502,314.554,4.769700074
908.9502,314.529,4.770000243
911.9502,314.534,4.770299904
914.9502,314.504,4.770500016
917.9502,314.498,4.770500016
920.9502,314.468,4.770500016
923.9502,314.469,4.770500016
926.9502,314.436,4.770500016
929.9502,314.412,4.77039996
932.9502,314.396,4.770299904
935.9502,314.379,4.770199847
938.9502,314.359,4.770099791
941.9502,314.346,4.770099791
944.9502,314.341,4.770000243
947.9502,314.308,4.770000243
950.9502,314.291,4.770000243
953.9502,314.269,4.770500016
956.9502,314.262,4.770800185
959.9502,314.241,4.770199847
962.9502,314.233,4.770000243
965.9502,314.225,4.770000243
968.9502,314.203,4.769700074
971.9502,314.18,4.769100244
974.9502,314.179,4.769000188
977.9502,314.153,4.769000188
980.9502,314.135,4.769000188
983.9502,314.117,4.769000188
986.9502,314.092,4.768900131
989.9502,314.09,4.769000188
992.9502,314.085,4.769199792
995.9502,314.052,4.769299849
998.9502,314.046,4.769199792
1001.9502,314.03,4.769100244
1004.9502,314.025,4.769100244
1007.9502,313.994,4.769100244
1010.9502,313.96,4.769100244
1013.9502,313.967,4.769000188
1016.9502,313.956,4.768900131
1019.9502,313.945,4.768599962
1022.9502,313.935,4.768499906
1025.9502,313.911,4.768499906
1028.9502,313.896,4.768499906
1031.9502,313.874,4.768499906
1034.9502,313.863,4.76839985
1037.9502,313.849,4.768299794
1040.9502,313.848,4.768299794
1043.9502,313.823,4.768299794
1046.9502,313.81,4.768299794
1049.9502,313.801,4.768299794
1052.9502,313.798,4.768200245
1055.9502,313.779,4.768200245
1058.9502,313.751,4.768100189
1061.9502,313.726,4.768100189
1064.9502,313.724,4.767900076
1067.9502,313.704,4.767699964
1070.9502,313.674,4.767300246
1073.9502,313.683,4.766599852
1076.9502,313.674,4.765899966
1079.9502,313.651,4.765400192
1082.9502,313.643,4.765400192
1085.9502,313.639,4.764999967
1088.9502,313.617,4.764899911
1091.9502,313.611,4.764999967
1094.9502,313.608,4.764899911
1097.9502,313.604,4.764799855
1100.9502,313.589,4.764699798
1103.9502,313.581,4.76460025
1106.9502,313.584,4.764699798
1109.9502,313.561,4.764899911
1112.9502,313.54,4.765300136
1115.9502,313.526,4.765500249
1118.9502,313.51,4.765500249
1121.9502,313.513,4.765599797
1124.9502,313.507,4.765599797
1127.9502,313.493,4.765599797
1130.9502,313.477,4.765699853
1133.9502,313.486,4.765699853
1136.9502,313.46,4.765699853
1139.9502,313.437,4.765699853
1142.9502,313.441,4.765699853
1145.9502,313.431,4.765699853
1148.9502,313.441,4.765500249
1151.9502,313.415,4.765500249
1154.9502,313.411,4.765500249
1157.9502,313.403,4.765500249
1160.9502,313.384,4.765500249
1163.9502,313.387,4.765500249
1166.9502,313.377,4.765500249
1169.9502,313.37,4.765500249
1172.9502,313.374,4.765500249
1175.9502,313.362,4.765500249
1178.9502,313.337,4.765500249
1181.9502,313.341,4.765500249
1184.9502,313.341,4.765500249
1187.9502,313.316,4.765500249
1190.9502,313.308,4.764099968
1193.9502,313.3,4.763400082
1196.9502,313.296,4.76319997
1199.9502,313.285,4.763099913
1202.9502,313.277,4.762899801
1205.9502,313.268,4.762800252
1208.9502,313.257,4.762700196
1211.9502,313.268,4.762500083
1214.9502,313.245,4.762400027
1217.9502,313.24,4.762199915
1220.9502,313.238,4.762099858
1223.9502,313.234,4.761999802
1226.9502,313.234,4.761800197
1229.9502,313.214,4.761700141
1232.9502,313.209,4.761500028
1235.9502,313.214,4.761399972
1238.9502,313.189,4.761299916
1241.9502,313.188,4.761099803
1244.9502,313.195,4.760999747
1247.9502,313.185,4.760900198
1250.9502,313.178,4.760800142
1253.9502,313.169,4.760700086
1256.9502,313.169,4.76060003
1259.9502,313.156,4.76060003
1262.9502,313.169,4.76060003
1265.9502,313.146,4.760499973
1268.9502,313.14,4.760499973
1271.9502,313.146,4.760499973
1274.9502,313.128,4.760499973
1277.9502,313.108,4.760499973
1280.9502,313.116,4.760499973
1283.9502,313.104,4.760499973
1286.9502,313.116,4.760499973
1289.9502,313.107,4.760499973
1292.9502,313.106,4.760399917
1295.9502,313.087,4.760299861
1298.9502,313.081,4.760299861
1301.9502,313.092,4.760199804
1304.9502,313.075,4.760199804
1307.9502,313.066,4.760099748
1310.9502,313.087,4.7600002
1313.9502,313.064,4.7600002
1316.9502,313.06,4.759900143
1319.9502,313.07,4.759800087
1322.9502,313.075,4.759100201
1325.9502,313.048,4.759599974
1328.9502,313.054,4.759700031
1331.9502,313.04,4.759599974
1334.9502,313.037,4.759399862
1337.9502,313.04,4.759299806
1340.9502,313.04,4.759199749
1343.9502,313.04,4.759100201
1346.9502,313.031,4.758900088
1349.9502,313.023,4.758900088
1352.9502,313.045,4.758699976
1355.9502,313.026,4.758599919
1358.9502,313.033,4.758499863
1361.9502,313.019,4.758599919
1364.9502,313.025,4.758599919
1367.9502,313.017,4.758599919
1370.9502,313.015,4.758599919
1373.9502,313.019,4.758499863
1376.9502,313.01,4.758800032
1379.9502,313.013,4.759499918
1382.9502,313.022,4.759599974
1385.9502,313.01,4.759599974
1388.9502,313.004,4.759499918
1391.9502,312.996,4.759499918
1394.9502,313.009,4.760800142
1397.9502,312.995,4.761299916
1400.9502,312.996,4.761500028
1403.9502,312.992,4.761800197
1406.9502,312.978,4.761999802
1409.9502,312.995,4.762099858
1412.9502,313.002,4.762099858
1415.9502,312.987,4.761999802
1418.9502,312.982,4.761999802
1421.9502,312.991,4.761999802
1424.9502,312.978,4.761999802
1427.9502,312.98,4.761999802
1430.9502,312.977,4.761999802
1433.9502,312.982,4.761700141
1436.9502,312.978,4.761600085
1439.9502,312.981,4.761600085
1442.9502,312.974,4.761700141
1445.9502,312.985,4.761800197
1448.9502,312.968,4.761900254
