Time(s),Temperature (K),Mass (mg)
2498.1498,410.527,4.729499789
2498.4498,410.59,4.729499789
2498.7498,410.646,4.729499789
2499.0498,410.71,4.729499789
2499.3498,410.76099,4.729499789
2499.6498,410.833,4.729499789
2499.9498,410.885,4.729499789
2500.2498,410.95099,4.729499789
2500.5498,411.01,4.729499789
2500.8498,411.064,4.729499789
2501.1498,411.126,4.729499789
2501.4498,411.178,4.729499789
2501.7498,411.232,4.729499789
2502.0498,411.295,4.729499789
2502.3498,411.363,4.729499789
2502.6498,411.421,4.729499789
2502.9498,411.48,4.729499789
2503.2498,411.532,4.729499789
2503.5498,411.592,4.729499789
2503.8498,411.65301,4.729499789
2504.1498,411.7,4.729499789
2504.4498,411.762,4.729499789
2504.7498,411.829,4.729499789
2505.0498,411.88199,4.729499789
2505.3498,411.933,4.729499789
2505.6498,412.00001,4.729499789
2505.9498,412.05601,4.729499789
2506.2498,412.116,4.729499789
2506.5498,412.169,4.729499789
2506.8498,412.241,4.729499789
2507.1498,412.286,4.729499789
2507.4498,412.353,4.729499789
2507.7498,412.404,4.729499789
2508.0498,412.47001,4.729499789
2508.3498,412.529,4.729499789
2508.6498,412.59099,4.729499789
2508.9498,412.65101,4.729499789
2509.2498,412.70901,4.729499789
2509.5498,412.76501,4.729499789
2509.8498,412.829,4.729499789
2510.1498,412.881,4.729499789
2510.4498,412.93799,4.729499789
2510.7498,413.004,4.729499789
2511.0498,413.049,4.729499789
2511.3498,413.117,4.729499789
2511.6498,413.16801,4.729499789
2511.9498,413.234,4.729499789
2512.2498,413.294,4.729499789
2512.5498,413.34099,4.729499789
2512.8498,413.404,4.729499789
2513.1498,413.48,4.729499789
2513.4498,413.529,4.729499789
2513.7498,413.585,4.729499789
2514.0498,413.65301,4.729499789
2514.3498,413.714,4.729499789
2514.6498,413.762,4.729499789
2514.9498,413.818,4.729499789
2515.2498,413.876,4.729499789
2515.5498,413.949,4.729499789
2515.8498,413.997,4.729499789
2516.1498,414.06,4.729499789
2516.4498,414.11001,4.729499789
2516.7498,414.17901,4.729499789
2517.0498,414.225,4.729499789
2517.3498,414.283,4.729499789
2517.6498,414.34099,4.729499789
2517.9498,414.398,4.729499789
2518.2498,414.45701,4.729499789
2518.5498,414.516,4.729499789
2518.8498,414.566,4.729499789
2519.1498,414.64001,4.729499789
2519.4498,414.687,4.729499789
2519.7498,414.749,4.729499789
2520.0498,414.79999,4.729499789
2520.3498,414.85599,4.729499789
2520.6498,414.934,4.729499789
2520.9498,414.97201,4.729499789
2521.2498,415.04101,4.729499789
2521.5498,415.10399,4.729499789
2521.8498,415.159,4.729499789
2522.1498,415.214,4.729499789
2522.4498,415.27399,4.729499789
2522.7498,415.344,4.729499789
2523.0498,415.392,4.729499789
2523.3498,415.445,4.729499789
2523.6498,415.51099,4.729499789
2523.9498,415.561,4.729499789
2524.2498,415.614,4.729499789
2524.5498,415.665,4.729499789
2524.8498,415.738,4.729499789
2525.1498,415.79999,4.729499789
2525.4498,415.853,4.729499789
2525.7498,415.902,4.729499789
2526.0498,415.962,4.729499789
2526.3498,416.033,4.729499789
2526.6498,416.08201,4.729499789
2526.9498,416.148,4.729499789
2527.2498,416.19201,4.729499789
2527.5498,416.26501,4.729499789
2527.8498,416.31,4.729499789
2528.1498,416.372,4.729499789
2528.4498,416.434,4.729499789
2528.7498,416.492,4.729499789
2529.0498,416.557,4.729499789
2529.3498,416.616,4.729499789
2529.6498,416.671,4.729499789
2529.9498,416.72899,4.729499789
2530.2498,416.78499,4.729499789
2530.5498,416.848,4.729499789
2530.8498,416.896,4.729499789
2531.1498,416.958,4.729499789
2531.4498,417.018,4.729499789
2531.7498,417.079,4.729499789
2532.0498,417.131,4.729499789
2532.3498,417.18999,4.729499789
2532.6498,417.25001,4.729499789
2532.9498,417.303,4.729499789
2533.2498,417.366,4.729499789
2533.5498,417.42,4.729499789
2533.8498,417.48099,4.729499789
2534.1498,417.54301,4.729499789
2534.4498,417.59901,4.729499789
2534.7498,417.65301,4.729499789
2535.0498,417.70701,4.729499789
2535.3498,417.77399,4.729499789
2535.6498,417.837,4.729499789
2535.9498,417.885,4.729499789
2536.2498,417.943,4.729499789
2536.5498,418.005,4.729499789
2536.8498,418.06901,4.729499789
2537.1498,418.11899,4.729499789
2537.4498,418.186,4.729499789
2537.7498,418.243,4.729499789
2538.0498,418.29999,4.729499789
2538.3498,418.35399,4.729499789
2538.6498,418.4,4.729499789
2538.9498,418.46799,4.729499789
2539.2498,418.523,4.729499789
2539.5498,418.58401,4.729499789
2539.8498,418.629,4.729499789
2540.1498,418.684,4.729499789
2540.4498,418.75899,4.729499789
2540.7498,418.81901,4.729499789
2541.0498,418.867,4.729499789
2541.3498,418.921,4.729499789
2541.6498,418.978,4.729499789
2541.9498,419.034,4.729499789
2542.2498,419.09901,4.729499789
2542.5498,419.156,4.729499789
2542.8498,419.208,4.729499789
2543.1498,419.266,4.729499789
2543.4498,419.32,4.729499789
2543.7498,419.38801,4.729499789
2544.0498,419.448,4.729499789
2544.3498,419.489,4.729499789
2544.6498,419.54999,4.729499789
2544.9498,419.60599,4.729499789
2545.2498,419.67299,4.729499789
2545.5498,419.71799,4.729499789
2545.8498,419.782,4.729499789
2546.1498,419.83201,4.729499789
2546.4498,419.895,4.729499789
2546.7498,419.963,4.729499789
2547.0498,420.018,4.729499789
2547.3498,420.073,4.729499789
2547.6498,420.13599,4.729499789
2547.9498,420.19401,4.729499789
2548.2498,420.25699,4.729499789
2548.5498,420.307,4.729499789
2548.8498,420.37099,4.729499789
2549.1498,420.411,4.729499789
2549.4498,420.471,4.729499789
2549.7498,420.52801,4.729499789
2550.0498,420.596,4.729499789
2550.3498,420.639,4.729499789
2550.6498,420.70901,4.729499789
2550.9498,420.768,4.729499789
2551.2498,420.833,4.729499789
2551.5498,420.88599,4.729499789
2551.8498,420.949,4.729499789
2552.1498,420.986,4.729499789
2552.4498,421.04799,4.729499789
2552.7498,421.12,4.729499789
2553.0498,421.17699,4.729499789
2553.3498,421.23099,4.729499789
2553.6498,421.288,4.729499789
2553.9498,421.35399,4.729499789
2554.2498,421.396,4.72940024
2554.5498,421.456,4.729300184
2554.8498,421.50201,4.729100072
2555.1498,421.57,4.728899959
2555.4498,421.62501,4.728699846
2555.7498,421.684,4.728500242
2556.0498,421.74,4.728300129
2556.3498,421.792,4.728100016
2556.6498,421.859,4.72799996
2556.9498,421.913,4.727899904
2557.2498,421.95701,4.727799848
2557.5498,422.018,4.727799848
2557.8498,422.081,4.727699791
2558.1498,422.139,4.727600243
2558.4498,422.19601,4.727600243
2558.7498,422.24801,4.727600243
2559.0498,422.312,4.727500187
2559.3498,422.357,4.727500187
2559.6498,422.41401,4.727500187
2559.9498,422.465,4.727500187
2560.2498,422.52199,4.727500187
2560.5498,422.587,4.727500187
2560.8498,422.64001,4.72740013
2561.1498,422.70099,4.72740013
2561.4498,422.75699,4.72740013
2561.7498,422.82101,4.72740013
2562.0498,422.876,4.72740013
2562.3498,422.92499,4.72740013
2562.6498,422.99399,4.72740013
2562.9498,423.034,4.72740013
2563.2498,423.09701,4.72740013
2563.5498,423.163,4.72740013
2563.8498,423.204,4.72740013
2564.1498,423.27,4.72740013
2564.4498,423.323,4.72740013
2564.7498,423.376,4.72740013
2565.0498,423.436,4.72740013
2565.3498,423.49,4.72740013
2565.6498,423.562,4.72740013
2565.9498,423.61201,4.727300074
2566.2498,423.663,4.727300074
2566.5498,423.72899,4.727300074
2566.8498,423.777,4.727300074
2567.1498,423.82999,4.727300074
2567.4498,423.90301,4.727300074
2567.7498,423.95299,4.727300074
2568.0498,424.016,4.727300074
2568.3498,424.07101,4.727300074
2568.6498,424.126,4.727300074
2568.9498,424.171,4.727300074
2569.2498,424.22899,4.727300074
2569.5498,424.286,4.727300074
2569.8498,424.351,4.727300074
2570.1498,424.39899,4.727300074
2570.4498,424.452,4.727300074
2570.7498,424.51,4.727300074
2571.0498,424.573,4.727300074
2571.3498,424.629,4.727300074
2571.6498,424.685,4.727300074
2571.9498,424.73299,4.727300074
2572.2498,424.79301,4.727099961
2572.5498,424.84501,4.727099961
2572.8498,424.906,4.727099961
2573.1498,424.96,4.727099961
2573.4498,425.01501,4.727099961
2573.7498,425.08401,4.727099961
2574.0498,425.13,4.727099961
2574.3498,425.18799,4.727099961
2574.6498,425.24801,4.727099961
2574.9498,425.299,4.727099961
2575.2498,425.367,4.727099961
2575.5498,425.419,4.727099961
2575.8498,425.476,4.727099961
2576.1498,425.525,4.727099961
2576.4498,425.57599,4.727099961
2576.7498,425.633,4.727099961
2577.0498,425.689,4.727099961
2577.3498,425.762,4.727099961
2577.6498,425.808,4.727099961
2577.9498,425.87301,4.727099961
2578.2498,425.932,4.727099961
2578.5498,425.98,4.726999905
2578.8498,426.031,4.726999905
2579.1498,426.09099,4.726999905
2579.4498,426.14001,4.726999905
2579.7498,426.199,4.726999905
2580.0498,426.253,4.726999905
2580.3498,426.31299,4.726999905
2580.6498,426.368,4.726999905
2580.9498,426.42499,4.726999905
2581.2498,426.475,4.726999905
2581.5498,426.54,4.726999905
2581.8498,426.588,4.726999905
2582.1498,426.646,4.726999905
2582.4498,426.71599,4.726999905
2582.7498,426.768,4.726999905
2583.0498,426.829,4.726999905
2583.3498,426.881,4.726999905
2583.6498,426.93,4.726999905
2583.9498,426.98501,4.726999905
2584.2498,427.046,4.726999905
2584.5498,427.1,4.726999905
2584.8498,427.152,4.726999905
2585.1498,427.20901,4.726899849
2585.4498,427.267,4.726899849
2585.7498,427.318,4.726899849
2586.0498,427.376,4.726899849
2586.3498,427.443,4.726899849
2586.6498,427.491,4.726899849
2586.9498,427.545,4.726899849
2587.2498,427.60799,4.726899849
2587.5498,427.661,4.726799792
2587.8498,427.71599,4.726799792
2588.1498,427.77601,4.726799792
2588.4498,427.824,4.726799792
2588.7498,427.883,4.726799792
2589.0498,427.935,4.726799792
2589.3498,427.984,4.726799792
2589.6498,428.02801,4.726799792
2589.9498,428.107,4.726799792
2590.2498,428.159,4.726799792
2590.5498,428.211,4.726799792
2590.8498,428.269,4.726799792
2591.1498,428.325,4.726799792
2591.4498,428.38599,4.726700244
2591.7498,428.42699,4.726600188
2592.0498,428.482,4.726500131
2592.3498,428.54799,4.726400075
2592.6498,428.59701,4.726300019
2592.9498,428.659,4.726300019
2593.2498,428.712,4.726199963
2593.5498,428.77399,4.726099906
2593.8498,428.825,4.726099906
2594.1498,428.88199,4.72599985
2594.4498,428.936,4.72599985
2594.7498,428.98501,4.725899794
2595.0498,429.055,4.725899794
2595.3498,429.09701,4.725899794
2595.6498,429.157,4.725899794
2595.9498,429.219,4.725800245
2596.2498,429.268,4.725800245
2596.5498,429.323,4.725800245
2596.8498,429.38,4.725800245
2597.1498,429.435,4.725800245
2597.4498,429.492,4.725800245
2597.7498,429.54799,4.725700189
2598.0498,429.601,4.725600133
2598.3498,429.65999,4.725600133
2598.6498,429.702,4.725600133
2598.9498,429.76099,4.725600133
2599.2498,429.827,4.725600133
2599.5498,429.879,4.725600133
2599.8498,429.937,4.725600133
2600.1498,430.003,4.725600133
2600.4498,430.055,4.725500076
2600.7498,430.109,4.725500076
2601.0498,430.16601,4.725500076
2601.3498,430.214,4.725500076
2601.6498,430.275,4.725500076
2601.9498,430.327,4.725500076
2602.2498,430.379,4.725500076
2602.5498,430.436,4.725500076
2602.8498,430.497,4.725500076
2603.1498,430.546,4.72540002
2603.4498,430.598,4.72540002
2603.7498,430.65101,4.72540002
2604.0498,430.71599,4.72540002
2604.3498,430.766,4.725299964
2604.6498,430.81701,4.725299964
2604.9498,430.864,4.725299964
2605.2498,430.935,4.725299964
2605.5498,430.99,4.725299964
2605.8498,431.047,4.725299964
2606.1498,431.102,4.725199907
2606.4498,431.156,4.725199907
2606.7498,431.211,4.725099851
2607.0498,431.266,4.724900246
2607.3498,431.31901,4.72480019
2607.6498,431.364,4.724700134
2607.9498,431.42699,4.724600078
2608.2498,431.49,4.724500021
2608.5498,431.54101,4.724399965
2608.8498,431.586,4.724199852
2609.1498,431.646,4.724099796
2609.4498,431.702,4.724099796
2609.7498,431.75899,4.724000248
2610.0498,431.81901,4.724000248
2610.3498,431.86899,4.723900191
2610.6498,431.92901,4.723900191
2610.9498,431.98,4.723900191
2611.2498,432.032,4.723800135
2611.5498,432.09901,4.723800135
2611.8498,432.145,4.723700079
2612.1498,432.197,4.723700079
2612.4498,432.258,4.723700079
2612.7498,432.322,4.723600022
2613.0498,432.368,4.723600022
2613.3498,432.422,4.723600022
2613.6498,432.475,4.723600022
2613.9498,432.52801,4.723600022
2614.2498,432.585,4.723600022
2614.5498,432.637,4.723499966
2614.8498,432.69401,4.723499966
2615.1498,432.747,4.72339991
2615.4498,432.797,4.72339991
2615.7498,432.85,4.72339991
2616.0498,432.909,4.72339991
2616.3498,432.965,4.72339991
2616.6498,433.008,4.72339991
2616.9498,433.066,4.72339991
2617.2498,433.11899,4.72339991
2617.5498,433.17901,4.723199797
2617.8498,433.23,4.723199797
2618.1498,433.28499,4.723199797
2618.4498,433.344,4.723199797
2618.7498,433.40101,4.723199797
2619.0498,433.45499,4.723199797
2619.3498,433.516,4.723199797
2619.6498,433.54799,4.723199797
2619.9498,433.616,4.723199797
2620.2498,433.682,4.723100249
2620.5498,433.72899,4.723000193
2620.8498,433.784,4.723000193
2621.1498,433.848,4.723000193
2621.4498,433.89899,4.723000193
2621.7498,433.94401,4.723000193
2622.0498,434.008,4.723000193
2622.3498,434.055,4.723000193
2622.6498,434.107,4.722900136
2622.9498,434.16199,4.722900136
2623.2498,434.221,4.722900136
2623.5498,434.275,4.722900136
2623.8498,434.331,4.722900136
2624.1498,434.385,4.72280008
2624.4498,434.448,4.722700024
2624.7498,434.504,4.722599967
2625.0498,434.546,4.722399855
2625.3498,434.605,4.722299798
2625.6498,434.66601,4.722100194
2625.9498,434.72001,4.722000137
2626.2498,434.76099,4.721900081
2626.5498,434.823,4.721800025
2626.8498,434.881,4.721699969
2627.1498,434.937,4.721599912
2627.4498,434.992,4.721499856
2627.7498,435.03901,4.7213998
2628.0498,435.07999,4.7213998
2628.3498,435.13599,4.721300251
2628.6498,435.204,4.721300251
2628.9498,435.251,4.721200195
2629.2498,435.30199,4.721200195
2629.5498,435.37099,4.721100139
2629.8498,435.411,4.721100139
2630.1498,435.476,4.721000082
2630.4498,435.533,4.721000082
2630.7498,435.59501,4.721000082
2631.0498,435.64699,4.720900026
2631.3498,435.70901,4.720900026
2631.6498,435.75201,4.720900026
2631.9498,435.814,4.72079997
2632.2498,435.851,4.72079997
2632.5498,435.909,4.72079997
2632.8498,435.95299,4.720699913
2633.1498,436.014,4.720699913
2633.4498,436.062,4.720699913
2633.7498,436.114,4.720599857
2634.0498,436.167,4.720599857
2634.3498,436.23501,4.720599857
2634.6498,436.29,4.720499801
2634.9498,436.34701,4.720499801
2635.2498,436.389,4.720499801
2635.5498,436.452,4.720400252
2635.8498,436.512,4.720400252
2636.1498,436.56701,4.720300196
2636.4498,436.62099,4.720300196
2636.7498,436.66401,4.720300196
2637.0498,436.71799,4.72020014
2637.3498,436.771,4.72020014
2637.6498,436.822,4.72020014
2637.9498,436.87501,4.720100084
2638.2498,436.933,4.720100084
2638.5498,436.997,4.720100084
2638.8498,437.055,4.720000027
2639.1498,437.10599,4.720000027
2639.4498,437.144,4.720000027
2639.7498,437.202,4.719899971
2640.0498,437.262,4.719799915
2640.3498,437.31901,4.719799915
2640.6498,437.361,4.719699858
2640.9498,437.42299,4.719599802
2641.2498,437.47201,4.719599802
2641.5498,437.52801,4.719500254
2641.8498,437.586,4.719500254
2642.1498,437.63399,4.719400197
2642.4498,437.691,4.719400197
2642.7498,437.75201,4.719300141
2643.0498,437.79799,4.719300141
2643.3498,437.846,4.719200085
2643.6498,437.89699,4.719200085
2643.9498,437.95901,4.719100028
2644.2498,438.012,4.719100028
2644.5498,438.072,4.719100028
2644.8498,438.12301,4.718999972
2645.1498,438.176,4.718999972
2645.4498,438.23099,4.718899916
2645.7498,438.296,4.718899916
2646.0498,438.346,4.718899916
2646.3498,438.39001,4.71879986
2646.6498,438.435,4.71879986
2646.9498,438.503,4.718699803
2647.2498,438.562,4.718699803
2647.5498,438.61899,4.718699803
2647.8498,438.66601,4.718599747
2648.1498,438.717,4.718599747
2648.4498,438.77801,4.718500199
2648.7498,438.827,4.718500199
2649.0498,438.878,4.718500199
2649.3498,438.924,4.718400142
2649.6498,438.98299,4.718400142
2649.9498,439.036,4.718300086
2650.2498,439.09701,4.718300086
2650.5498,439.145,4.718300086
2650.8498,439.19601,4.71820003
2651.1498,439.249,4.71820003
2651.4498,439.311,4.718099973
2651.7498,439.355,4.718099973
2652.0498,439.411,4.718099973
2652.3498,439.467,4.717999917
2652.6498,439.516,4.717999917
2652.9498,439.575,4.717899861
2653.2498,439.637,4.717899861
2653.5498,439.693,4.717899861
2653.8498,439.739,4.717799804
2654.1498,439.78901,4.717799804
2654.4498,439.844,4.717799804
2654.7498,439.90301,4.717699748
2655.0498,439.965,4.717699748
2655.3498,440.00201,4.7176002
2655.6498,440.057,4.7176002
2655.9498,440.116,4.7176002
2656.2498,440.16601,4.7176002
2656.5498,440.213,4.7176002
2656.8498,440.273,4.717500143
2657.1498,440.32101,4.717500143
2657.4498,440.378,4.717500143
2657.7498,440.435,4.717500143
2658.0498,440.482,4.717500143
2658.3498,440.54301,4.717400087
2658.6498,440.6,4.717400087
2658.9498,440.644,4.717400087
2659.2498,440.7,4.717300031
2659.5498,440.75699,4.717300031
2659.8498,440.814,4.717300031
2660.1498,440.86201,4.717199975
2660.4498,440.905,4.717199975
2660.7498,440.96799,4.717199975
2661.0498,441.019,4.717099918
2661.3498,441.075,4.717099918
2661.6498,441.128,4.717099918
2661.9498,441.183,4.716999862
2662.2498,441.228,4.716999862
2662.5498,441.27399,4.716999862
2662.8498,441.335,4.716899806
2663.1498,441.39001,4.716899806
2663.4498,441.436,4.716899806
2663.7498,441.497,4.716799749
2664.0498,441.545,4.716799749
2664.3498,441.59901,4.716799749
2664.6498,441.648,4.716700201
2664.9498,441.71,4.716700201
2665.2498,441.77,4.716600145
2665.5498,441.816,4.716600145
2665.8498,441.866,4.716600145
2666.1498,441.92901,4.716500088
2666.4498,441.976,4.716500088
2666.7498,442.032,4.716500088
2667.0498,442.075,4.716400032
2667.3498,442.13,4.716400032
2667.6498,442.184,4.716400032
2667.9498,442.242,4.716299976
2668.2498,442.297,4.716299976
2668.5498,442.35399,4.716299976
2668.8498,442.406,4.716299976
2669.1498,442.45,4.716500088
2669.4498,442.501,4.716600145
2669.7498,442.55601,4.716700201
2670.0498,442.618,4.716700201
2670.3498,442.676,4.716899806
2670.6498,442.721,4.716899806
2670.9498,442.779,4.716899806
2671.2498,442.824,4.716899806
2671.5498,442.872,4.716899806
2671.8498,442.933,4.716899806
2672.1498,442.98299,4.716899806
2672.4498,443.042,4.716799749
2672.7498,443.103,4.716899806
2673.0498,443.14899,4.716799749
2673.3498,443.20299,4.716799749
2673.6498,443.24599,4.716700201
2673.9498,443.301,4.716700201
2674.2498,443.365,4.716700201
2674.5498,443.41401,4.716700201
2674.8498,443.462,4.716600145
2675.1498,443.533,4.716400032
2675.4498,443.57101,4.716299976
2675.7498,443.626,4.716199919
2676.0498,443.67299,4.716099863
2676.3498,443.73701,4.715899751
2676.6498,443.77601,4.715899751
2676.9498,443.82999,4.715800202
2677.2498,443.88199,4.715700146
2677.5498,443.948,4.71560009
2677.8498,443.99599,4.715500033
2678.1498,444.049,4.715500033
2678.4498,444.092,4.715399977
2678.7498,444.152,4.715299921
2679.0498,444.214,4.715199864
2679.3498,444.26301,4.715099808
2679.6498,444.31901,4.714999752
2679.9498,444.365,4.714900203
2680.2498,444.422,4.714900203
2680.5498,444.471,4.714800147
2680.8498,444.53,4.714700091
2681.1498,444.585,4.714600034
2681.4498,444.631,4.714499978
2681.7498,444.68101,4.714499978
2682.0498,444.74399,4.714399922
2682.3498,444.79999,4.714299866
2682.6498,444.84299,4.714199809
2682.9498,444.90301,4.714099753
2683.2498,444.958,4.714099753
2683.5498,444.995,4.714000205
2683.8498,445.049,4.713900148
2684.1498,445.115,4.714000205
2684.4498,445.169,4.713900148
2684.7498,445.21599,4.713900148
2685.0498,445.271,4.713800092
2685.3498,445.333,4.713700036
2685.6498,445.37701,4.713700036
2685.9498,445.42901,4.713599979
2686.2498,445.473,4.713499923
2686.5498,445.544,4.713499923
2686.8498,445.585,4.713399867
2687.1498,445.641,4.71329981
2687.4498,445.689,4.71329981
2687.7498,445.74,4.713199754
2688.0498,445.792,4.713199754
2688.3498,445.835,4.713199754
2688.6498,445.90301,4.713100206
2688.9498,445.95901,4.713100206
2689.2498,446.001,4.713000149
2689.5498,446.05199,4.712900093
2689.8498,446.107,4.712900093
2690.1498,446.157,4.712800037
2690.4498,446.20901,4.712800037
2690.7498,446.268,4.712699981
2691.0498,446.324,4.712599924
2691.3498,446.37501,4.712599924
2691.6498,446.432,4.712499868
2691.9498,446.488,4.712599924
2692.2498,446.54101,4.712499868
2692.5498,446.58401,4.712399812
2692.8498,446.64899,4.712399812
2693.1498,446.693,4.712299755
2693.4498,446.74599,4.712299755
2693.7498,446.78901,4.712200207
2694.0498,446.85,4.712200207
2694.3498,446.889,4.712100151
2694.6498,446.954,4.712000094
2694.9498,446.99399,4.712000094
2695.2498,447.057,4.711900038
2695.5498,447.105,4.711900038
2695.8498,447.159,4.711900038
2696.1498,447.21599,4.711900038
2696.4498,447.26,4.711799982
2696.7498,447.31701,4.711699925
2697.0498,447.36899,4.711699925
2697.3498,447.42299,4.711599869
2697.6498,447.478,4.711499813
2697.9498,447.52801,4.711399757
2698.2498,447.56901,4.711300208
2698.5498,447.628,4.711300208
2698.8498,447.685,4.711200152
2699.1498,447.739,4.711100096
2699.4498,447.794,4.711000039
2699.7498,447.84501,4.711000039
2700.0498,447.90101,4.711000039
2700.3498,447.962,4.710899983
2700.6498,448.004,4.710799927
2700.9498,448.05199,4.71069987
2701.2498,448.118,4.71069987
2701.5498,448.16199,4.710599814
2701.8498,448.213,4.710499758
2702.1498,448.264,4.710400209
2702.4498,448.324,4.710400209
2702.7498,448.36201,4.710300153
2703.0498,448.41601,4.710200097
2703.3498,448.467,4.710300153
2703.6498,448.516,4.710200097
2703.9498,448.583,4.71010004
2704.2498,448.639,4.709999984
2704.5498,448.684,4.709999984
2704.8498,448.72401,4.709899928
2705.1498,448.78499,4.709799872
2705.4498,448.833,4.709699815
2705.7498,448.89001,4.709699815
2706.0498,448.932,4.709599759
2706.3498,448.997,4.709500211
2706.6498,449.046,4.709400154
2706.9498,449.09299,4.709400154
2707.2498,449.161,4.709400154
2707.5498,449.2,4.709300098
2707.8498,449.247,4.709200042
2708.1498,449.31,4.709099985
2708.4498,449.34701,4.709099985
2708.7498,449.40101,4.708899873
2709.0498,449.461,4.708899873
2709.3498,449.514,4.708799816
2709.6498,449.562,4.70869976
2709.9498,449.62099,4.708600212
2710.2498,449.66801,4.708500155
2710.5498,449.72401,4.708400099
2710.8498,449.777,4.708300043
2711.1498,449.81499,4.708300043
2711.4498,449.879,4.708199987
2711.7498,449.936,4.70809993
2712.0498,449.989,4.707999874
2712.3498,450.03499,4.707799761
2712.6498,450.08401,4.707700213
2712.9498,450.139,4.707600157
2713.2498,450.189,4.707400044
2713.5498,450.24399,4.707299988
2713.8498,450.295,4.707099875
2714.1498,450.352,4.706999819
2714.4498,450.395,4.706800214
2714.7498,450.45,4.706700158
2715.0498,450.50001,4.706600102
2715.3498,450.54301,4.706399989
2715.6498,450.598,4.706299933
2715.9498,450.645,4.706299933
2716.2498,450.70299,4.706199876
2716.5498,450.75899,4.70609982
2716.8498,450.814,4.705999764
2717.1498,450.86201,4.705800159
2717.4498,450.922,4.705700103
2717.7498,450.961,4.705600046
2718.0498,451.029,4.70549999
2718.3498,451.07599,4.705399934
2718.6498,451.122,4.705299878
2718.9498,451.185,4.705199821
2719.2498,451.22899,4.705099765
2719.5498,451.288,4.705000217
2719.8498,451.34299,4.70490016
2720.1498,451.381,4.704800104
2720.4498,451.44601,4.704599991
2720.7498,451.489,4.704499935
2721.0498,451.54,4.704399879
2721.3498,451.6,4.704299822
2721.6498,451.656,4.704199766
2721.9498,451.70099,4.704000161
2722.2498,451.756,4.703900105
2722.5498,451.805,4.703699993
2722.8498,451.85399,4.70349988
2723.1498,451.911,4.703299767
2723.4498,451.95099,4.703100163
2723.7498,452.018,4.702799994
2724.0498,452.072,4.702599881
2724.3498,452.109,4.70230022
2724.6498,452.17,4.702000051
2724.9498,452.22001,4.701799939
2725.2498,452.27801,4.701599826
2725.5498,452.323,4.701300165
2725.8498,452.387,4.701100052
2726.1498,452.43,4.700999996
2726.4498,452.484,4.700799884
2726.7498,452.54,4.700699827
2727.0498,452.585,4.700699827
2727.3498,452.631,4.700500223
2727.6498,452.69401,4.700500223
2727.9498,452.749,4.70030011
2728.2498,452.795,4.70030011
2728.5498,452.842,4.70030011
2728.8498,452.90101,4.70030011
2729.1498,452.945,4.700200054
2729.4498,452.991,4.700099997
2729.7498,453.055,4.700099997
2730.0498,453.105,4.699999941
2730.3498,453.152,4.699899885
2730.6498,453.199,4.699899885
2730.9498,453.262,4.699799828
2731.2498,453.31701,4.699600224
2731.5498,453.364,4.699600224
2731.8498,453.422,4.699500167
2732.1498,453.47899,4.699300055
2732.4498,453.52801,4.699300055
2732.7498,453.58401,4.699199999
2733.0498,453.63399,4.699099942
2733.3498,453.686,4.69889983
2733.6498,453.74399,4.69889983
2733.9498,453.794,4.698799773
2734.2498,453.842,4.698600169
2734.5498,453.893,4.698500112
2734.8498,453.941,4.698500112
2735.1498,453.991,4.698400056
2735.4498,454.051,4.6983
2735.7498,454.09501,4.698199943
2736.0498,454.15,4.697999831
2736.3498,454.193,4.697999831
2736.6498,454.245,4.697899775
2736.9498,454.29999,4.697800226
2737.2498,454.34,4.697800226
2737.5498,454.40301,4.69770017
2737.8498,454.46,4.69770017
2738.1498,454.505,4.697600114
2738.4498,454.559,4.697600114
2738.7498,454.61201,4.697500057
2739.0498,454.657,4.697400001
2739.3498,454.717,4.697400001
2739.6498,454.771,4.697299945
2739.9498,454.82101,4.697199888
2740.2498,454.876,4.697199888
2740.5498,454.93,4.697099832
2740.8498,454.971,4.696999776
2741.1498,455.02,4.696999776
2741.4498,455.07599,4.696900227
2741.7498,455.135,4.696800171
2742.0498,455.185,4.696800171
2742.3498,455.23501,4.696700115
2742.6498,455.28499,4.696600058
2742.9498,455.335,4.696600058
2743.2498,455.398,4.696500002
2743.5498,455.452,4.696399946
2743.8498,455.49599,4.69629989
2744.1498,455.54799,4.696099777
2744.4498,455.611,4.696000229
2744.7498,455.657,4.695800116
2745.0498,455.702,4.69570006
2745.3498,455.755,4.695600003
2745.6498,455.801,4.695499947
2745.9498,455.848,4.695399891
2746.2498,455.905,4.695199778
2746.5498,455.95299,4.69510023
2746.8498,456.00201,4.695000173
2747.1498,456.061,4.694800061
2747.4498,456.113,4.694599948
2747.7498,456.15301,4.694499892
2748.0498,456.20701,4.694299779
2748.3498,456.258,4.694200231
2748.6498,456.31901,4.694100175
2748.9498,456.372,4.693900062
2749.2498,456.42299,4.693800006
2749.5498,456.469,4.693699949
2749.8498,456.518,4.693599893
2750.1498,456.56701,4.693499837
2750.4498,456.62501,4.693399781
2750.7498,456.67299,4.693300232
2751.0498,456.71799,4.693200176
2751.3498,456.779,4.69310012
2751.6498,456.822,4.693000063
2751.9498,456.88801,4.692900007
2752.2498,456.937,4.692799951
2752.5498,457.00001,4.692799951
2752.8498,457.033,4.692699894
2753.1498,457.103,4.692599838
2753.4498,457.135,4.692499782
2753.7498,457.18999,4.692400233
2754.0498,457.242,4.692300177
2754.3498,457.292,4.692200121
