Time,Mass,Back surface temperature
[s],[g],[K]
1,0,299.291
2,0,299.278
3,0,299.282
4,0,299.293
5,0,299.287
6,0,299.305
7,0,299.286
8,0,299.289
9,0,299.293
10,0,299.318
11,0,299.339
12,0,299.355
13,0,299.372
14,0,299.413
15,0,299.482
16,0,299.63
17,0,299.805
18,0,299.919
19,0,299.967
20,0,300.054
21,0,300.16
22,0,300.254
23,0,300.364
24,0,300.495
25,0,300.589
26,0,300.711
27,0,300.838
28,0,300.955
29,0,301.076
30,0,301.204
31,0,301.348
32,0,301.497
33,0,301.637
34,0,301.791
35,0,301.957
36,0,302.13
37,0,302.301
38,0,302.477
39,0,302.656
40,0,302.85
41,0,303.045
42,0,303.212
43,0,303.432
44,0,303.646
45,0,303.884
46,0,304.073
47,0,304.304
48,0,304.545
49,0,304.745
50,0,304.999
51,0,305.24
52,0,305.492
53,0,305.76
54,0,306.03
55,0,306.295
56,0,306.598
57,0,306.85
58,0,307.158
59,0,307.462
60,0,307.73
61,0,308.065
62,0,308.371
63,0,308.689
64,0,309.009
65,0,309.331
66,0,309.652
67,0,309.941
68,0,310.275
69,0,310.589
70,0,310.918
71,0,311.262
72,0,311.618
73,0,311.97
74,0,312.325
75,0,312.677
76,0,313.097
77,0,313.493
78,0,313.872
79,0,314.296
80,0,314.715
81,0,315.164
82,0,315.623
83,0,316.076
84,0,316.531
85,0,317.02
86,0,317.509
87,0,318.027
88,0,318.55
89,0,319.081
90,0,319.597
91,0,320.145
92,0,320.737
93,0,321.289
94,0,321.879
95,0,322.462
96,0,323.101
97,0,323.703
98,0,324.372
99,0,325.055
100,0,325.715
101,0,326.447
102,0,327.167
103,0,327.954
104,0,328.721
105,0,329.476
106,0,330.175
107,0,330.914
108,0,331.763
109,0,332.559
110,0,333.357
111,0,334.034
112,0,334.736
113,0,335.344
114,0,336.021
115,0,336.687
116,0,337.533
117,0,338.391
118,0,339.262
119,0,340.202
120,0,341.123
121,0,341.936
122,0,342.696
123,0,343.418
124,0,344.217
125,0,345.288
126,0,346.249
127,0,346.573
128,0,346.894
129,0,348.066
130,0,349.27
131,0,350.355
132,0,351.735
133,0,353.34
134,0,355.538
135,0,357.402
136,0,359.143
137,0,360.667
138,0,361.644
139,0,362.75
140,0,363.694
141,0,364.202
142,0,364.789
143,0,365.407
144,0,365.921
145,0,366.347
146,0,366.825
147,0,367.201
148,0,367.549
149,0,367.308
150,0,366.041
151,0,364.475
152,0,363.333
153,0,361.936
154,0,360.832
155,0,358.596
156,0,355.577
157,0,352.915
158,0,350.578
159,0,348.581
160,0,346.588
161,0,344.868
162,0,343.344
163,0,342.007
164,0,340.823
165,0,339.806
166,0,338.948
167,0,338.198
168,0,337.539
169,0,336.986
170,0,336.573
171,0,336.2
172,0,335.915
173,0,335.671
174,0,335.425
175,0,335.215
176,0,335.072
177,0,334.988
178,0,334.906
179,0,334.852
180,0,334.785
181,0,334.721
182,0,334.721
183,0,334.689
184,0,334.655
185,0,334.642
186,0,334.657
187,0,334.694
188,0,334.743
189,0,334.749
190,0,334.779
191,0,334.799
192,0,334.856
193,0,334.914
194,0,334.965
195,0,335.034
196,0,335.107
197,0,335.192
198,0,335.293
199,0,335.348
200,0,335.445
201,0,335.519
202,0,335.592
203,0,335.689
204,0,335.789
205,0,335.89
206,0,336.003
207,0,336.125
208,0,336.219
209,0,336.346
210,0,336.491
211,0,336.624
212,0,336.742
213,0,336.888
214,0,337.003
215,0,337.151
216,0,337.282
217,0,337.448
218,0,337.566
219,0,337.705
220,0,337.866
221,0,337.994
222,0,338.164
223,0,338.35
224,0,338.523
225,0,338.703
226,0,338.879
227,0,339.033
228,0,339.195
229,0,339.362
230,0,339.551
231,0,339.72
232,0,339.924
233,0,340.046
234,0,340.163
235,0,340.309
236,0,340.463
237,0,340.585
238,0,340.765
239,0,340.941
240,0,341.127
241,0,341.296
242,0,341.437
243,0,341.581
244,0,341.739
245,0,341.855
246,0,342.039
247,0,342.234
248,0,342.437
249,0,342.61
250,0,342.795
251,0,343.021
252,0,343.197
253,0,343.377
254,0,343.554
255,0,343.754
256,0,343.955
257,0,344.139
258,0,344.355
259,0,344.597
260,0,344.799
261,0,345.008
262,0,345.214
263,0,345.43
264,0,345.668
265,0,345.862
266,0,346.096
267,0,346.306
268,0,346.526
269,0,346.764
270,0,346.94
271,0,347.143
272,0,347.422
273,0,347.609
274,0,347.855
275,0,348.074
276,0,348.266
277,0,348.451
278,0,348.674
279,0,348.898
280,0,349.072
281,0,349.256
282,0,349.477
283,0,349.693
284,0,349.856
285,0,350.041
286,0,350.251
287,0,350.415
288,0,350.602
289,0,350.754
290,0,350.975
291,0,351.181
292,0,351.444
293,0,351.667
294,0,351.872
295,0,352.041
296,0,352.254
297,0,352.401
298,0,352.53
299,0,352.653
300,0,352.903
301,0,353.137
302,0,353.357
303,0,353.559
304,0,353.754
305,0,353.867
306,0,354.162
307,0,354.283
308,0,354.39
309,0,354.61
310,0,354.853
311,0,355.131
312,0,355.347
313,0,355.617
314,0,355.913
315,0,356.186
316,0,356.535
317,0,356.862
318,0,357.222
319,0,357.644
320,0,358.197
321,0,358.467
322,0,358.574
323,0,358.904
324,0,359.226
325,0,359.553
326,0,359.895
327,0,360.234
328,0,360.593
329,0,360.973
330,0,361.347
331,0,361.744
332,0,362.169
333,0,362.575
334,0,362.985
335,0,363.429
336,0,363.893
337,0,364.427
338,0,364.909
339,0,365.441
340,0,366.018
341,0,366.614
342,0,367.263
343,0,367.993
344,0,368.749
345,0,369.565
346,0,370.396
347,0,371.163
348,0,371.948
349,0,372.716
350,0,373.569
351,0,374.348
352,0,375.15
353,0,376.067
354,0,376.969
355,0,377.856
356,0,378.711
357,0,380.072
358,0,381.453
359,0,382.775
360,0,384.186
361,0,385.648
362,0,387.115
363,0,388.467
364,0,389.764
365,0,390.991
366,0,392.218
367,0,393.391
368,0,394.136
369,0,395.151
370,0,396.181
371,0,397.299
372,0,398.562
373,0,399.661
374,0,400.853
375,0,401.977
376,0,403.226
377,0,404.654
378,0,406.141
379,0,407.517
380,0,408.925
381,0,410.288
382,0,411.69
383,0,413.021
384,0,414.433
385,0,415.938
386,0,417.338
387,0,418.482
388,0,420.139
389,0,422.391
390,0,425.261
391,0,428.059
392,0,431.029
393,0,434.26
394,0,437.474
395,0,440.592
396,0,443.675
397,0,446.815
398,0,449.72
399,0,454.717
400,0,460.573
401,0,465.477
402,0,469.647
403,0,471.249
404,0,471.206
405,0,471.504
406,0,470.741
407,0,469.996
408,0,468.342
409,0,467.482
410,0,466.637
411,0,466.823
412,0,466.198
413,0,465.57
414,0,465.732
415,0,465.418
416,0,464.537
417,0,464.246
418,0,463.791
419,0,463.796
420,0,463.946
421,0,464.117
422,0,464.627
423,0,465.089
424,0,465.468
425,0,465.708
426,0,466.087
427,0,466.592
428,0,467.32
429,0,467.604
430,0,468.119
431,0,468.808
432,0,469.113
433,0,469.183
434,0,469.649
435,0,469.973
436,0,470.141
437,0,470.775
438,0,471.325
439,0,472.182
