Time,Mass
[s],[g]
-0.4,72.4
4.7,72.086
10.2,71.584
14.3,71.647
19,72.274
24.3,71.208
29.1,70.769
34,69.828
39.3,67.946
45,66.88
49,65.625
54.3,63.744
60.2,62.175
65.1,61.046
69.6,59.102
74,57.847
79,56.279
84.7,54.209
90.2,52.766
94.6,51.324
99,49.944
104,48.438
109,46.18
114,44.486
119.3,41.977
124,40.095
129,38.527
134,35.516
139,33.885
144.4,31.941
149,28.93
154.5,27.111
159,24.853
164.8,22.03
169,19.646
174.8,16.573
179,14.377
184.3,11.993
189,9.735
194,6.662
199,5.156
204,4.153
209.4,2.647
214,1.894
219.5,1.832
224.6,1.393
229,1.455
234,1.643
239,1.832
244.4,1.706
249,1.455
254.2,1.832
260.2,1.455
264,1.33
269,1.643
274,1.518
279,1.393
284,1.267
289,1.769
294,1.581
299,1.643
304.5,1.455
309.4,1.267
314,1.33
319,1.643
324.5,1.267
329,1.518
334,1.518
339,1.769
344,1.267
