Time,Mass,Back Surface Temperature 1
[s],[g],[K]
1,0,297.032
2,0,296.991
3,0,296.989
4,0,296.964
5,0,296.959
6,0,296.93
7,0,296.901
8,0,296.878
9,0,296.882
10,0,296.885
11,0,296.86
12,0,296.87
13,0,296.885
14,0,296.922
15,0,296.962
16,0,297.204
17,0,297.491
18,0,297.68
19,0,297.79
20,0,297.988
21,0,298.202
22,0,298.408
23,0,298.647
24,0,298.854
25,0,299.131
26,0,299.41
27,0,299.697
28,0,299.986
29,0,300.288
30,0,300.623
31,0,300.91
32,0,301.224
33,0,301.601
34,0,301.958
35,0,302.314
36,0,302.687
37,0,303.09
38,0,303.525
39,0,303.945
40,0,304.367
41,0,304.808
42,0,305.262
43,0,305.74
44,0,306.177
45,0,306.693
46,0,307.178
47,0,307.698
48,0,308.207
49,0,308.709
50,0,309.221
51,0,309.76
52,0,310.283
53,0,310.826
54,0,311.368
55,0,311.909
56,0,312.453
57,0,313.039
58,0,313.605
59,0,314.195
60,0,314.777
61,0,315.379
62,0,315.986
63,0,316.631
64,0,317.252
65,0,317.926
66,0,318.527
67,0,319.21
68,0,319.909
69,0,320.636
70,0,321.294
71,0,322.041
72,0,322.82
73,0,323.596
74,0,324.322
75,0,325.193
76,0,326.007
77,0,326.938
78,0,327.919
79,0,328.947
80,0,330.162
81,0,331.397
82,0,333.019
83,0,334.826
84,0,336.751
85,0,341.523
86,0,346.737
87,0,353.717
88,0,358.093
89,0,362.267
90,0,364.402
91,0,366.013
92,0,366.978
93,0,367.549
94,0,368.403
95,0,367.864
96,0,365.032
97,0,361.602
98,0,359.571
99,0,355.457
100,0,349.953
101,0,345.464
102,0,341.942
103,0,339.185
104,0,336.992
105,0,335.268
106,0,333.788
107,0,332.613
108,0,331.656
109,0,330.968
110,0,330.496
111,0,330.177
112,0,329.882
113,0,329.701
114,0,329.588
115,0,329.527
116,0,329.519
117,0,329.478
118,0,329.491
119,0,329.553
120,0,329.621
121,0,329.725
122,0,329.838
123,0,330.014
124,0,330.176
125,0,330.389
126,0,330.596
127,0,330.811
128,0,331.011
129,0,331.211
130,0,331.464
131,0,331.736
132,0,332.047
133,0,332.303
134,0,332.597
135,0,332.967
136,0,333.282
137,0,333.65
138,0,334.001
139,0,334.352
140,0,334.755
141,0,335.117
142,0,335.389
143,0,335.568
144,0,335.861
145,0,336.154
146,0,336.426
147,0,336.762
148,0,337.093
149,0,337.47
150,0,337.791
151,0,338.151
152,0,338.567
153,0,338.906
154,0,339.274
155,0,339.642
156,0,339.967
157,0,340.254
158,0,340.541
159,0,340.787
160,0,341.036
161,0,341.28
162,0,341.572
163,0,341.909
164,0,342.195
165,0,342.53
166,0,342.863
167,0,343.174
168,0,343.501
169,0,343.81
170,0,344.11
171,0,344.474
172,0,344.959
173,0,345.902
174,0,346.772
175,0,347.545
176,0,348.236
177,0,348.973
178,0,349.795
179,0,350.821
180,0,351.931
181,0,353.11
182,0,354.59
183,0,356.293
184,0,358.595
185,0,361.893
186,0,366.809
187,0,377.402
188,0,398.366
189,0,407.91
190,0,410.971
191,0,414.981
192,0,421.476
193,0,426.436
194,0,430.097
195,0,434.198
196,0,439.31
197,0,445.722
198,0,453.162
199,0,460.71
200,0,467.569
201,0,475.664
202,0,483.499
203,0,489.162
204,0,494.473
205,0,502.171
206,0,508.197
207,0,514.943
208,0,521.633
209,0,509.577
210,0,494.593
211,0,486.663
212,0,489.288
213,0,497.407
214,0,514.192
215,0,555.686
216,0,599.31
217,0,666.116
218,0,642.898
219,0,623.553
220,0,611.755
221,0,610.854
222,0,621.77
223,0,645.051
224,0,634.402
225,0,707.833
226,0,712.393
227,0,689.27
228,0,629.696
229,0,610.29
230,0,602.211
231,0,598.065
232,0,595.307
233,0,595.087
234,0,595.764
235,0,594.212
236,0,595.524
237,0,597.693
238,0,597.231
239,0,597.375
240,0,598.688
241,0,600.384
242,0,602.409
243,0,606.271
244,0,607.885
245,0,615.219
246,0,615.133
247,0,613.365
248,0,611.808
249,0,615.226
250,0,618.391
251,0,623.468
252,0,633.103
253,0,630.265
254,0,633.46
255,0,638.056
256,0,637.833
257,0,635.935
258,0,642.053
259,0,646.33
260,0,661.355
261,0,655.001
262,0,651.165
263,0,658.264
264,0,687.282
265,0,683.339
266,0,663.554
267,0,659.117
268,0,650.559
269,0,649.307
270,0,648.327
271,0,656.801
272,0,662.997
273,0,662.366
274,0,661.577
275,0,658.682
276,0,663.151
277,0,665.825
278,0,668.316
279,0,671.036
280,0,664.219
281,0,664.888
282,0,675.371
283,0,670.472
284,0,669.744
285,0,678.525
286,0,681.38
287,0,681.028
288,0,676.958
289,0,676.101
290,0,685.3
291,0,683.189
292,0,682.238
293,0,685.808
294,0,683.519
295,0,677.752
296,0,679.678
297,0,682.41
298,0,680.208
299,0,680.49
300,0,683.9
301,0,685.757
302,0,684.586
303,0,685.253
304,0,684.016
305,0,683.558
306,0,682.454
307,0,684.753
308,0,686.985
309,0,687.25
310,0,688.586
311,0,691.277
312,0,692.558
313,0,692.16
314,0,694.06
315,0,690.245
316,0,693.743
317,0,691.149
318,0,691.635
319,0,690.949
320,0,693.292
321,0,690.157
322,0,689.939
323,0,693.058
324,0,696.709
325,0,697.63
326,0,697.07
327,0,696.533
328,0,696.504
329,0,695.532
330,0,699.066
331,0,696.693
332,0,696.34
333,0,698.644
334,0,701.456
335,0,700.571
336,0,700.667
337,0,700.893
338,0,703.054
339,0,703.521
340,0,704.853
341,0,704.68
342,0,702.64
343,0,703.84
344,0,704.844
