Time,Temperature,Heat Flow,
[s],[K],[W/g],
0.00E+00,298.308,-2.18E-02,
6.09E+01,303.308,-2.79E-02,
8.29E+01,308.308,-1.00E-02,
1.03E+02,313.308,-1.94E-02,
1.22E+02,318.308,-4.54E-02,
1.42E+02,323.308,-7.93E-02,
1.64E+02,328.308,-0.111,
1.87E+02,333.308,-0.12747,
2.12E+02,338.308,-0.14047,
2.40E+02,343.308,-0.14719,
2.69E+02,348.308,-0.14204,
3.00E+02,353.308,-0.14993,
3.31E+02,358.308,-0.1625,
3.62E+02,363.308,-0.17412,
3.92E+02,368.308,-0.18753,
4.22E+02,373.308,-0.19259,
4.53E+02,378.308,-0.19727,
4.83E+02,383.308,-0.20533,
5.13E+02,388.308,-0.21078,
5.43E+02,393.308,-0.21073,
5.73E+02,398.308,-0.20063,
6.03E+02,403.308,-0.20358,
6.33E+02,408.308,-0.20448,
6.63E+02,413.308,-0.21495,
6.93E+02,418.308,-0.22246,
7.22E+02,423.308,-0.23096,
7.52E+02,428.308,-0.23741,
7.82E+02,433.308,-0.24752,
8.13E+02,438.308,-0.25771,
8.42E+02,443.308,-0.26268,
8.73E+02,448.308,-0.27474,
9.03E+02,453.308,-0.27934,
9.33E+02,458.308,-0.28981,
9.62E+02,463.308,-0.29873,
9.92E+02,468.308,-0.3005,
1.02E+03,473.308,-0.30563,
1.05E+03,478.308,-0.30881,
1.08E+03,483.308,-0.31236,
1.11E+03,488.308,-0.31537,
1.14E+03,493.308,-0.31319,
1.17E+03,498.308,-0.327,
1.20E+03,503.308,-0.32585,
1.23E+03,508.308,-0.33001,
1.26E+03,513.308,-0.32888,
1.29E+03,518.308,-0.33209,
1.32E+03,523.308,-0.33415,
1.35E+03,528.308,-0.32272,
1.38E+03,533.308,-0.31024,
1.41E+03,538.308,-0.28005,
1.44E+03,543.308,-0.23755,
1.47E+03,548.308,-0.1678,
1.50E+03,553.308,-6.54E-02,
1.53E+03,558.308,1.03E-03,
1.56E+03,563.308,7.04E-03,
1.59E+03,568.308,8.91E-02,
1.62E+03,573.308,0.33402,
1.65E+03,578.308,0.90612,
1.68E+03,583.308,1.09728,
1.71E+03,588.308,0.78249,
1.74E+03,593.308,0.63138,
1.77E+03,598.308,0.66133,
1.80E+03,603.308,0.65853,
1.83E+03,608.308,0.58512,
1.86E+03,613.308,0.45402,
1.89E+03,618.308,0.34991,
1.92E+03,623.308,0.17366,
1.95E+03,628.308,-0.15723,
1.98E+03,633.308,-0.41614,
2.01E+03,638.308,-0.565,
2.04E+03,643.308,-0.6473,
2.07E+03,648.308,-0.69783,
2.10E+03,653.308,-0.72068,
2.13E+03,658.308,-0.73519,
2.16E+03,663.308,-0.75141,
2.19E+03,668.308,-0.77017,
2.22E+03,673.308,-0.78332,
2.25E+03,678.308,-0.79764,
2.28E+03,683.308,-0.75209,
2.31E+03,688.308,-0.69143,
2.34E+03,693.308,-0.65364,
2.37E+03,698.308,-0.6061,
2.40E+03,703.308,-0.5977,
2.43E+03,708.308,-0.55001,
2.46E+03,713.308,-0.50417,
2.49E+03,718.308,-0.47046,
2.52E+03,723.308,-0.43026,
2.55E+03,728.308,-0.39087,
2.58E+03,733.308,-0.35665,
2.61E+03,738.308,-0.33715,
2.64E+03,743.308,-0.31441,
2.67E+03,748.308,-0.3145,
2.70E+03,753.308,-0.32597,
2.73E+03,758.308,-0.32962,
2.76E+03,763.308,-0.32485,
2.79E+03,768.308,-0.31009,
2.82E+03,773.308,-0.30466,
2.85E+03,778.308,-0.30203,
2.88E+03,783.308,-0.29096,
2.91E+03,788.308,-0.27623,
2.94E+03,793.308,-0.2696,
2.97E+03,798.308,-0.25594,
3.00E+03,803.308,-0.24378,
3.03E+03,808.308,-0.22807,
3.06E+03,813.308,-0.221,
3.09E+03,818.308,-0.22337,
3.12E+03,823.308,-0.23008,
3.15E+03,828.308,-0.23092,
3.18E+03,833.308,-0.22825,
3.21E+03,838.308,-0.22037,
3.24E+03,843.308,-0.21461,
3.27E+03,848.308,-0.20647,
3.30E+03,853.308,-0.20369,
3.33E+03,858.308,-0.1895,
3.36E+03,863.308,-0.17765,
3.39E+03,868.308,-0.17635,
3.42E+03,873.308,-0.18151,
3.45E+03,878.308,-0.18544,
3.48E+03,883.308,-0.16817,
3.51E+03,888.308,-0.16121,
3.54E+03,893.308,-0.16261,
3.57E+03,898.308,-0.16958,
3.60E+03,903.308,-0.16901,
3.63E+03,908.308,-0.16549,
3.66E+03,913.308,0.0218,
