Time,Mass,HRR,T_1,T_3,T_4
[s],[g],[kW/m2],[K],[K],[K]
0,67,0.650938743,315.111,300.725,301.148
1,67.00038,0.741099774,325.538,300.723,301.135
2,67.000056,0.569697345,335.575,300.732,301.16
3,67.211393,0.714056481,345.522,300.771,301.171
4,67.296675,0.579859532,354.478,300.8,301.198
5,67.215357,0.714112254,362.252,300.819,301.198
6,67.029712,1.021292735,370.447,300.831,301.206
7,67.09053,0.851228441,378.314,300.863,301.241
8,67.014917,0.965393262,386.157,300.925,301.254
9,66.916637,0.65464542,394.016,300.944,301.277
10,67.080136,0.754363658,401.807,300.992,301.277
11,67.149351,0.666000648,408.539,301.069,301.293
12,67.113775,0.632051929,414.551,301.15,301.31
13,67.275436,0.74930184,420.155,301.223,301.323
14,67.305369,1.023653539,425.869,301.349,301.318
15,67.21722,1.343394698,431.148,301.479,301.335
16,67.11926,1.725073384,436.667,301.67,301.337
17,67.105749,1.929613035,442.198,301.857,301.362
18,66.933062,1.898908287,446.125,302.086,301.366
19,67.046793,1.655611615,450.511,302.365,301.381
20,67.101635,1.775923402,455.147,302.648,301.401
21,67.105176,1.661202669,459.289,302.974,301.439
22,67.188663,2.122629659,463.06,303.384,301.447
23,67.202298,1.868022607,466.436,303.754,301.451
24,67.119078,2.075123234,468.847,304.218,301.487
25,67.014485,1.949487592,472.332,304.666,301.518
26,67.001216,1.843296657,475.5,305.156,301.547
27,66.998654,1.543534728,479.415,305.677,301.568
28,67.001079,1.820977104,483.305,306.197,301.603
29,67.001736,1.572319915,485.205,306.756,301.635
30,67.090925,1.852190376,487.864,307.366,301.672
31,67.188172,2.424902723,489.42,307.973,301.72
32,67.202491,3.009801459,490.603,308.615,301.755
33,67.291678,2.601664426,493.408,309.297,301.807
34,67.134527,2.992489546,497.741,309.963,301.861
35,67.106522,2.66122146,501.029,310.69,301.899
36,67.015024,2.871410178,504.065,311.404,301.944
37,66.918052,2.661934167,507.55,312.155,302.015
38,66.989015,3.667121894,509.328,312.922,302.049
39,67.09127,3.524690432,511.548,313.709,302.109
40,67.105495,3.86884035,512.807,314.508,302.165
41,67.18882,3.456707032,514.355,315.334,302.246
42,67.202695,3.809388696,515.978,316.183,302.298
43,67.119156,3.546856992,516.593,317.045,302.369
44,67.01561,4.012562242,517.687,317.879,302.446
45,67.001642,3.468613353,518.555,318.756,302.514
46,67.002431,3.954727465,519.458,319.622,302.591
47,66.919264,3.505257191,520.633,320.547,302.66
48,66.905689,3.611388313,521.126,321.434,302.766
49,67.078044,3.349904037,522.572,322.334,302.816
50,67.106522,3.626719817,521.862,323.241,302.937
51,67.190316,3.554304576,523.588,324.163,303.007
52,67.293806,3.773590317,525.566,325.089,303.128
53,67.13454,3.508285196,525.026,326.006,303.218
54,67.106584,3.783067446,523.025,326.911,303.313
55,67.017396,3.403343883,523.352,327.827,303.417
56,66.919579,3.684762858,524.243,328.763,303.54
57,66.905262,2.447066513,525.544,329.662,303.667
