Time,Mass
[s],[g]
398,54.328174
399,54.27131
400,54.13986
401,54.164732
402,54.054261
403,53.744206
404,53.775984
405,53.805548
406,53.533367
407,53.51953
408,53.480222
409,53.289006
410,53.330151
411,53.261026
412,53.110256
413,53.047845
414,53.02894
415,52.832736
416,52.638132
417,52.743699
418,52.640347
419,52.479808
420,52.488479
421,52.293514
422,52.33349
423,52.189299
424,52.241385
425,51.872877
426,52.042157
427,51.874015
428,51.720277
429,51.765178
430,51.51616
431,51.529778
432,51.354078
433,51.468453
434,51.23244
435,51.050041
436,51.245037
437,51.044918
438,50.978746
439,50.772978
440,50.791534
441,50.644734
442,50.49538
443,50.438226
444,50.21586
445,50.262286
446,50.199524
447,49.987085
448,50.007748
449,49.761905
450,49.83011
451,49.763739
452,49.608531
453,49.577884
454,49.326517
455,49.438144
456,49.211759
457,49.184242
458,49.17123
459,48.876677
460,48.908255
461,48.834146
462,48.822161
463,48.658841
464,48.582465
465,48.521766
466,48.429348
467,48.256077
468,48.049696
469,48.015281
470,48.142186
471,47.776672
472,47.803098
473,47.68142
474,47.708959
475,47.386522
476,47.462033
477,47.250684
478,47.207437
479,47.226816
480,47.05024
481,46.91257
482,46.77648
483,46.792216
484,46.713024
485,46.357397
486,46.482864
487,46.25494
488,46.30147
489,46.189707
490,46.176134
491,46.062246
492,45.923571
493,45.958815
494,45.653991
495,45.767249
496,45.502522
497,45.414577
498,45.291095
499,45.410109
500,45.132355
501,44.94081
502,45.032223
503,44.94302
504,44.68936
505,44.825702
506,44.698293
507,44.430459
508,44.339746
509,44.325175
510,44.22631
511,44.109949
512,43.955094
513,43.879072
514,43.8823
515,43.619883
516,43.633872
517,43.497352
518,43.511998
519,43.354338
520,43.140496
521,43.202694
522,42.916351
523,42.960889
524,42.729993
525,42.870817
526,42.533629
527,42.559604
528,42.326457
529,42.295483
530,42.332308
531,42.088854
532,42.139534
533,41.960157
534,41.767554
535,41.737828
536,41.534404
537,41.593238
538,41.393189
539,41.333256
540,41.391897
541,41.084515
542,41.129834
543,40.882671
544,40.891918
545,40.650678
546,40.644555
547,40.469315
548,40.357264
549,40.274359
550,40.078267
551,40.092696
552,40.023718
553,39.868827
554,39.816658
555,39.750966
556,39.503337
557,39.555925
558,39.420506
559,39.24481
560,39.306354
561,39.075004
562,38.93368
563,38.856524
564,38.766241
565,38.646172
566,38.561786
567,38.462941
568,38.331789
569,38.333488
570,38.167696
571,38.086795
572,37.937196
573,37.905755
574,37.771561
575,37.621254
576,37.680805
577,37.386844
578,37.197644
579,37.243041
580,37.195714
581,36.943244
582,36.921107
583,36.821519
584,36.762752
585,36.623254
586,36.572632
587,36.322729
588,36.186225
589,36.28836
590,36.291047
591,35.960079
592,36.040352
593,35.839196
594,35.712212
595,35.756463
596,35.38815
597,35.404973
598,35.405743
599,35.125891
600,35.076793
601,35.137437
602,34.885931
603,34.823723
604,34.754607
605,34.695211
606,34.450852
607,34.458934
608,34.303432
609,34.003378
610,34.034013
611,33.921557
612,33.823318
613,33.672537
614,33.508357
615,33.627255
616,33.52869
617,33.2894
618,33.148103
619,33.201558
620,32.958362
621,32.836511
622,32.967953
623,32.658945
624,32.586415
625,32.645747
626,32.298394
627,32.214479
628,32.152449
629,32.118499
630,31.947358
631,31.756508
632,31.782365
633,31.592639
634,31.341638
635,31.4717
636,31.332744
637,31.193056
638,31.079598
639,30.904635
640,30.868231
641,30.777579
642,30.705349
643,30.47587
644,30.381629
645,30.290022
646,30.146796
647,30.003446
648,29.816404
649,29.939851
650,29.870428
651,29.785582
652,29.645674
653,29.529257
654,29.2542
655,29.192083
656,29.099837
657,29.004605
658,28.958381
659,28.777057
660,28.661123
661,28.412395
662,28.55262
663,28.319425
664,28.255852
665,28.139292
666,28.041728
667,27.872388
668,27.734458
669,27.859892
670,27.547138
671,27.578753
672,27.259572
673,27.199075
674,27.15835
675,27.069982
676,27.009459
677,26.683017
678,26.764079
679,26.60299
680,26.420332
681,26.47156
682,26.062109
683,25.950873
684,26.105849
685,25.834208
686,25.782391
687,25.707124
688,25.633812
689,25.502037
690,25.473768
691,25.332994
692,25.169913
693,25.164878
694,25.082772
695,24.804772
696,24.783955
697,24.702312
698,24.544752
699,24.47755
700,24.428964
701,24.104299
702,24.127383
703,24.109773
704,23.909765
705,23.865038
706,23.61127
707,23.645844
708,23.465184
709,23.391215
710,23.268648
711,23.154953
712,23.176448
713,22.973506
714,22.83401
715,22.870357
716,22.632374
717,22.63357
718,22.429495
719,22.214609
720,22.297519
721,22.172618
722,21.889894
723,21.846313
724,21.727128
725,21.633485
726,21.403045
727,21.273785
728,21.360958
729,21.169585
730,21.015561
731,21.123465
732,20.837695
733,20.717054
734,20.580405
735,20.368242
736,20.441612
737,20.338917
738,20.233815
739,20.160157
740,19.841963
741,19.79316
742,19.881245
743,19.712911
744,19.519729
745,19.448004
746,19.258827
747,19.247267
748,19.073168
749,18.774615
750,18.87299
751,18.742464
752,18.770254
753,18.48438
754,18.262909
755,18.446415
756,18.276082
757,18.003188
758,17.981017
759,17.843411
760,17.742489
