Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K]
226,-0.58,184.2,1058,1101
227,-0.71,164.6,1052,1106
228,-0.82,153.5,1068,1140
229,-0.82,144.9,1084,1133
230,-0.91,140.4,1086,1147
231,-0.98,135.9,1108,1160
232,-0.98,121.9,1113,1149
233,-1.08,112.7,1117,1148
234,-1.16,105.1,1122,1177
235,-1.19,100.5,1122,1193
236,-1.19,94.2,1114,1180
237,-1.27,86.4,1104,1204
238,-1.27,80.2,1091,1217
239,-1.33,68.4,1077,1209
240,-1.39,63.1,1074,1150
241,-1.39,64.6,1066,1122
242,-1.43,58.2,1061,1039
243,-1.48,55,1050,1040
244,-1.48,51.4,1027,1010
245,-1.48,47.7,1004,980
246,-1.51,44.3,1000,909
247,-1.56,41.5,994,889
248,-1.61,42.8,988,887
249,-1.61,36.2,982,877
250,-1.64,37.1,971,883
251,-1.64,31.1,960,889
252,-1.65,31.9,962,878
253,-1.65,32.4,961,853
254,-1.69,26.1,958,846
255,-1.74,25.9,949,842
256,-1.74,26.8,945,836
257,-1.76,26.5,942,838
258,-1.76,19.1,936,833
259,-1.78,19.9,932,836
260,-1.78,19.5,928,831
261,-1.77,19.6,924,834
262,-1.79,20.2,925,837
263,-1.8,15.2,919,828
264,-1.8,15.2,919,825
265,-1.81,15.2,920,807
266,-1.83,15.9,919,806
267,-1.83,15.5,925,804
268,-1.83,14.9,924,811
269,-1.83,14.6,921,827
270,-1.81,25.8,915,807
271,-1.81,15.1,914,804
272,-1.82,14.3,911,811
273,-1.82,14,908,802
274,-1.83,14,905,797
275,-1.83,13.3,899,806
276,-1.83,13.7,895,812
277,-1.83,14,889,830
278,-1.85,13.7,893,842
279,-1.85,13.8,887,836
280,-1.85,13.4,884,835
281,-1.85,13,884,819
282,-1.84,13.1,877,819
283,-1.85,12.7,880,853
284,-1.85,12.2,883,840
285,-1.84,6.6,884,831
286,-1.83,6.6,888,841
287,-1.83,6.6,882,855
288,-1.84,7.5,885,860
289,-1.84,7.5,894,852
290,-1.84,7.3,895,846
291,-1.84,7,895,840
292,-1.85,6.6,901,844
293,-1.84,6.3,904,840
294,-1.84,5.9,899,833
295,-1.84,6.3,899,841
296,-1.86,5.9,902,841
297,-1.86,5.6,901,832
298,-1.87,5.1,896,824
299,-1.87,5.2,887,827
300,-1.86,4.4,887,839
301,-1.85,4.4,886,847
302,-1.85,4,877,849
303,-1.84,3.5,877,843
304,-1.85,4.4,882,850
305,-1.84,4,886,851
306,-1.84,3.6,892,843
307,-1.86,3.2,897,846
308,-1.86,3.2,899,845
309,-1.86,2.4,900,853
310,-1.85,2.4,894,849
311,-1.84,2,895,853
312,-1.83,1.6,898,851
313,-1.83,1.6,897,848
314,-1.88,1.2,894,854
315,-1.88,0.7,894,860
316,-1.87,0.7,895,854
317,-1.87,0.7,893,839
318,-1.84,0.3,891,845
319,-1.84,1.2,894,852
320,-1.84,1.2,897,855
321,-1.84,1.2,893,844
322,-1.83,1.2,894,842
323,-1.83,0.8,892,845
324,-1.81,0.8,893,840
325,-1.75,1.2,899,844
326,-1.75,1.2,898,852
327,-1.75,7.2,896,847
328,-1.75,1.6,899,858
329,-1.76,1.2,892,860
330,-1.77,1.6,894,862
331,-1.77,1.6,893,860
332,-1.77,1.6,891,861
333,-1.78,1.8,889,862
334,-1.78,2,891,857
335,-1.8,2,888,860
336,-1.81,2,883,854
337,-1.81,2,877,831
338,-1.8,2,888,839
339,-1.78,2,888,842
340,-1.78,2,884,845
341,-1.8,2,884,846
342,-1.81,2,882,853
343,-1.84,2,885,849
344,-1.84,2,889,833
345,-1.81,1.6,887,838
346,-1.82,1.6,886,838
347,-1.82,1.4,889,839
348,-1.82,1.2,891,840
349,-1.85,0.8,888,841
350,-1.82,0.4,894,831
351,-1.82,0.4,899,834
352,-1.84,0,887,838
353,-1.86,0,883,842
354,-1.86,0,886,843
355,-1.86,0,891,850
356,-1.88,0,896,844
357,-1.88,0,891,846
358,-1.88,0,892,825
359,-1.88,0,892,840
360,-1.9,0,890,849
361,-1.9,0,893,855
362,-1.89,0,894,857
363,-1.88,0,894,848
364,-1.88,0,894,838
365,-1.88,0,894,840
366,-1.91,0,890,844
367,-1.91,0,892,839
368,-1.88,0,894,842
369,-1.9,0,887,848
370,-1.9,5.3,886,849
371,-1.9,0,893,853
372,-1.9,0,893,853
373,-1.9,0,894,856
374,-1.9,0,893,852
375,-1.9,0,891,848
376,-1.91,0,887,845
377,-1.93,0,888,840
378,-1.93,0,895,846
379,-1.93,0,899,838
380,-1.95,0,901,852
381,-1.92,0,901,856
382,-1.92,0,901,849
383,-1.94,0,896,849
384,-1.94,0,893,852
385,-1.95,0,894,855
386,-1.95,0,891,846
387,-1.95,0,889,843
388,-1.95,0,886,851
389,-1.92,0,885,840
390,-1.92,0,888,844
391,-1.92,0.4,890,847
392,-1.91,0.4,887,854
393,-1.95,0.4,889,852
394,-1.96,0.8,881,852
395,-1.98,0.8,886,846
396,-1.98,0.8,889,849
397,-1.98,0.8,890,851
398,-1.97,0.8,891,848
399,-1.96,0.4,888,839
400,-1.96,0.4,898,835
401,-1.97,0.4,898,846
