Time,Mass,Back Surface Temperature 1,Back Surface Temperature 2,Back Surface Temperature 3
[s],[g],[K],[K],[K]
0,73.89,327,327,328
1,73.32,328,328,328
2,72.93,328,328,328
3,72.9,328,328,328
4,72.9,328,328,328
5,72.83,328,328,328
6,72.75,328,328,328
7,72.68,328,328,328
8,72.68,328,328,328
9,72.61,328,328,329
10,72.51,328,328,329
11,72.51,328,328,329
12,72.45,328,328,329
13,72.37,328,328,329
14,72.31,328,328,329
15,72.31,328,328,329
16,72.26,328,329,329
17,72.16,328,329,329
18,72.16,329,329,329
19,72.16,329,329,329
20,72.09,329,329,329
21,71.93,329,329,329
22,71.81,329,329,329
23,71.81,329,329,330
24,71.63,329,329,330
25,71.36,329,329,330
26,71.16,330,330,330
27,71.16,330,330,330
28,70.96,330,330,331
29,70.65,330,330,331
30,70.43,330,330,331
31,70.43,331,331,331
32,70.2,331,331,331
33,69.85,331,331,331
34,69.62,332,331,332
35,69.62,332,332,332
36,69.37,332,332,333
37,68.96,333,333,333
38,68.96,333,333,333
39,68.96,333,333,333
40,68.66,334,333,334
41,68.23,334,334,334
42,68.23,334,335,334
43,67.92,335,335,335
44,67.51,335,336,335
45,67.24,336,336,336
46,67.24,337,336,336
47,66.96,337,337,337
48,66.51,338,338,338
49,66.51,338,338,338
50,66.22,339,339,338
51,65.74,339,340,339
52,65.74,340,340,339
53,65.74,340,340,339
54,65.44,340,341,340
55,65.02,341,341,340
56,64.72,342,342,341
57,64.72,343,343,342
58,64.43,344,344,342
59,63.94,344,345,343
60,63.94,345,346,344
61,63.65,345,346,345
62,63.16,346,347,345
63,63.16,347,348,346
64,62.8,347,348,347
65,62.32,349,349,347
66,62.32,350,350,348
67,62.01,350,351,349
68,61.58,351,352,350
69,61.28,352,353,351
70,61.28,353,354,351
71,60.98,353,355,352
72,60.49,354,356,353
73,60.49,356,357,354
74,60.17,357,358,355
75,59.72,358,360,357
76,59.72,359,361,358
77,59.33,359,362,359
78,58.85,360,363,360
79,58.53,361,364,361
80,58.53,362,365,362
81,58.21,364,366,362
82,57.72,365,367,363
83,57.72,366,368,364
84,57.72,366,369,365
85,57.42,367,370,366
86,57,368,370,367
87,57,369,371,367
88,56.64,369,372,368
89,56.17,370,373,369
90,56.17,371,374,369
91,55.88,372,374,370
92,55.43,372,375,371
93,55.12,373,375,371
94,55.12,373,375,372
95,54.8,374,375,372
96,54.36,374,376,372
97,54.36,375,376,373
98,53.98,375,377,373
99,53.56,376,377,374
100,53.24,376,378,374
101,53.24,378,379,375
102,52.93,378,379,375
103,52.48,379,380,376
104,52.48,380,381,377
105,52.12,381,381,378
106,51.68,381,382,378
107,51.36,382,383,379
108,51.36,383,383,379
109,51.05,384,384,380
110,50.61,385,385,381
111,50.29,386,386,381
112,50.29,386,387,383
113,49.97,387,388,384
114,49.47,388,389,384
115,49.47,389,389,385
116,49.16,389,390,386
117,48.72,390,391,386
118,48.72,391,392,387
119,48.35,393,393,388
120,47.91,394,393,389
121,47.59,394,395,389
122,47.59,395,395,390
123,47.59,395,395,391
124,47.21,396,396,391
125,46.77,397,397,392
126,46.45,398,398,393
127,46.45,399,399,394
128,46.14,400,400,394
129,45.62,401,400,395
130,45.62,402,402,397
131,45.31,403,403,398
132,44.8,404,404,398
133,44.8,405,405,399
134,44.44,406,406,400
135,43.94,407,406,401
136,43.94,408,407,402
137,43.61,409,409,402
138,43.14,410,410,404
139,42.81,411,411,405
140,42.81,412,412,406
141,42.43,413,413,406
142,41.96,414,413,407
143,41.64,415,414,408
144,41.64,416,415,409
145,41.64,416,416,410
146,41.26,417,417,410
147,40.74,418,418,411
148,40.74,419,418,412
149,40.42,420,419,413
150,39.96,421,420,414
151,39.62,422,421,415
152,39.62,423,422,416
153,39.06,425,424,416
154,39.06,426,425,418
155,38.68,427,426,419
156,38.2,428,427,420
157,37.86,429,428,421
158,37.86,431,430,423
159,37.46,432,431,424
160,36.99,433,432,425
161,36.65,434,433,425
162,36.65,435,434,426
163,36.3,436,435,427
164,35.77,437,436,428
165,35.77,438,437,429
166,35.43,440,438,431
167,34.89,441,440,432
168,34.89,443,441,433
169,34.54,444,442,434
170,33.96,445,443,436
171,33.96,446,444,436
172,33.41,448,446,437
173,33.41,449,447,438
174,33,450,448,439
175,32.44,451,449,440
176,32.44,453,450,441
177,32.44,454,451,441
178,32.03,455,453,443
179,31.53,456,454,444
180,31.17,457,455,446
181,31.17,458,456,447
182,30.81,460,457,448
183,30.29,461,459,449
184,30.29,464,460,450
185,29.85,464,462,451
186,29.32,466,463,452
187,29.32,467,464,455
188,28.87,468,465,456
189,28.33,469,467,457
190,28.33,471,468,458
191,27.88,472,469,459
192,27.34,474,471,460
193,27.34,476,473,461
194,26.89,478,475,462
195,26.27,479,476,465
196,26.27,481,477,466
197,25.87,482,479,467
198,25.29,484,480,469
199,24.88,485,482,470
200,24.88,487,483,471
201,24.47,488,485,472
202,23.89,492,486,474
203,23.47,492,487,475
204,23.47,494,491,478
205,23.06,495,491,479
206,22.41,498,494,481
207,22.41,500,494,482
208,21.99,502,496,484
209,21.34,504,498,484
210,21.34,509,500,486
211,20.92,512,503,487
212,20.35,515,505,489
213,20.35,518,507,492
214,19.86,521,509,494
215,19.21,524,511,495
216,19.21,528,513,497
217,18.79,532,516,499
218,18.11,537,518,501
219,18.11,540,521,502
220,18.11,543,524,502
221,17.68,547,528,506
222,16.98,551,531,508
223,16.98,554,533,510
224,16.47,558,538,511
225,15.85,561,543,512
226,15.41,570,547,514
227,15.41,574,554,518
228,14.97,577,556,521
229,14.33,580,558,523
230,13.87,583,561,525
231,13.87,585,563,527
232,13.43,588,565,530
233,12.78,590,567,533
234,12.32,593,569,535
235,12.32,596,573,538
236,11.86,599,575,541
237,11.2,601,577,546
238,10.74,604,579,548
239,10.74,606,582,549
240,10.27,609,584,552
241,9.54,612,587,554
242,9.54,614,590,556
243,9.07,620,593,558
244,8.41,623,596,560
245,7.94,626,602,564
246,7.94,629,605,567
247,7.47,632,608,570
248,6.81,635,611,574
249,6.34,639,614,577
250,6.34,646,618,581
251,5.89,654,621,585
252,5.28,663,625,588
253,4.85,675,630,592
254,4.85,684,635,596
255,4.46,696,653,600
256,3.87,715,669,604
257,3.87,738,679,613
258,3.53,765,700,616
259,3.09,794,723,622
260,2.79,820,745,630
261,2.79,840,755,638
262,2.79,860,764,646
263,2.47,874,799,685
264,2.04,885,814,704
265,1.81,893,823,722
266,1.81,898,831,740
267,1.61,902,833,758
268,1.29,905,840,772
269,1.29,902,840,799
270,1.09,901,840,808
271,0.81,905,846,818
272,0.81,902,854,825
273,0.64,905,851,829
274,0.41,907,853,835
275,0.26,913,861,843
276,0.26,919,866,848
277,0.09,920,867,854
278,-0.12,920,870,858
279,-0.12,918,874,863
280,-0.24,921,872,868
281,-0.44,928,877,873
282,-0.44,931,881,875
283,-0.44,933,885,876
284,-0.56,942,900,885
285,-0.77,943,903,890
286,-0.77,944,906,894
287,-0.88,949,906,897
288,-1,946,899,898
289,-1.09,942,896,900
290,-1.09,943,896,903
291,-1.17,948,900,905
292,-1.29,950,903,908
293,-1.29,958,909,911
294,-1.38,959,912,913
295,-1.48,959,911,916
296,-1.53,958,911,917
297,-1.53,952,907,917
298,-1.6,952,913,919
299,-1.7,953,917,921
300,-1.7,947,917,923
301,-1.75,949,914,923
302,-1.83,953,915,924
303,-1.88,958,919,925
304,-1.88,962,919,925
305,-1.93,964,919,926
306,-2,965,919,928
307,-2.04,961,919,929
308,-2.04,957,919,931
309,-2.08,956,918,930
310,-2.14,955,915,931
311,-2.18,961,916,931
312,-2.18,961,916,932
313,-2.24,961,918,934
314,-2.24,964,920,935
315,-2.28,963,920,936
316,-2.34,960,919,938
317,-2.34,949,916,939
318,-2.38,946,914,938
319,-2.42,951,917,938
320,-2.42,954,922,939
321,-2.45,955,924,941
322,-2.5,955,922,941
323,-2.52,949,923,943
324,-2.52,948,918,943
325,-2.56,948,921,943
326,-2.59,954,925,944
327,-2.59,953,929,945
328,-2.61,951,928,946
329,-2.65,957,931,947
330,-2.67,948,928,947
331,-2.67,942,925,948
332,-2.69,945,928,949
333,-2.73,943,931,951
334,-2.73,947,928,951
335,-2.73,951,926,951
336,-2.75,945,926,952
337,-2.79,950,928,952
338,-2.81,943,924,952
339,-2.81,940,917,951
340,-2.83,933,919,954
341,-2.86,925,922,954
342,-2.87,927,922,953
343,-2.87,940,923,952
344,-2.89,933,918,951
345,-2.92,940,918,947
346,-2.92,948,916,947
347,-2.94,951,916,946
348,-2.96,949,921,948
349,-2.98,948,921,948
350,-2.98,947,925,947
351,-3,943,921,948
352,-3.01,938,917,947
353,-3.01,929,911,946
354,-3.02,928,914,947
355,-3.04,926,914,947
356,-3.06,929,915,946
357,-3.06,938,915,945
358,-3.07,942,915,942
359,-3.09,945,915,940
360,-3.09,942,915,942
361,-3.11,942,918,943
362,-3.13,943,920,944
363,-3.14,938,918,944
364,-3.14,943,922,942
365,-3.16,934,921,941
366,-3.18,927,916,937
367,-3.19,926,911,936
368,-3.19,919,911,935
369,-3.2,918,908,932
370,-3.21,922,909,933
371,-3.23,917,912,934
372,-3.23,918,912,933
373,-3.23,918,912,932
374,-3.24,920,910,930
375,-3.25,923,909,930
376,-3.25,929,913,932
377,-3.27,927,910,931
378,-3.29,925,906,930
379,-3.3,927,909,930
380,-3.3,924,912,931
381,-3.3,919,908,932
382,-3.32,914,910,933
383,-3.33,920,912,933
384,-3.33,923,914,928
385,-3.34,924,913,928
386,-3.36,926,916,927
387,-3.37,924,914,927
388,-3.37,924,908,926
389,-3.38,924,908,926
390,-3.39,922,906,925
391,-3.4,926,907,925
392,-3.4,923,903,924
393,-3.41,920,899,922
394,-3.41,914,900,921
395,-3.41,914.5,901,922
396,-3.41,915,902,923
397,-3.43,919,906,924
398,-3.44,918,907,923
399,-3.45,925,909,925
400,-3.45,926,910,926
401,-3.46,930,909,924
402,-3.46,931,908,924
403,-3.48,931,909,923
404,-3.48,923,905,923
405,-3.48,919,903,922
406,-3.49,921,903,921
407,-3.5,912,903,922
408,-3.5,909,902,920
409,-3.5,911,899,920
410,-3.51,909,902,920
411,-3.52,916,905,918
412,-3.52,918,908,918
413,-3.53,917,906,917
414,-3.54,913,900,916
415,-3.54,917,900,916
416,-3.54,911,900,915
417,-3.55,910,894,914
418,-3.55,910,896,913
419,-3.55,911,903,913
420,-3.57,916,903,912
421,-3.57,915,904,911
422,-3.57,914,906,911
423,-3.58,917,907,912
424,-3.58,925,909,913
425,-3.59,925,909,912
426,-3.6,921,909,911
427,-3.59,915,907,911
428,-3.59,917,908,912
429,-3.6,918,902,911
430,-3.6,915,902,912
431,-3.61,912,901,910
432,-3.62,910,899,912
433,-3.62,911,899,913
434,-3.62,912,898,912
435,-3.62,910,895,911
436,-3.62,910,895,911
437,-3.62,914,898,912
438,-3.62,917,900,912
439,-3.63,923,900,911
440,-3.63,923,900,911
441,-3.63,920,900,911
442,-3.63,924,899,913
443,-3.63,916,897,913
444,-3.64,913,896,912
445,-3.64,911,897,911
446,-3.64,904,894,910
447,-3.65,912,891,909
448,-3.65,910,896,909
449,-3.65,908,897,911
450,-3.65,908,897,911
451,-3.65,907,896,910
452,-3.65,910,895,910
453,-3.65,908,893,910
454,-3.66,908,893,911
455,-3.67,917,896,911
456,-3.66,911,899,912
457,-3.66,916,902,911
458,-3.67,909,902,910
459,-3.68,916,905,909
460,-3.68,914,904,909
461,-3.68,915,898,910
462,-3.68,915,897,910
463,-3.69,915,897,911
464,-3.69,919,899,911
465,-3.69,918,901,910
466,-3.69,918,901,909
467,-3.69,916,897,908
468,-3.69,916,896,906
469,-3.7,912,896,907
470,-3.7,911,899,908
471,-3.7,913,899,908
472,-3.7,912,899,909
473,-3.69,919,902,908
474,-3.69,909,901,908
475,-3.69,913,899,907
476,-3.7,915,902,907
477,-3.71,914,903,908
478,-3.71,916,902,907
479,-3.71,914,900,906
480,-3.71,916,905,906
481,-3.71,915,907,905
482,-3.71,908,907,904
483,-3.72,908,904,905
484,-3.72,915,902,909
485,-3.72,913,902,909
486,-3.72,910,900,909
487,-3.72,913,903,906
488,-3.72,913,906,904
489,-3.73,914,907,905
490,-3.74,914,905,906
491,-3.74,909,899,907
492,-3.73,913,899,907
493,-3.74,910,903,907
494,-3.74,911,903,907
495,-3.74,911,903,907
496,-3.74,914,905,906
497,-3.74,911,907,906
498,-3.75,918,908,908
499,-3.75,918,908,906
500,-3.75,916,903,906
501,-3.75,918,901,907
502,-3.75,913,902,906
503,-3.75,911,900,906
504,-3.75,913,902,907
505,-3.75,915,905,907
506,-3.75,912,902,905
507,-3.76,912,896,903
508,-3.76,912,896,903
509,-3.76,913,896,905
510,-3.76,912,899,907
511,-3.77,911,901,907
512,-3.76,912,901,908
513,-3.76,913,903,908
514,-3.76,915,903,908
515,-3.77,913,903,906
516,-3.77,919,903,907
517,-3.77,918,906,909
518,-3.78,912,901,909
519,-3.78,911,900,907
520,-3.78,907,893,905
521,-3.78,909,895,904
522,-3.78,907,894,905
523,-3.78,913,896,904
524,-3.78,914,898,905
525,-3.79,914,899,904
526,-3.79,913,899,903
527,-3.78,913,902,902
528,-3.79,909,902,902
529,-3.79,909,898,902
530,-3.79,910,898,903
531,-3.79,909,898,902
532,-3.8,903,895,900
533,-3.8,901,897,900
534,-3.8,904,898,902
535,-3.79,902,898,903
536,-3.79,905,902,904
537,-3.8,909,904,906
538,-3.8,917,905,904
539,-3.81,919,906,904
540,-3.81,920,907,905
541,-3.81,919,906,906
542,-3.81,919,907,907
543,-3.81,918,907,908
544,-3.81,913,905,907
545,-3.81,912,899,905
546,-3.81,914,896,905
547,-3.81,918,896,905
548,-3.81,916,900,905
549,-3.81,916,900,905
550,-3.82,915,903,907
551,-3.82,914,903,906
